csafp,cbsafp,geoid,name,lsad,name_short,lat,lon
NA,22660,22660,"Fort Collins, CO",M1,Fort Collins,40.6580933,-105.4867638
NA,22700,22700,"Fort Dodge, IA",M2,Fort Dodge,42.4335786,-94.1758309
497,22840,22840,"Fort Payne, AL",M2,Fort Payne,34.460929,-85.803992
NA,22900,22900,"Fort Smith, AR-OK",M1,"Fort Smith, AR",35.4631192,-94.2997413
258,23060,23060,"Fort Wayne, IN",M1,Fort Wayne,41.1131166,-85.2177047
336,23180,23180,"Frankfort, KY",M2,Frankfort,38.1214495,-84.933167
314,23240,23240,"Fredericksburg, TX",M2,Fredericksburg,30.3250913,-98.9418512
260,23420,23420,"Fresno, CA",M1,Fresno,36.7610058,-119.6550193
264,23540,23540,"Gainesville, FL",M1,Gainesville,29.4807065,-82.6274667
122,23580,23580,"Gainesville, GA",M1,Gainesville,34.3175689,-83.8184997
206,23620,23620,"Gainesville, TX",M2,Gainesville,33.6391964,-97.2103433
NA,23660,23660,"Galesburg, IL",M2,Galesburg,40.9309446,-90.2137921
NA,23700,23700,"Gallup, NM",M2,Gallup,35.5838784,-108.2532659
NA,23780,23780,"Garden City, KS",M2,Garden City,38.0254528,-100.9706954
NA,23940,23940,"Gillette, WY",M2,Gillette,44.2321004,-105.0343417
NA,18880,18880,"Crestview-Fort Walton Beach-Destin, FL",M1,Crestview,30.6410974,-86.3676916
NA,18900,18900,"Crossville, TN",M2,Crossville,35.9523984,-84.9947614
142,18980,18980,"Cullman, AL",M2,Cullman,34.1319229,-86.8692666
206,19100,19100,"Dallas-Fort Worth-Arlington, TX",M1,Dallas,32.8491708,-96.9704894
174,19140,19140,"Dalton, GA",M1,Dalton,34.7969557,-84.856279
NA,19180,19180,"Danville, IL",M1,Danville,40.1867542,-87.7267779
NA,19260,19260,"Danville, VA",M2,Danville,36.811853,-79.4001219
380,19300,19300,"Daphne-Fairhope-Foley, AL",M1,Daphne,30.6592183,-87.7460666
209,19340,19340,"Davenport-Moline-Rock Island, IA-IL",M1,Davenport,41.3916799,-90.460076
212,19430,19430,"Dayton-Kettering, OH",M1,Dayton,39.8288538,-84.1418129
290,19460,19460,"Decatur, AL",M1,Decatur,34.4893614,-87.0971469
NA,19620,19620,"Del Rio, TX",M2,Del Rio,29.8752853,-101.1433237
422,19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL",M1,Deltona,29.1789002,-81.1890231
NA,19700,19700,"Deming, NM",M2,Deming,32.1845231,-107.7471911
216,19740,19740,"Denver-Aurora-Lakewood, CO",M1,Denver,39.434789,-104.9010728
218,19780,19780,"Des Moines-West Des Moines, IA",M1,Des Moines,41.5770501,-93.7597124
220,19820,19820,"Detroit-Warren-Dearborn, MI",M1,Detroit,42.7218478,-83.2008463
NA,19860,19860,"Dickinson, ND",M2,Dickinson,46.9125835,-102.9884867
NA,19980,19980,"Dodge City, KS",M2,Dodge City,37.6884159,-99.8847484
NA,20060,20060,"Douglas, GA",M2,Douglas,31.4595406,-82.8673266
428,20100,20100,"Dover, DE",M1,Dover,39.0970884,-75.5029819
NA,20140,20140,"Dublin, GA",M2,Dublin,32.5089403,-82.8100132
524,20180,20180,"DuBois, PA",M2,DuBois,41.0002489,-78.473749
NA,20220,20220,"Dubuque, IA",M1,Dubuque,42.4634808,-90.8787708
NA,20260,20260,"Duluth, MN-WI",M1,"Duluth, MN",47.3475056,-92.1553326
NA,20340,20340,"Duncan, OK",M2,Duncan,34.4813609,-97.8556068
NA,20420,20420,"Durango, CO",M2,Durango,37.2873673,-107.8397178
206,20460,20460,"Durant, OK",M2,Durant,33.9640035,-96.2641365
408,20700,20700,"East Stroudsburg, PA",M1,East Stroudsburg,41.0562401,-75.3290651
232,20740,20740,"Eau Claire, WI",M1,Eau Claire,44.9386719,-91.2843222
233,20780,20780,"Edwards, CO",M2,Edwards,39.6269919,-106.6951694
NA,20820,20820,"Effingham, IL",M2,Effingham,39.0479445,-88.5928488
288,20900,20900,"El Campo, TX",M2,El Campo,29.2784805,-96.2296745
NA,20940,20940,"El Centro, CA",M1,El Centro,33.0408143,-115.3554001
NA,20980,20980,"El Dorado, AR",M2,El Dorado,33.1682186,-92.5981447
545,21020,21020,"Elizabeth City, NC",M2,Elizabeth City,36.1968134,-76.3426012
350,21060,21060,"Elizabethtown-Fort Knox, KY",M1,Elizabethtown,37.7329803,-85.9721707
515,21140,21140,"Elkhart-Goshen, IN",M1,Elkhart,41.6006928,-85.8639864
NA,21180,21180,"Elkins, WV",M2,Elkins,38.7810953,-79.8677881
NA,21220,21220,"Elko, NV",M2,Elko,40.9060857,-115.5545775
NA,21260,21260,"Ellensburg, WA",M2,Ellensburg,47.1244411,-120.6767092
236,21300,21300,"Elmira, NY",M1,Elmira,42.1552804,-76.7471791
238,21340,21340,"El Paso, TX",M1,El Paso,31.527394,-105.5213326
NA,21380,21380,"Emporia, KS",M2,Emporia,38.3821338,-96.3593009
NA,21420,21420,"Enid, OK",M1,Enid,36.3780539,-97.7884503
240,21500,21500,"Erie, PA",M1,Erie,42.1179519,-80.0963858
NA,21540,21540,"Escanaba, MI",M2,Escanaba,45.8052288,-86.9019375
NA,21640,21640,"Eufaula, AL-GA",M2,"Eufaula, AL",31.8672807,-85.3350319
NA,21660,21660,"Eugene-Springfield, OR",M1,Eugene,43.9283286,-122.8976901
NA,21700,21700,"Eureka-Arcata, CA",M2,Eureka,40.7066554,-123.9261757
NA,21780,21780,"Evansville, IN-KY",M1,"Evansville, IN",38.0200703,-87.5861659
NA,21820,21820,"Fairbanks, AK",M1,Fairbanks,64.6760436,-146.5481586
NA,21860,21860,"Fairmont, MN",M2,Fairmont,43.6771181,-94.5372525
NA,21980,21980,"Fallon, NV",M2,Fallon,39.5377097,-118.2641661
244,22020,22020,"Fargo, ND-MN",M1,"Fargo, ND",46.9148591,-96.9601826
378,22060,22060,"Faribault-Northfield, MN",M2,Faribault,44.3507339,-93.2985052
476,22100,22100,"Farmington, MO",M2,Farmington,37.8107068,-90.4738684
NA,22140,22140,"Farmington, NM",M1,Farmington,36.5116245,-108.3245778
246,22180,22180,"Fayetteville, NC",M1,Fayetteville,35.1559863,-78.93185
161,15460,15460,"Burlington, IA-IL",M2,"Burlington, IA",40.8638225,-91.0699761
268,15500,15500,"Burlington, NC",M1,Burlington,36.0439535,-79.4005733
162,15540,15540,"Burlington-South Burlington, VT",M1,Burlington,44.6891168,-73.0411707
NA,15580,15580,"Butte-Silver Bow, MT",M2,Butte,45.8962319,-112.6600714
NA,15620,15620,"Cadillac, MI",M2,Cadillac,44.3287385,-85.3264287
548,15680,15680,"California-Lexington Park, MD",M1,California,38.2202894,-76.5303837
163,15980,15980,"Cape Coral-Fort Myers, FL",M1,Cape Coral,26.5590348,-81.8919943
164,16020,16020,"Cape Girardeau, MO-IL",M1,"Cape Girardeau, MO",37.3259361,-89.7626388
NA,16060,16060,"Carbondale-Marion, IL",M1,Carbondale,37.6897419,-89.1051489
NA,16100,16100,"Carlsbad-Artesia, NM",M2,Carlsbad,32.4578347,-104.3064338
NA,16220,16220,"Casper, WY",M1,Casper,42.9776447,-106.7682192
NA,16260,16260,"Cedar City, UT",M2,Cedar City,37.9093044,-113.3067405
168,16300,16300,"Cedar Rapids, IA",M1,Cedar Rapids,42.0863293,-91.6311439
476,16460,16460,"Centralia, IL",M2,Centralia,38.6482361,-88.9203624
NA,16580,16580,"Champaign-Urbana, IL",M1,Champaign,40.1029885,-88.3185039
170,16620,16620,"Charleston, WV",M1,Charleston,38.3551769,-81.6203407
NA,16660,16660,"Charleston-Mattoon, IL",M2,Charleston,39.4231628,-88.2422121
NA,16700,16700,"Charleston-North Charleston, SC",M1,Charleston,33.0180695,-80.0075006
172,16740,16740,"Charlotte-Concord-Gastonia, NC-SC",M1,Charlotte,35.1663423,-80.7972848
NA,16820,16820,"Charlottesville, VA",M1,Charlottesville,37.9490837,-78.5932062
174,16860,16860,"Chattanooga, TN-GA",M1,"Chattanooga, TN",35.0493612,-85.3611582
NA,16940,16940,"Cheyenne, WY",M1,Cheyenne,41.2928302,-104.660395
176,16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M1,Chicago,41.8235214,-87.8282967
NA,17020,17020,"Chico, CA",M1,Chico,39.6659588,-121.60191880000001
NA,10100,10100,"Aberdeen, SD",M2,Aberdeen,45.5194353,-98.7007003
NA,10140,10140,"Aberdeen, WA",M2,Aberdeen,47.1137324,-123.8267349
NA,10180,10180,"Abilene, TX",M1,Abilene,32.4520222,-99.7187428
NA,10220,10220,"Ada, OK",M2,Ada,34.7214461,-96.691971
NA,10380,10380,"Aguadilla-Isabela, PR",M1,Aguadilla,18.3569648,-67.0078951
184,10420,10420,"Akron, OH",M1,Akron,41.1466395,-81.3501104
