usaf,wban,query,lat,lon,timezone_offset,timezone,country_iso,country,country_code,state,postcode,city
869580,99999,"-27.6,-48.617",-27.6,-48.617,-10800,-3,BR,Brazil,br,Santa Catarina,88101-000,São José
484250,99999,"14.467,100.133",14.467,100.133,25200,ICT,TH,Thailand,th,Suphan Buri Province,72000,NA
283520,99999,"57.533,63.65",57.533,63.65,18000,5,RU,Russia,ru,Sverdlovsk Oblast,NA,NA
871710,99999,"-27.75,-57.633",-27.75,-57.633,-10800,-3,AR,Argentina,ar,Ctes.,3407,NA
267300,99999,"54.634,25.286",54.634,25.286,7200,EET,LT,Lithuania,lt,Vilnius County,02188,Vilnius
725385,99999,"42.33,-82.97",42.33,-82.97,-18000,EST,CA,Canada,ca,Ontario,N8S 1N3,Windsor
727375,99999,"46.483,-84.5",46.483,-84.5,-18000,EST,CA,Canada,ca,Ontario,NA,Sault Ste. Marie
626410,99999,"19.583,37.217",19.583,37.217,7200,CAT,SD,Sudan,sd,Red Sea State,79800,Port Sudan Distrikt
762560,99999,"27.95,-110.767",27.95,-110.767,-25200,MST,MX,Mexico,mx,Sonora,85350,NA
606400,99999,"26.724,8.623",26.724,8.623,3600,CET,DZ,Algeria,dz,Illizi,33000,Illizi
747540,13934,"31.326,-92.5545",31.326,-92.55449999999999,-21600,CST,US,United States of America,us,Louisiana,71303,NA
747540,93915,"31.326,-92.5545",31.326,-92.55449999999999,-21600,CST,US,United States of America,us,Louisiana,71303,NA
747540,99999,"31.326,-92.5545",31.326,-92.55449999999999,-21600,CST,US,United States of America,us,Louisiana,71303,NA
021810,99999,"66.267,22.85",66.267,22.85,3600,CET,SE,Sweden,se,Norrbottens län,NA,NA
619030,99999,"-71.05,-10.9",-71.05,-10.9,NA,NA,NA,NA,NA,NA,NA,NA
944390,99999,"-26.583,120.217",-26.583,120.217,28800,AWST,AU,Australia,au,Western Australia,NA,NA
995650,99999,"27.3,-18.1",27.3,-18.1,0,WET,ES,Spain,es,Canary Islands,NA,El Pinar de El Hierro
992330,99999,"29.3,-87.5",29.3,-87.5,-21600,CST,US,United States of America,us,Alabama,NA,NA
535430,99999,"39.833,109.983",39.833,109.983,28800,CST,CN,PRC,cn,Inner Mongolia,NA,NA
162610,99999,"41.541,15.718",41.541,15.718,3600,CET,IT,Italy,it,Apulia,NA,NA
380690,99999,"44.167,66.75",44.167,66.75,21600,6,KZ,Kazakhstan,kz,Kyzylorda Region,NA,NA
722030,12844,"26.685,-80.099",26.685,-80.099,-18000,EST,US,United States of America,us,Florida,33406,NA
303370,99999,"56.317,107.617",56.317,107.617,28800,8,RU,Russia,ru,Irkutsk Oblast,NA,Казачинское сельское поселение
719240,99999,"74.717,-94.969",74.717,-94.969,-21600,CST,CA,Canada,ca,Nunavut,NA,Resolute
121270,99999,"54.43,16.37",54.43,16.37,3600,CET,PL,Poland,pl,West Pomeranian Voivodeship,76-153,NA
958690,99999,"-35.567,144.95",-35.567,144.95,39600,AEDT,AU,Australia,au,New South Wales,2710,NA
083010,99999,"39.55,2.633",39.55,2.633,NA,NA,ES,Spain (territorial waters),es,Balearic Islands,07012,Palma
984380,99999,"14.7,122.333",14.7,122.333,28800,8,PH,Philippines,ph,Quezon,4342,NA
167590,99999,"35.066,24.75",35.066,24.75,7200,EET,GR,Greece,gr,Crete,NA,NA
725624,14994,"40.79,-99.774",40.79,-99.774,-21600,CST,US,United States of America,us,Nebraska,69130,Cozad
725624,99999,"40.79,-99.774",40.79,-99.774,-21600,CST,US,United States of America,us,Nebraska,69130,Cozad
630130,99999,"15.55,37.883",15.55,37.883,10800,EAT,ER,Eritrea,er,Gash-Barka Region,NA,NA
866120,99999,"-10.983,-39.617",-10.983,-39.617,-10800,BRT,BR,Brazil,br,Bahia,NA,NA
486022,99999,"6.194,100.403",6.194,100.403,28800,MYT,MY,Malaysia,my,Kedah,05350,NA
119950,99999,"48.933,20.55",48.933,20.55,3600,CET,SK,Slovakia,sk,Region of Košice,052 01,District of Spišská Nová Ves
720368,54924,"43.987,-95.783",43.987,-95.783,-21600,CST,US,United States of America,us,Minnesota,56172,Iona
074970,99999,"45.617,6.767",45.617,6.767,3600,CET,FR,France,fr,Rhône-Alpes,73700,NA
540170,99999,"0,0",0,0,NA,NA,NA,NA,NA,NA,NA,NA
166610,99999,"39.367,22.95",39.367,22.95,7200,EET,GR,Greece,gr,Thessaly - Central Greece,38221,Volos
36050,NA,"51.717,-4.367",51.717,-4.367,0,GMT,GB,United Kingdom,gb,Wales,SA17 5UL,NA
946170,99999,"-34.25,116.15",-34.25,116.15,28800,AWST,AU,Australia,au,Western Australia,6258,NA
430210,99999,"19.083,77.333",19.083,77.333,19800,IST,IN,India,in,Maharashtra,431600,Nanded-Waghala
675850,99999,"-13.983,33.633",-13.983,33.633,7200,CAT,MW,Malawi,mw,Lilongwe,NA,Lilongwe
749016,99999,"31.25,-98.5",31.25,-98.5,-21600,CST,US,United States of America,us,Texas,NA,NA
171865,99999,"38.633,27.35",38.633,27.35,10800,3,TR,Turkey,tr,Aegean Region,45030,NA
74380,NA,"45.151,1.469",45.151,1.469,3600,CET,FR,France,fr,New Aquitaine,19600,NA
471610,43240,"35.086,128.0765",35.086,128.0765,NA,NA,KR,South Korea,kr,South Gyeongsang,52516,Sacheon-si
