usaf,wban,query,lat,lon,timezone_offset,timezone,country_iso,country,country_code,state,postcode,city
702040,99999,"63.767,-171.733",63.767,-171.733,-32400,AKST,US,United States of America,us,Alaska,NA,Gambell
765800,99999,"22.133,-91.4",22.133,-91.4,-21600,CST,MX,Mexico,mx,Yucatán,NA,NA
749056,99999,"29.883,-97.866",29.883,-97.866,-21600,CST,US,United States of America,us,Texas,78666,NA
712430,99999,"49.7,-112.767",49.7,-112.767,-25200,MST,CA,Canada,ca,Alberta,T1J 4Y9,NA
85420,NA,"37.95,-8.883",37.95,-8.883,0,WET,PT,Portugal,pt,Alentejo,7520-202,NA
726391,385,"38.7815,-106.2185",38.7815,-106.2185,-25200,MST,US,United States of America,us,Colorado,NA,NA
726391,99999,"38.7815,-106.2185",38.7815,-106.2185,-25200,MST,US,United States of America,us,Colorado,NA,NA
276480,99999,"54.95,41.767",54.95,41.767,10800,MSK,RU,Russia,ru,Ryazan Oblast,391351,NA
724356,53866,"39.5805,-85.8015",39.5805,-85.8015,-18000,EST,US,United States of America,us,Indiana,46176,NA
724356,99999,"39.5805,-85.8015",39.5805,-85.8015,-18000,EST,US,United States of America,us,Indiana,46176,NA
943170,99999,"-23.417,119.8",-23.417,119.8,28800,AWST,AU,Australia,au,Western Australia,NA,NA
567480,99999,"25.117,99.183",25.117,99.183,28800,CST,CN,PRC,cn,Yunnan,NA,Baoshan
997536,99999,"30.3,-60.7",30.3,-60.7,NA,NA,NA,NA,NA,NA,NA,NA
768300,99999,"16.467,-95.1",16.467,-95.1,-21600,CST,MX,Mexico,mx,Oaxaca,70140,NA
450330,99999,"22.533,114.3",22.533,114.3,28800,HKT,CN,PRC,cn,Hong Kong,NA,NA
570910,99999,"34.75,114.417",34.75,114.417,28800,CST,CN,PRC,cn,Henan,NA,NA
724797,23176,"38.417,-113.017",38.417,-113.017,-25200,MST,US,United States of America,us,Utah,84751,NA
307260,99999,"52.567,107.133",52.567,107.133,28800,8,RU,Russia,ru,Buryatia,NA,Сухинское сельское поселение
726680,99999,"45.55,-100.417",45.55,-100.417,-21600,CST,US,United States of America,us,South Dakota,57601,NA
156310,99999,"42.617,25.4",42.617,25.4,7200,EET,BG,Bulgaria,bg,NA,6100,Kazanlak
624560,99999,"29.6,34.783",29.6,34.783,7200,EET,EG,Egypt,eg,South Sinai Governorate,NA,NA
825980,99999,"-5.767,-35.2",-5.767,-35.2,-10800,-3,BR,Brazil,br,Rio Grande do Norte,59010-775,Natal
719320,99999,"56.65,-111.217",56.65,-111.217,-25200,MST,CA,Canada,ca,Alberta,NA,Fort McMurray
726710,24164,"42.5755,-110.104",42.575500000000005,-110.104,-25200,MST,US,United States of America,us,Wyoming,NA,NA
726710,99999,"42.5755,-110.104",42.575500000000005,-110.104,-25200,MST,US,United States of America,us,Wyoming,NA,NA
984375,99999,"13.361,121.826",13.361,121.826,28800,8,PH,Philippines,ph,Marinduque,4905,NA
060170,99999,"55.6,7.624",55.6,7.624,NA,NA,DK,Denmark,dk,NA,NA,NA
835500,99999,"-18.7,-39.85",-18.7,-39.85,-10800,-3,BR,Brazil,br,Southeast Region,29936-450,São Mateus
721037,99999,"36.072,-75.694",36.072,-75.694,NA,NA,US,United States of America,us,North Carolina,27949,NA
986395,99999,"10.65,122.933",10.65,122.933,28800,8,PH,Philippines,ph,Negros Occidental,6100,Bacolod
35961,NA,"52.133,1.433",52.133,1.433,0,GMT,GB,United Kingdom,gb,England,IP12 2TW,Suffolk Coastal
740910,99999,"68.95,-75.3",68.95,-75.3,NA,NA,CA,Canada,ca,Nunavut,NA,NA
105190,99999,"50.733,7.2",50.733,7.2,3600,CET,DE,Germany,de,North Rhine-Westphalia,53229,NA
632580,99999,"2.15,45.133",2.15,45.133,10800,EAT,SO,Somalia,so,Lower Shebelle,002526,NA
703210,25513,"59.05,-158.517",59.05,-158.517,-32400,AKST,US,United States of America,us,Alaska,99576,Dillingham
703210,99999,"59.05,-158.517",59.05,-158.517,-32400,AKST,US,United States of America,us,Alaska,99576,Dillingham
035031,99999,"52.083,-4.017",52.083,-4.017,0,GMT,GB,United Kingdom,gb,Wales,SA48 8ET,NA
64650,NA,"51,5.067",51,5.067,3600,CET,BE,Belgium,be,Flanders,3290,NA
221270,99999,"68,35.033",68,35.033,10800,MSK,RU,Russia,ru,Murmansk Oblast,NA,NA
409480,99999,"34.566,69.212",34.566,69.212,16200,430,AF,Afghanistan,af,Kabul,0093,Kabul
111640,99999,"47.067,14.56",47.067,14.56,3600,CET,AT,Austria,at,Styria,8822,NA
717990,99999,"48.647,-123.426",48.647,-123.426,-28800,PST,CA,Canada,ca,British Columbia,NA,NA
74860,NA,"45.363,5.329",45.363,5.329,3600,CET,FR,France,fr,Rhône-Alpes,38590,NA
997789,99999,"58.967,-135.217",58.967,-135.217,NA,NA,US,United States of America,us,Alaska,99827,NA
40630,NA,"65.66,-18.073",65.66,-18.073,NA,NA,IS,Iceland,is,NA,600,NA
684960,99999,"-28.5,32.4",-28.5,32.4,7200,SAST,ZA,RSA,za,KwaZulu-Natal,3936,Mtubatuba Local Municipality
477840,99999,"34.167,131.467",34.167,131.467,32400,JST,JP,Japan,jp,Yamaguchi Prefecture,753-0075,Yamaguchi
725646,99999,"41.15,-105.4",41.15,-105.4,-25200,MST,US,United States of America,us,Wyoming,NA,NA
320210,99999,"52.833,141.5",52.833,141.5,NA,NA,RU,Russia,ru,Khabarovsk Krai,NA,NA
28730,NA,"65.033,24.567",65.033,24.567,7200,EET,FI,Finland,fi,Northern Finland,NA,NA
483500,99999,"17.4,101.733",17.4,101.733,25200,7,TH,Thailand,th,Loei Province,42000,NA
749445,99999,"-15.5,167.25",-15.5,167.25,39600,11,VU,Vanuatu,vu,Sanma,NA,NA
289780,99999,"52.533,68.75",52.533,68.75,21600,6,KZ,Kazakhstan,kz,Akmola Region,021423,NA
605930,99999,"29.167,-5.233",29.167,-5.233,3600,CET,DZ,Algeria,dz,Tindouf,NA,NA
342670,99999,"50.367,44.117",50.367,44.117,10800,3,RU,Russia,ru,Volgograd Oblast,403371,NA
110164,99999,"48.517,14.417",48.517,14.417,3600,CET,AT,Austria,at,Upper Austria,4240,NA
575830,99999,"29.717,113.883",29.717,113.883,28800,CST,CN,PRC,cn,Hubei,NA,蒲圻街道
714765,99999,"54.583,-130.7",54.583,-130.7,NA,NA,CA,Canada,ca,British Columbia,NA,NA
035671,99999,"52.1,-0.05",52.1,-0.05,0,GMT,GB,United Kingdom,gb,England,SG8 0AA,South Cambridgeshire
346870,99999,"47.417,47.25",47.417,47.25,14400,4,RU,Russia,ru,Astrakhan Oblast,416010,NA
014850,99999,"59.617,10.217",59.617,10.217,3600,CET,NO,Norway,no,Vestfold,3073,NA
766855,99999,"19.033,-98.217",19.033,-98.217,-21600,CST,MX,Mexico,mx,Puebla,72560,Puebla
33180,NA,"53.772,-3.029",53.772,-3.029,0,GMT,GB,United Kingdom,gb,England,FY8 3BZ,Fylde
681160,99999,"-22.5,18.967",-22.5,18.967,7200,WAST,NA,Namibia,na,Omaheke Region,NA,Gobabis
315270,99999,"50.117,129.467",50.117,129.467,32400,9,RU,Russia,ru,Amur Oblast,676870,городское поселение Завитинск
71704,NA,"48.1,5.65",48.1,5.65,3600,CET,FR,France,fr,Grand Est,88320,NA
700637,27406,"70.192,-148.477",70.192,-148.477,-32400,AKST,US,United States of America,us,Alaska,NA,NA
153170,99999,"45.283,22.533",45.283,22.533,7200,EET,RO,Romania,ro,NA,NA,NA
28050,NA,"69.75,27",69.75,27,7200,EET,FI,Finland,fi,Northern Finland,NA,NA
472025,99999,"45.242,141.186",45.242,141.186,32400,JST,JP,Japan,jp,Hokkaido,NA,NA
245380,99999,"64.233,116.917",64.233,116.917,32400,9,RU,Russia,ru,Sakha Republic,NA,Мальжагарский наслег
484770,99999,"12.683,100.983",12.683,100.983,25200,7,TH,Thailand,th,Chon Buri Province,NA,NA
720466,99999,"29.95,-90.083",29.95,-90.083,-21600,CST,US,United States of America,us,NA,70130,New Orleans
444540,99999,"27.697,85.359",27.697,85.359,20700,NPT,NP,Nepal,np,Central Development Region,00977,Kathmandu
527790,99999,"37.267,102.883",37.267,102.883,28800,CST,CN,PRC,cn,Gansu,NA,NA
763825,99999,"25.533,-103.45",25.533,-103.45,-21600,CST,MX,Mexico,mx,Coahuila,27000,Torreón
387590,99999,"37.617,54.783",37.617,54.783,18000,5,TM,Turkmenistan,tm,Balkan Region,NA,NA
869500,99999,"-27.883,-54.483",-27.883,-54.483,-10800,BRT,BR,Brazil,br,Rio Grande do Sul,NA,NA
082211,99999,"40.483,-3.583",40.483,-3.583,3600,CET,ES,Spain,es,Community of Madrid,28042,Madrid
23810,NA,"58.583,16.25",58.583,16.25,3600,CET,SE,Sweden,se,Östergötlands län,603 72,Norrköping
710900,99999,"70.486,-68.517",70.486,-68.517,-18000,EST,CA,Canada,ca,Nunavut,NA,Clyde River
943840,99999,"-24.15,151.883",-24.15,151.883,NA,NA,AU,Australia,au,Queensland,NA,NA
484590,99999,"13.367,100.983",13.367,100.983,NA,NA,TH,Thailand,th,Chon Buri Province,20000,NA
62390,NA,"54.85,4.733",54.85,4.733,NA,NA,NA,NA,NA,NA,NA,NA
788067,99999,"8.983,-79.517",8.983,-79.517,-18000,EST,PA,Panama,pa,Provincia de Panamá,C-0843-00793,Panama
080960,99999,"42.783,-0.533",42.783,-0.533,3600,CET,ES,Spain,es,Aragon,22880,NA
425400,99999,"24.6,72.717",24.6,72.717,19800,IST,IN,India,in,Rajasthan,307500,NA
061000,99999,"55.7,9.2",55.7,9.2,3600,CET,DK,Denmark,dk,Region of Southern Denmark,7184,NA
951200,99999,"-12.42,130.88",-12.42,130.88,34200,ACST,AU,Australia,au,Northern Territory,0820,Darwin
997637,99999,"37.9,-179",37.9,-179,NA,NA,NA,NA,NA,NA,NA,NA
722274,54939,"40.684,-92.901",40.684,-92.901,-21600,CST,US,United States of America,us,Iowa,52544,NA
722274,99999,"40.684,-92.901",40.684,-92.901,-21600,CST,US,United States of America,us,Iowa,52544,NA
644030,99999,"-3.483,12.617",-3.483,12.617,3600,WAT,CG,Congo-Brazzaville,cg,Niari,NA,NA
72080,NA,"47.5,-3.117",47.5,-3.117,3600,CET,FR,France,fr,Brittany,56170,NA
722880,23152,"34.2005,-118.354",34.200500000000005,-118.354,-28800,PST,US,United States of America,us,California,91504,Burbank
722880,99999,"34.2005,-118.354",34.200500000000005,-118.354,-28800,PST,US,United States of America,us,California,91504,Burbank
489100,99999,"10.25,105.95",10.25,105.95,25200,ICT,VN,Vietnam,vn,Vinh Long province,NA,Vĩnh Long
690070,93217,"36.683,-121.767",36.683,-121.767,-28800,PST,US,United States of America,us,California,93933,Marina
307300,99999,"52.767,108.133",52.767,108.133,28800,8,RU,Russia,ru,Buryatia,NA,NA
373860,99999,"42.3,42.417",42.3,42.417,14400,4,GE,Georgia,ge,Imereti,NA,NA
624570,99999,"28.683,34.05",28.683,34.05,7200,EET,EG,Egypt,eg,South Sinai Governorate,NA,St Catherine
30970,NA,"56.75,-6.883",56.75,-6.883,NA,NA,GB,United Kingdom,gb,Scotland,HS6 5BH,NA
030270,99999,"57.433,-6.767",57.433,-6.767,0,GMT,GB,United Kingdom,gb,Scotland,IV55 8WT,NA
720297,3730,"37.236,-76.7165",37.236,-76.7165,-18000,EST,US,United States of America,us,Virginia,23185,NA
720297,99999,"37.236,-76.7165",37.236,-76.7165,-18000,EST,US,United States of America,us,Virginia,23185,NA
80860,NA,"42.817,-1.667",42.817,-1.667,3600,CET,ES,Spain,es,Navarre,31008,Pamplona
85581,NA,"40.916,-8.646",40.916,-8.646,0,WET,PT,Portugal,pt,Centro,3880-392,NA
014230,99999,"59.167,6.05",59.167,6.05,3600,CET,NO,Norway,no,Rogaland,4139,NA
062691,99999,"56.4,2.067",56.4,2.067,NA,NA,NA,NA,NA,NA,NA,NA
685360,99999,"-30.65,24.017",-30.65,24.017,7200,SAST,ZA,RSA,za,Northern Cape,NA,Emthanjeni Local Municipality
878520,99999,"-46.517,-71.017",-46.517,-71.017,-10800,-3,AR,Argentina,ar,SC,9040,NA
24020,NA,"59.867,11.967",59.867,11.967,3600,CET,SE,Sweden,se,Värmlands län,NA,NA
104540,99999,"51.85,10.767",51.85,10.767,3600,CET,DE,Germany,de,Saxony-Anhalt,38855,NA
26460,NA,"56.667,16.467",56.667,16.467,NA,NA,SE,Sweden,se,Kalmar län,386 33,NA
749393,99999,"52.917,173.167",52.917,173.167,-36000,HST,US,United States of America,us,Alaska,NA,NA
72990,NA,"47.59,7.53",47.59,7.53,3600,CET,FR,France,fr,Grand Est,68300,NA
868200,99999,"-20.45,-45.45",-20.45,-45.45,-10800,BRT,BR,Brazil,br,Minas Gerais,35570000,NA
283190,99999,"57.083,54.75",57.083,54.75,18000,5,RU,Russia,ru,Perm Krai,617183,Ножовское сельское поселение
722596,13961,"32.818,-97.3555",32.818,-97.3555,-21600,CST,US,United States of America,us,Texas,76106,Fort Worth
722596,99999,"32.818,-97.3555",32.818,-97.3555,-21600,CST,US,United States of America,us,Texas,76106,Fort Worth
829910,99999,"-9.583,-35.9",-9.583,-35.9,-10800,-3,BR,Brazil,br,Alagoas,NA,NA
478240,99999,"32.217,130.75",32.217,130.75,32400,JST,JP,Japan,jp,Kumamoto Prefecture,868-0008,Hitoyoshi
598580,99999,"19.25,110.483",19.25,110.483,28800,CST,CN,PRC,cn,Hainan,NA,Qionghai
683465,99999,"-26.496,29.98",-26.496,29.98,7200,SAST,ZA,RSA,za,Mpumalanga,2351,Msukaligwa
722575,3972,"31.083,-97.683",31.083,-97.683,-21600,CST,US,United States of America,us,Texas,76543,Killeen
722575,99999,"31.083,-97.683",31.083,-97.683,-21600,CST,US,United States of America,us,Texas,76543,Killeen
14320,NA,"58.883,6.85",58.883,6.85,3600,CET,NO,Norway,no,West Agder,NA,NA
028740,99999,"65.033,24.8",65.033,24.8,7200,EET,FI,Finland,fi,Northern Finland,NA,NA
419650,99999,"22.583,91.7",22.583,91.7,21600,6,BD,Bangladesh,bd,Chittagong Division,NA,Chittagong
726577,94974,"45.15,-93.217",45.15,-93.217,-21600,CST,US,United States of America,us,Minnesota,55449,Blaine
726577,99999,"45.15,-93.217",45.15,-93.217,-21600,CST,US,United States of America,us,Minnesota,55449,Blaine
310410,99999,"59.633,133.033",59.633,133.033,32400,9,RU,Russia,ru,Sakha Republic,NA,сельское поселение Село Усть-Миль
107330,99999,"49.3,8.9",49.3,8.9,3600,CET,DE,Germany,de,Baden-Württemberg,74915,NA
266140,99999,"55.083,21.867",55.083,21.867,7200,EET,RU,Russia,ru,Kaliningrad,238700,NA
013180,99999,"61.783,6.183",61.783,6.183,NA,NA,NO,Norway,no,Sogn og Fjordane,6823,NA
722184,99999,"32.08,-84.37",32.08,-84.37,-18000,EST,US,United States of America,us,Georgia,NA,NA
716120,99999,"45.5,-73.567",45.5,-73.567,-18000,EST,CA,Canada,ca,Quebec,H3B 4G1,Montreal
898130,99999,"-71.6,111.267",-71.6,111.267,NA,NA,NA,NA,NA,NA,NA,NA
361860,99999,"50.633,81.917",50.633,81.917,21600,6,KZ,Kazakhstan,kz,East Kazakhstan Region,071807,NA
718433,99999,"59.297,-69.983",59.297,-69.983,-18000,EST,CA,Canada,ca,Quebec,NA,Aupaluk
767375,99999,"18.497,-97.42",18.497,-97.42,-21600,CST,MX,Mexico,mx,Puebla,75700,Tehuacán
14660,NA,"59.967,11.033",59.967,11.033,3600,CET,NO,Norway,no,Akershus,2003,NA
749375,99999,"38.333,128.167",38.333,128.167,32400,KST,KR,South Korea,kr,Gangwon-do,NA,Yanggu-gun
10440,NA,"70.487,22.14",70.487,22.14,3600,CET,NO,Norway,no,Finnmark,9590,NA
836920,99999,"-21.792,-43.387",-21.792,-43.387,-10800,-3,BR,Brazil,br,Minas Gerais,36039-000,Juiz de Fora
283240,99999,"57.283,55.433",57.283,55.433,18000,5,RU,Russia,ru,Perm Krai,618122,Осинское городское поселение
788250,99999,"10.3,-109.217",10.3,-109.217,NA,NA,FR,"France, Clipperton (eaux territoriales)",fr,Clipperton Island,NA,NA
409250,99999,"35.667,64.267",35.667,64.267,16200,430,AF,Afghanistan,af,Faryab,NA,NA
712670,99999,"49.633,-112.8",49.633,-112.8,-25200,MST,CA,Canada,ca,Alberta,NA,NA
111920,99999,"47.2,16.333",47.2,16.333,3600,CET,AT,Austria,at,Burgenland,7511,NA
956070,99999,"-32.233,115.683",-32.233,115.683,28800,AWST,AU,Australia,au,Western Australia,NA,Mandurah
726170,14742,"44.468,-73.15",44.468,-73.15,-18000,EST,US,United States of America,us,Vermont,05401,NA
350390,99999,"51.967,59.95",51.967,59.95,18000,5,RU,Russia,ru,Orenburg Oblast,NA,NA
35340,NA,"52.454,-1.748",52.454,-1.748,0,GMT,GB,United Kingdom,gb,England,B33,NA
713681,99999,"43.45,-80.383",43.45,-80.383,-18000,EST,CA,Canada,ca,Ontario,N2A 0E4,Township of Woolwich
947270,99999,"-32.567,149.617",-32.567,149.617,39600,AEDT,AU,Australia,au,New South Wales,2850,NA
63200,NA,"51.933,3.667",51.933,3.667,3600,CET,NL,The Netherlands,nl,Zeeland,NA,Schouwen-Duiveland
994260,99999,"29.67,-94.05",29.67,-94.05,-21600,CST,US,United States of America,us,Texas,77655,NA
485810,99999,"6.517,101.283",6.517,101.283,25200,7,TH,Thailand,th,Yala Province,NA,Yala
956080,99999,"-32.217,115.8",-32.217,115.8,28800,AWST,AU,Australia,au,Western Australia,6167,Perth
636740,99999,"0.183,30.1",0.183,30.1,10800,EAT,UG,Uganda,ug,Kasese,276,Kasese
108390,99999,"48.4,9.983",48.4,9.983,3600,CET,DE,Germany,de,Baden-Württemberg,89073,Ulm
722293,99999,"29.784,-93.3",29.784,-93.3,-21600,CST,US,United States of America,us,Louisiana,70631,NA
839640,99999,"-30.533,-52.517",-30.533,-52.517,-10800,-3,BR,Brazil,br,Rio Grande do Sul,NA,NA
029020,99999,"64.333,23.45",64.333,23.45,7200,EET,FI,Finland,fi,Northern Finland,NA,Kalajoki
684980,99999,"-28.8,32.1",-28.8,32.1,7200,SAST,ZA,RSA,za,KwaZulu-Natal,3901,uMhlathuze Local Municipality
997249,99999,"26.9,-69.1",26.9,-69.1,NA,NA,NA,NA,NA,NA,NA,NA
957750,99999,"-32.75,151.567",-32.75,151.567,39600,AEDT,AU,Australia,au,New South Wales,2320,NA
418900,99999,"24.967,91.883",24.967,91.883,21600,6,BD,Bangladesh,bd,Sylhet Division,NA,Sylhet
974060,99999,"1.817,127.833",1.817,127.833,32400,WIT,ID,Indonesia,id,North Maluku,NA,NA
033700,99999,"53.4,-0.567",53.4,-0.567,0,GMT,GB,United Kingdom,gb,England,DN21 5XQ,West Lindsey
404980,99999,"19.967,42.667",19.967,42.667,10800,AST,SA,Saudi Arabia,sa,NA,NA,NA
72030,NA,"47.65,-3.5",47.65,-3.5,NA,NA,FR,France,fr,Brittany,56590,NA
165040,99999,"40.839,8.405",40.839,8.405,3600,CET,IT,Italy,it,Sardinia,07046,NA
992060,99999,"47.4,-124.5",47.4,-124.5,-28800,PST,US,United States of America,us,Washington,NA,NA
224520,99999,"65.967,40.717",65.967,40.717,10800,MSK,RU,Russia,ru,Arkhangelsk Oblast,NA,NA
977900,99999,"-4.533,129.9",-4.533,129.9,32400,WIT,ID,Indonesia,id,Moluccas,NA,NA
471570,99999,"35.667,127.917",35.667,127.917,32400,KST,KR,South Korea,kr,South Gyeongsang,670-802,거창군
224810,99999,"65.767,46.2",65.767,46.2,10800,MSK,RU,Russia,ru,Arkhangelsk Oblast,NA,Быченское сельское поселение
601954,99999,"31.967,-4.417",31.967,-4.417,0,WET,MA,Morocco,ma,NA,52005,Errachidia
829650,99999,"-9.866,-56.106",-9.866,-56.106,-14400,AMT,BR,Brazil,br,Mato Grosso,7858000,NA
082330,99999,"40.933,-1.3",40.933,-1.3,3600,CET,ES,Spain,es,Aragon,44495,NA
122120,99999,"53.791,15.826",53.791,15.826,3600,CET,PL,Poland,pl,West Pomeranian Voivodeship,78-301,NA
560800,99999,"35,102.9",35,102.9,28800,CST,CN,PRC,cn,Gansu,NA,Nawu
411410,99999,"16.9,42.533",16.9,42.533,10800,3,SA,Saudi Arabia,sa,NA,45142,Jizan
036940,99999,"51.55,0.833",51.55,0.833,0,GMT,GB,United Kingdom,gb,England,SS3 9XE,NA
12771,NA,"63.717,11.233",63.717,11.233,3600,CET,NO,Norway,no,Nord-Trøndelag,7620,NA
876400,99999,"-36.2,-61.067",-36.2,-61.067,-10800,ART,AR,Argentina,ar,Buenos Aires,6550,NA
304970,99999,"55.3,123.167",55.3,123.167,32400,9,RU,Russia,ru,Amur Oblast,NA,Нюкжинский сельсовет
975700,99999,"-1.867,136.233",-1.867,136.233,32400,WIT,ID,Indonesia,id,Papua,98211,NA
994972,99999,"44.6,-87.43",44.6,-87.43,-21600,CST,US,United States of America,us,Wisconsin,54201,Algoma
119160,99999,"48.983,19.6",48.983,19.6,3600,CET,SK,Slovakia,sk,Region of Žilina,03251,District of Liptovský Mikuláš
60720,NA,"56.3,10.133",56.3,10.133,3600,CET,DK,Denmark,dk,Central Denmark Region,8380,NA
766581,99999,"19.233,-103.733",19.233,-103.733,-21600,CST,MX,Mexico,mx,Colima,28070,Colima
949340,99999,"-37.25,150.05",-37.25,150.05,39600,AEDT,AU,Australia,au,New South Wales,2551,NA
931290,99999,"-36.867,175.667",-36.867,175.667,46800,NZDT,NZ,New Zealand,nz,Waikato,3510,NA
224180,99999,"64.967,32.917",64.967,32.917,10800,MSK,RU,Russia,ru,Republic of Karelia,NA,Кривопорожское сельское поселение
13270,NA,"60.383,5.967",60.383,5.967,3600,CET,NO,Norway,no,Hordaland,5602,NA
720974,344,"35.178,-86.066",35.178,-86.066,-21600,CST,US,United States of America,us,Tennessee,NA,Winchester
720974,99999,"35.178,-86.066",35.178,-86.066,-21600,CST,US,United States of America,us,Tennessee,NA,Winchester
845720,99999,"-10.667,-77.833",-10.667,-77.833,-18000,-5,PE,Peru,pe,Lima,NA,NA
722925,93117,"33.02,-118.5855",33.02,-118.5855,-28800,PST,US,United States of America,us,California,NA,NA
722925,99999,"33.02,-118.5855",33.02,-118.5855,-28800,PST,US,United States of America,us,California,NA,NA
489525,99999,"15.6,105.8",15.6,105.8,25200,ICT,LA,Laos,la,Salavan Province,NA,NA
725570,14943,"42.391,-96.379",42.391,-96.379,-21600,CST,US,United States of America,us,Iowa,51054,Sioux City
561460,99999,"31.617,100",31.617,100,28800,CST,CN,PRC,cn,Sichuan,NA,NA
307500,99999,"52.067,113.433",52.067,113.433,32400,9,RU,Russia,ru,Zabaykalsky Krai,672042,Chita
992080,99999,"41.4,-71.08",41.4,-71.08,-18000,EST,US,United States of America,us,Massachusetts,NA,Westport
507450,99999,"47.24,123.918",47.24,123.918,28800,CST,CN,PRC,cn,Heilongjiang,NA,NA
285370,99999,"55.7,57.9",55.7,57.9,18000,5,RU,Russia,ru,Bashkortostan,452534,NA
997469,99999,"48.8,-28.4",48.8,-28.4,NA,NA,NA,NA,NA,NA,NA,NA
725406,54817,"43.7815,-82.9845",43.7815,-82.9845,-18000,EST,US,United States of America,us,Michigan,48413,Bad Axe
725406,99999,"43.7815,-82.9845",43.7815,-82.9845,-18000,EST,US,United States of America,us,Michigan,48413,Bad Axe
305440,99999,"54.417,110.4",54.417,110.4,28800,8,RU,Russia,ru,Buryatia,NA,NA
024283,99999,"59.224,15.038",59.224,15.038,3600,CET,SE,Sweden,se,Örebro län,705 94,Örebro
010680,99999,"71.017,25.983",71.017,25.983,3600,CET,NO,Norway,no,Finnmark,9750,NA
594170,99999,"22.367,106.75",22.367,106.75,28800,CST,CN,PRC,cn,Guangxi,NA,NA
577720,99999,"27.733,112.533",27.733,112.533,28800,CST,CN,PRC,cn,Hunan,NA,Xiangxiang
721018,99999,"47.974,-102.223",47.974,-102.223,-21600,CST,US,United States of America,us,North Dakota,58763,New Town
616980,99999,"12.883,-14.967",12.883,-14.967,0,GMT,SN,Senegal,sn,Kolda Region,NA,NA
625700,99999,"0,0",0,0,NA,NA,NA,NA,NA,NA,NA,NA
433570,99999,"10.517,76.217",10.517,76.217,19800,IST,IN,India,in,Kerala,680001,Thrissur
856080,99999,"-34.167,-70.767",-34.167,-70.767,-10800,CLST,CL,Chile,cl,O'Higgins Region,LOURDES,Rancagua
716710,99999,"45.07,-64.48",45.07,-64.48,-14400,AST,CA,Canada,ca,Nova Scotia,B4N 3C9,NA
030700,99999,"57.35,-3.35",57.35,-3.35,0,GMT,GB,United Kingdom,gb,Scotland,AB37 9AP,NA
858327,99999,"-34.167,-70.783",-34.167,-70.783,-10800,-3,CL,Chile,cl,O'Higgins Region,2820000,Rancagua
998010,99999,"31.417,-81.283",31.417,-81.283,-18000,EST,US,United States of America,us,Georgia,NA,NA
629410,99999,"4.872,31.601",4.872,31.601,10800,EAT,SS,South Sudan,ss,Central Equatoria,PRIVATE BAG,Juba
021430,99999,"66.217,19.133",66.217,19.133,3600,CET,SE,Sweden,se,Norrbottens län,NA,NA
478190,99999,"32.817,130.7",32.817,130.7,32400,JST,JP,Japan,jp,Kumamoto Prefecture,860-0863,Kumamoto
584670,99999,"0,0",0,0,NA,NA,NA,NA,NA,NA,NA,NA
114640,99999,"50.55,13.933",50.55,13.933,3600,CET,CZ,Czechia,cz,Northwest,41501,NA
607930,99999,"26.583,12.767",26.583,12.767,7200,EET,LY,Libya,ly,Wadi al Hayaa,NA,Awbari
267110,99999,"54.633,21.8",54.633,21.8,7200,EET,RU,Russia,ru,Kaliningrad,238150,NA
913770,99999,"6.1,171.4",6.1,171.4,NA,NA,MH,Marshall Islands,mh,NA,NA,Mili
028140,99999,"66.717,27.167",66.717,27.167,7200,EET,FI,Finland,fi,Northern Finland,NA,NA
286740,99999,"55.1,67.967",55.1,67.967,18000,5,RU,Russia,ru,Kurgan Oblast,NA,NA
70220,NA,"49.65,-1.5",49.65,-1.5,3600,CET,FR,France,fr,Normandy,50110,NA
722126,4879,"41.5365,-87.5325",41.536500000000004,-87.5325,-21600,CST,US,United States of America,us,Illinois,60411,NA
722126,99999,"41.5365,-87.5325",41.536500000000004,-87.5325,-21600,CST,US,United States of America,us,Illinois,60411,NA
262750,99999,"58.017,31.317",58.017,31.317,10800,MSK,RU,Russia,ru,Novgorod Oblast,174202,городское поселение Старая Русса
167490,99999,"36.405,28.086",36.405,28.086,7200,EET,GR,Greece,gr,Aegean,85104,NA
959090,99999,"-36.5,148.283",-36.5,148.283,39600,AEDT,AU,Australia,au,New South Wales,2627,NA
247840,99999,"62.6,140.7",62.6,140.7,36000,10,RU,Russia,ru,Sakha Republic,NA,Ючюгейский наслег
722121,99999,"36.4,-76.02",36.4,-76.02,-18000,EST,US,United States of America,us,North Carolina,27956,NA
998172,99999,"56.05,-132.7",56.05,-132.7,-32400,AKST,US,United States of America,us,Alaska,99929,NA
404450,99999,"24.15,47.317",24.15,47.317,10800,3,SA,Saudi Arabia,sa,NA,NA,NA
484262,99999,"14.883,100.667",14.883,100.667,25200,7,TH,Thailand,th,Lopburi Province,NA,NA
919360,99999,"-17.75,-149.167",-17.75,-149.167,NA,NA,FR,"France, Polynésie française (eaux territoriales)",fr,French Polynesia,NA,Taiarapu-Est
024300,99999,"60.917,15.117",60.917,15.117,3600,CET,SE,Sweden,se,Dalecarlia,79532,NA
625680,99999,"30.3,-28.2",30.3,-28.2,NA,NA,NA,NA,NA,NA,NA,NA
749162,99999,"32.466,-100.466",32.466,-100.466,-21600,CST,US,United States of America,us,Texas,79556,NA
011840,99999,"68.933,16.683",68.933,16.683,3600,CET,NO,Norway,no,Troms,9425,NA
