usaf,lat,lon
013801,61.167,9.967
013810,60.7,10.867
013820,60.767,10.8
013830,61.4,11.08
013839,60.817,11.067
013840,60.194,11.1
013850,60.817,11.067
013860,60.8,11.1
013870,61.45,10.183
013890,61.183,11.367
013910,60.617,12.017
013920,60.617,12.017
013930,61.883,12.033
013970,61.3,12.267
014000,56.55,3.217
014010,59.983,2.25
014030,59.3,4.867
014033,56.55,3.25
014035,59.35,5.217
014060,59.917,5.067
014080,59.345,5.208
014090,59.15,5.25
014110,59.067,5.417
014120,58.65,5.567
014130,58.75,5.65
014140,59.433,5.067
014150,58.877,5.638
014160,58.95,5.733
014170,59.483,5.75
014180,60.017,5.2
014190,59.05,6.117
014211,59.85,6
014220,59.167,6.033
014230,59.167,6.05
014240,59.65,6.367
014250,58.517,6.517
014260,58.433,5.867
014270,58.117,6.567
014280,58.099,6.626
014281,59.111,2.846
014300,58.017,7.45
014310,58.933,6.917
014320,58.883,6.85
014321,58.967,6.933
014330,59.833,6.983
014340,59.767,7.367
014350,59.817,7.217
014360,57.983,7.05
014390,58.25,7.442
014400,59.333,6.867
014410,59.583,7.383
014420,58.667,7.8
014440,59.2,7.517
014450,59.45,8
014460,59.567,8.2
014470,59.5,8.2
014480,58.067,8.05
014490,58.867,9.033
014500,59.833,8.183
014520,58.204,8.085
014530,58.6,8.417
014550,59.033,8.517
014590,58.65,8.633
014600,59.433,10.583
014611,59.85,8.65
014620,59.083,9.667
014630,59.65,10.767
014640,58.333,8.517
014650,58.4,8.783
014660,59.967,11.033
014670,58.633,9.15
014680,60.183,12
014690,60.167,10.25
014700,59.383,9.2
014703,59.566,9.212
014710,60.05,9.15
014730,59.617,9.633
014740,59.9,9.533
014750,59.183,9.567
014760,58.85,9.55
014770,59.717,10.15
014780,58.967,10.15
014800,59.75,10.133
014810,59.233,10.35
014820,59.033,10.517
014825,59.187,10.259
014830,59.183,10.267
014840,59.917,11.583
014843,59.317,10.45
014850,59.617,10.217
014860,59.85,10.433
014870,59.933,10.833
014880,60.117,10.833
014881,61.206,1.829
014890,60.05,10.683
014900,59.983,10.683
014920,59.95,10.717
014930,59.283,11.117
014940,59.379,10.786
014950,59.15,10.833
014960,59.817,11.483
014970,59,11.533
014980,59.967,12.217
015000,59.383,11.383
020001,56.083,13.213
020120,67.733,17.467
020130,67.733,17.467
020180,67.533,18.233
020190,68.417,18.167
020200,68.417,18.167
020220,68.35,18.817
020230,68.433,18.633
020240,67.5,18.3
020260,67.317,18.883
020290,67.917,18.6
020310,68.067,19.833
020320,68.217,19.717
020360,67.85,19.033
020380,67.25,20.267
020430,67.933,21.067
020440,67.822,20.337
020450,67.833,20.417
020480,67.167,20.667
020490,67.132,20.815
020500,68.417,18.117
020510,68.45,22.5
020520,66.95,17.75
020530,67.133,20.667
020540,68.05,21.75
020550,68.683,21.533
020560,65.067,17.167
020570,65.55,22.133
020580,65.833,24.15
020590,64.5,14.133
020600,68.683,21.533
020620,63.183,14.5
020630,64.167,17.367
020640,67.333,22.233
020650,62.033,14.367
020660,62.533,17.45
020670,61.683,13.133
020680,61.8,16.567
020690,61.267,17.1
020700,60.15,13.8
020710,58.583,16.15
020711,60.417,15.517
020720,67.733,22.833
020730,59.367,13.467
020740,59.267,15.333
020750,59.583,16.633
020760,59.883,17.6
020770,59.35,17.95
020790,58.433,12.7
020800,68.45,22.45
020810,68.45,22.45
020820,58.75,17.867
020830,58.4,19.2
020840,68.05,22
020850,57.717,13.117
020860,67.767,22.35
020870,57.767,14.083
020880,67.083,22.217
020890,57.367,17.1
020900,57.667,18.35
020910,57.667,18.35
020920,67.95,23.467
020930,56.867,14.8
020940,56.033,15.8
020950,67.2,23.383
020960,67.217,23.4
020970,55.6,13.067
020980,55.55,13.367
020990,55.433,13.833
021000,68.683,21.533
021010,65.806,15.083
021020,65.1,14.517
021030,65.783,15.067
021040,65.817,15.083
021050,65.533,14.983
021060,66.6,19.833
021080,65.067,14.8
021090,65.9,19.1
021100,65.333,15.067
021110,65.867,20.133
021120,63.05,12.267
021140,64.45,15.6
021150,63.3,12.133
021160,63.317,13.65
021170,63.567,19.5
021180,65.317,16.033
021190,66.883,18.017
021200,66.883,18.017
021205,64.95,17.7
021210,66.683,16.117
021220,66.533,17.667
021230,66.317,17.1
021240,66.05,17.833
021250,60.317,12.7
021260,65.017,17.7
021270,65.067,17.167
021280,65,17.7
021290,64.967,17.7
021300,66.483,16.417
021310,59.667,12.583
021330,58.967,14.9
021350,65.567,17.867
021360,65.5,18.95
021380,60.5,18.867
021410,66.317,19.217
021420,66.496,20.147
021430,66.217,19.133
021440,65.983,18.933
021450,66.15,19.633
021460,66.5,19.683
021470,65.15,18.6
021480,58.617,16.117
021490,65.6,19.267
021500,58.783,16.917
021510,66.483,20.167
021520,66.3,20.417
021540,65.875,20.15
021550,57.3,14.133
021560,63.967,13.717
021580,65.133,20.783
021590,65.12,20.77
021600,66.75,21.05
021610,66.75,20.933
021620,56.467,13.65
021630,56.083,13.233
021640,66.383,21.633
021660,56.267,15.283
021670,55.383,12.817
021690,65.867,21.45
021700,65.75,21.767
021710,65.817,21.633
021720,65.683,20.967
021730,65.667,21.067
021740,66.283,21.133
021760,65.033,21.567
021810,66.267,22.85
021820,66.267,22.833
021830,65.55,22.117
021840,66.817,22.333
021850,65.55,22.133
021860,65.544,22.122
021880,65.317,22.383
021900,66.85,23.033
021910,65.7,23.1
021960,65.833,24.15
021970,65.817,24.117
021990,66.617,23.467
022000,63.983,12.867
022020,68.217,19.717
022040,67.85,19.033
022060,63.283,12.133
022070,63.283,12.117
022090,63.05,12.283
022100,63.183,12.167
022150,63.433,13.083
022160,63.3,13.883
022170,63.367,13.167
022180,63.317,13.65
022190,64.5,14.217
022210,63.833,13.5
022220,64.5,14.167
022230,63.967,13.717
022240,63.767,14.433
022260,63.2,14.5
022271,65.85,23.133
022280,64.05,12.95
022290,63.2,14.483
022300,64.217,15.55
022310,63.683,14.6
022320,64.433,15.633
022330,64.967,15.383
022340,63.867,15.583
022360,63.767,15.333
022420,64.083,16.233
022430,63.683,16.95
022440,63.683,16.95
022450,64.583,16.85
022455,64.548,18.716
022470,63.15,16.167
022480,63.167,16.167
022510,62.8,13.067
022520,64.45,17.083
022540,64.167,17.317
022550,62.5,16.183
022560,64.733,17.4
022570,61.85,12.267
022580,65.817,16.717
022590,63.049,17.769
022600,63.133,18.25
022610,64.55,18.717
022620,66.567,16.35
022630,64.083,18.367
022640,64.083,18.417
022650,63.65,18.55
022660,64.583,16.85
022670,63.408,18.99
022690,63.183,19.017
022700,64.917,19.467
022710,64.933,19.383
022740,64.217,19.717
022760,63.567,19.5
022780,63.15,16.167
022790,59.867,11.967
022800,59.283,12.05
022810,59.05,12.7
022820,64.567,19.7
022830,63.817,20.233
022840,63.433,19.683
022860,63.792,20.283
022861,61.267,17.1
022870,63.8,20.867
022880,63.6,20.75
022890,63.333,20.183
022900,64.917,21.233
022920,64.433,21.283
022930,64.625,21.077
022960,64.483,21.583
022970,64.483,21.583
022980,58.567,11.55
023000,62.583,12.217
023020,61.833,12.283
023030,62.733,12.733
023040,61.85,12.267
023050,58.9,13.25
023060,61.133,12.817
023070,61.883,12.85
023080,62.45,12.667
023100,62.8,13.067
023110,61.15,13.117
023120,58.067,15.217
023130,58.1,14.4
023140,62.1,13.25
023141,58.017,16.067
023160,61.7,13.183
023170,62.1,13.617
023180,61.167,13.017
023190,62.75,13.85
023191,57.417,13.283
023201,57.967,13.85
023210,61.25,14.033
023230,62.533,14.2
023240,62.017,14.183
023250,62.5,14.15
023260,64.083,18.417
023270,62.05,14.4
023280,63.05,17.767
023290,61.667,15
023300,62.75,15.1
023310,62.75,15.083
023321,57.15,15.667
023330,56.833,13.917
023340,62.033,15.467
023360,61.383,15.833
023370,62.267,15.667
023380,61.367,15.717
023420,62.517,16.183
023430,62.5,16.283
023451,55.633,13.7
023460,61.783,16.55
023470,61.833,16.55
023490,62.767,16.733
023540,62.433,17.35
023550,61.7,17.533
023600,64.633,21.083
023610,62.633,17.95
023631,62.517,17.683
023640,63.4,18.967
023650,62.517,17.45
023660,62.528,17.444
023670,62.367,17.533
023680,62.217,17.75
023700,60.6,16.95
023710,60.433,15.5
023750,59.35,16.717
023760,61.267,17.1
023780,61.45,17.167
023810,58.583,16.25
023820,62.65,18.1
023980,55.917,14.083
024000,60.35,12.65
024020,59.867,11.967
024030,58.7,13.117
024040,59.667,12.583
024060,59.283,12.05
024070,60.683,13.7
024080,59.217,12.083
024090,59.05,12.7
024100,60.683,13.7
024110,59.676,12.639
024120,60.15,13.8
024130,60.75,12.767
024150,59.367,13.467
024161,59.617,13.733
024170,58.75,13.15
024180,59.445,13.337
024190,59.367,13.467
024200,60.517,14.95
024220,59.617,14.183
024230,59.867,13.117
024240,59.95,14.95
024260,60.15,13.8
024280,59.1,14.367
024283,59.224,15.038
024284,60.958,14.511
024285,60.158,12.991
024290,59.667,14.183
024300,60.917,15.117
024310,59.867,15.25
024320,59.233,15.05
024330,60.617,15.667
024350,60.422,15.515
024360,59.267,15.333
024373,59.387,15.924
024390,59.533,15.583
024400,60.967,16.433
024410,60.967,14.5
024430,59.65,17.117
024440,60.167,16.317
024460,59.589,16.634
024480,59.2,16.917
024490,59.383,16.45
024500,60.733,17.567
024510,60.883,17.917
024520,59.3,14.9
024530,60.717,17.167
024540,60.75,17.35
024560,60.233,17.9
024580,59.897,17.589
024600,59.652,17.919
024620,59.867,17.633
024640,59.354,17.942
024650,59.35,17.967
024680,60.383,15.133
024690,59.183,17.917
024700,60.533,18.383
024710,60.5,18.867
024720,60.117,15.117
024730,60.283,18.917
024740,60.167,18.75
024760,59.05,16.4
024800,59.85,18.733
024810,59.917,16.683
024820,60.267,16.983
024830,59.35,18.067
024840,59.35,18.067
024850,59.35,18.067
024853,58.789,16.912
024860,59.367,17.517
024870,59.35,18.733
024880,60.533,18.383
024890,59.067,18.117
024900,59.833,18.633
024930,59.75,19.417
024940,64.483,21.583
024950,59.55,20.017
024960,59.45,19.5
024980,59.45,19.5
024990,59.15,19.133
025000,58.9,11
025010,58.583,11.067
025020,58.9,12.033
025040,58.567,11.55
025050,58.1,11.333
025070,58.667,11.417
025080,58.1,11.35
025100,58.217,11.933
025103,58.318,12.345
025105,58.466,13.174
025110,57.217,11.833
025120,57.775,11.87
025130,57.717,12
025140,65.59,19.282
025150,58.2,12.15
025160,57.633,11.617
025170,57.6,11.633
025180,57.3,11.9
025190,57.267,12.117
025200,58.426,12.714
025210,58.6,12.417
025230,65.983,18.933
025240,57.933,13.067
025260,57.663,12.28
025270,57.667,12.291
025280,61.167,13.017
025290,57.117,12.267
025300,58.9,13.25
025330,58.383,13.25
025350,58.456,13.973
025360,57.783,13.167
025361,57.717,13.083
025380,57.4,13.533
025390,57.117,12.783
025400,58.6,12.2
025410,58.967,14.9
025420,58.317,13.033
025430,58.65,14.133
025440,58.517,14.517
025450,58.567,14.567
025460,58.883,14.383
025480,58.1,14.417
025490,57.5,14.467
025500,57.758,14.069
025520,58.067,15.233
025530,58.083,13.783
025531,57.917,14.083
025540,58.717,15.033
025550,57.65,14.7
025560,57.292,14.137
025570,57.883,15.867
025580,58.683,16.317
025590,57.7,16.467
025600,58.8,15.117
025610,58.65,15.433
025620,58.402,15.526
025625,58.406,15.681
025630,58.25,17.017
025635,56.283,12.833
025640,58.067,15.233
025650,57.526,15.823
025660,57.4,15.817
025670,58.75,17.867
025680,57.067,15.967
025700,58.617,16.117
025710,58.586,16.251
025720,58.783,16.917
025740,58.583,16.15
025750,57.367,17.1
025760,57.717,16.467
025800,58.967,18.45
025810,58.95,18.267
025820,58.75,17.867
025830,58.6,17.467
025840,58.4,19.2
025860,58.25,17.017
025870,57.917,18.95
025880,57.9,19.167
025890,58.4,19.2
025900,57.663,18.346
025910,57.65,18.35
025920,57.367,17.1
025931,57.433,18.15
025940,57.3,17.967
025950,57.55,18.433
025960,57.417,18.917
025970,64.283,27.683
025980,57.433,18.983
025990,57.067,18.217
026000,56.933,12.367
026020,56.4,12.95
026030,56.867,12.667
026040,56.691,12.82
026050,56.45,12.55
026060,56.3,12.45
026070,56.283,12.083
026090,55.467,13.667
026100,55.867,12.867
026110,56.033,12.767
026140,55.6,12.85
026150,55.383,12.817
026151,55.517,12.917
026160,55.383,12.817
026170,55.383,13.067
026180,56.95,13.067
026200,56.967,13.067
026220,56.85,13.883
026230,55.867,13.667
026240,56.467,13.65
026241,56.433,13.6
026250,55.483,14.317
026260,56.367,13.95
026270,55.717,13.217
026280,56.017,14.85
026290,56.283,13.933
026291,55.967,13.85
026300,56.083,13.233
026320,55.95,15.7
026330,55.717,13.217
026350,55.567,13.067
026360,55.53,13.372
026380,55.333,13.35
026390,55.433,13.833
026400,56.867,14.8
026410,56.929,14.728
026440,56.2,16.4
026460,56.667,16.467
026480,56.85,14.833
026500,56.017,14.85
026510,55.922,14.086
026520,56.017,14.1
026531,55.983,14.3
026540,55.667,14.267
026560,55.383,14.2
026610,56.833,15.467
026640,56.267,15.265
026660,56.033,15.8
026670,56.15,15.583
026700,56.683,16.3
026720,56.686,16.288
026760,56.2,16.4
026790,56.917,18.15
026800,56.917,18.15
026810,58.483,15.517
026850,56.067,16.683
027010,69.05,20.85
027020,69.133,27.267
027030,60.2,24.733
027040,61.117,24.317
027050,67.017,27.217
027060,60.25,24.05
027080,62.183,22.8
027100,62.917,26.417
027110,63.1,21.617
027130,61.217,25.133
027140,64.5,26.44
027150,64.833,28.233
027160,65.933,26.517
027170,68.167,25.767
027180,61.517,28.183
027190,67.817,27.75
027200,67.701,24.847
027210,63.95,22.85
027220,68.417,27.417
027230,67.783,24.85
027240,60.117,20.3
027250,63.45,24.45
027260,68.6,23.583
027270,61.267,25.517
027280,61.3,28.183
027290,61.883,25.333
027300,61.833,28.85
027310,61.533,28.2
027320,62.8,27.9
027330,61.033,28.567
027340,61.45,29.467
027350,62.333,23.55
027360,61.9,27.883
027370,63.817,24.167
027380,63.733,25.7
027390,64.117,28.333
027410,60.183,19.983
027430,59.867,22.2
027440,61.5,23.767
027450,67.167,29.183
027460,59.817,22.917
027470,60.383,22.1
027480,62.171,27.869
027500,59.85,23.25
027510,61.633,21.383
027520,62.2,21.167
027530,61.833,22.467
027540,61,24.5
027550,64.05,24.717
027560,60.367,23.117
027570,59.817,23.583
027580,60.417,24.4
027590,60.4,25.6
027600,66.167,29.133
027610,61.15,21.3
027620,61.267,22.25
027630,61.467,23.75
027640,68,24.217
027650,61.7,25.5
027660,63.15,31.05
027670,61.05,25.05
027680,61.2,26.05
027690,62.417,22.183
027700,61.85,24.283
027710,61.883,26.1
027720,62.067,28.567
027730,60.45,22.183
027770,60.467,23.65
027780,61.8,29.317
027800,62.933,21.183
027810,62.983,20.733
027830,61.183,25.033
027870,63.083,24.267
027880,63.15,27.317
027890,63.383,28.667
027900,60.25,20.75
027910,63.233,29.233
027930,62.55,29.667
027940,59.917,24.35
027950,60.1,24.983
027960,63.317,30.05
027970,64.15,25.417
027980,63.667,28.833
027990,64.3,30.167
028000,64.617,23.9
028010,69.05,20.783
028030,64.683,25.083
028040,65.583,28.217
028050,69.75,27
028060,69.1,27.217
028070,68.607,27.405
028075,68.363,23.424
028080,69.583,28.85
028110,66.367,29.317
028120,66.533,24.65
028130,66.583,26.017
028140,66.717,27.167
028150,67.283,28.183
028160,68.083,27.183
028170,68.433,27.45
028180,68.483,28.3
028190,67.75,29.617
028200,68.067,24.033
028210,67.967,24.117
028230,67.967,23.683
028234,67.7,24.833
028240,67.983,24.25
028250,70.083,27.9
028270,69.067,27.5
028280,60.383,22.55
028290,60.6,24.8
028300,60.7,26.817
028310,60.533,27.667
028320,62.233,30.35
028330,62.933,22.483
028340,63.833,27.217
028350,68.85,28.3
028360,67.395,26.619
028440,66.767,23.967
028450,66.565,25.83
028470,66.5,25.717
028480,66.817,28.667
028490,66.833,28.667
028500,62.317,27.9
028510,64.933,25.367
028520,63.85,23.117
028570,68.9,25.733
028580,69.583,28.9
028590,64.667,28.05
028600,67.65,24.9
028620,65.667,24.517
028630,65.383,24.1
028640,65.782,24.599
028650,65.517,25.267
028660,65.417,26.967
028670,65.367,27.017
028680,66.167,29.15
028690,65.988,29.239
028720,64.667,24.4
028730,65.033,24.567
028740,65.033,24.8
028744,64.061,24.716
028750,64.93,25.355
028760,65,25.4
028790,64.9,29.017
028800,65.85,24.167
028810,65.983,26.367
028820,68,24.233
028830,64.217,27.75
028880,69.05,27.75
028890,64.933,28.75
028900,69.75,27.017
028970,64.285,27.692
029010,63.733,22.583
029020,64.333,23.45
029030,63.721,23.143
029050,63.917,24.967
029060,60.167,22.75
029070,64.333,23.45
029100,63.433,21.067
029110,63.051,21.762
029120,63.1,21.583
029130,63.127,23.051
029135,63.717,23.133
029140,63.117,23.05
029150,63.083,25.867
029170,63.007,27.798
029190,61.2,28.467
029200,63.75,22.517
029210,62.883,21.1
029240,62.533,24.217
029244,62.7,22.833
029245,62.692,22.832
029260,61.483,21.783
029270,62.517,24.8
029280,62.6,29.717
029290,62.663,29.608
029310,62.333,21.183
029340,60.167,24.95
029350,62.399,25.678
029370,61.25,22.35
029390,62.767,30.983
029420,61.833,22.467
029430,61.517,23.75
029440,61.414,23.604
029450,61.856,24.787
029460,61.867,24.817
029470,61.687,27.202
029474,62.167,27.867
029480,61.943,28.945
029490,60.65,23.8
029500,60.117,21.7
029520,61.462,21.8
029530,60.983,24.45
029550,62.9,27.633
029560,60.883,26.933
029570,63.1,21.639
029580,61.045,28.144
029590,61.05,28.217
029600,61.183,22.617
029610,61.133,21.367
029630,60.817,23.5
029640,60.717,21.033
029650,60.967,25.633
029660,60.896,26.938
029670,60.283,27.183
029680,60.383,27.05
029700,60.122,19.898
029710,60.15,19.867
029720,60.514,22.263
029730,60.4,23.767
029740,60.317,24.963
029750,60.255,25.043
029760,60.383,26.967
029780,60.183,24.95
029790,59.5,20.35
029800,59.967,19.95
029810,59.783,21.367
029820,59.767,22.95
029830,60.517,24.65
029840,59.933,24.017
029851,60.183,24.783
029860,60.1,24.917
029870,59.983,25.6
029880,60.1,25.067
029890,59.95,24.933
029900,60.3,20.75
029910,60.2,25.633
029920,60.283,26.45
029930,60.3,19.133
029960,60.4,21.95
029980,60.2,24.967
030010,60.85,-0.883
030020,60.75,-0.85
030030,59.879,-1.296
030040,60.533,-1.383
030050,60.133,-1.183
030060,60.45,-1.267
030064,60.433,-1.296
030065,60.733,-0.817
030070,60.583,-1.267
030080,59.533,-1.633
030090,59.367,-2.417
030100,59.083,-4.4
030110,59.117,-5.817
030130,60.15,-2.067
030140,60.117,-2.067
030170,58.958,-2.905
030180,53.582,-3.056
030200,57.817,-8.567
030210,57.15,-7.317
030220,57.481,-7.363
030230,57.333,-7.367
030240,56.967,-6.683
030250,58.517,-6.267
030260,58.216,-6.331
030270,57.433,-6.767
030280,57.417,-6.783
030290,56.733,-6.217
030300,57.1,-5.833
030310,57.717,-4.883
030320,57.867,-5.817
030330,57.583,-5.7
030340,57.867,-5.633
030350,57.033,-7.45
030360,57.25,-5.867
030370,57.25,-5.8
030380,56.833,-5.1
030390,57.417,-5.683
030400,56.767,-6.05
030410,56.817,-4.967
030430,57.4,-5.483
030440,58.283,-4.433
030460,57.617,-4.817
030470,56.867,-4.7
030490,58.633,-5
030500,57.133,-4.717
030520,57.95,-4.417
030521,57.95,-4.417
030530,57.6,-3.867
030540,58.6,-4.017
030550,58.867,-3.383
030560,56.933,-4.233
030570,57.267,-4.483
030580,57.683,-4.167
030590,57.543,-4.048
030600,56.7,-4.017
030610,57.867,-3.767
030620,57.817,-3.967
030630,57.2,-3.833
030640,57.167,-3.7
030650,57.117,-3.633
030660,57.649,-3.561
030670,56.9,-3.633
030680,57.705,-3.339
030700,57.35,-3.35
030710,57.333,-3.633
030720,56.883,-3.417
030731,57.033,-3.217
030740,58.617,-3.55
030750,58.459,-3.093
030760,58.45,-3.1
030770,58.317,-3.283
030800,57.083,-2.833
030820,56.767,-3.383
030840,56.717,-3.517
030850,57.067,-2.533
030880,56.85,-2.267
030890,56.683,-2.45
030900,57.633,-2.233
030910,57.202,-2.198
030920,57.5,-1.767
030930,57.683,-2
030940,57.7,-2.117
030960,56.65,-3.383
030970,56.75,-6.883
031000,56.499,-6.869
031020,55.667,-6.5
031050,55.683,-6.25
031051,55.683,-6.25
031053,55.683,-6.25
031060,55.917,-6.133
031070,55.817,-5.1
031110,55.433,-5.7
031140,56.417,-5.467
031160,56.4,-5
031180,55,-5.15
031190,54.85,-5.133
031200,55.7,-5.3
031210,55.433,-5.1
031220,55.417,-5.117
031290,55.65,-4.817
031300,54.85,-4.95
031310,54.633,-4.85
031320,54.85,-4.95
031330,56.25,-4.717
031340,55.9,-4.533
031350,55.509,-4.587
031360,55.517,-4.583
031370,54.7,-4.417
031380,55.967,-4.8
031390,55.6,-4.217
031394,55.437,-5.686
031400,55.872,-4.433
031401,61.617,1.3
031402,59.733,1.667
031403,59.267,1.5
031404,58.717,1.4
031405,58.033,1.4
031406,57.367,1.983
031407,57.283,1.65
031408,54.017,1.1
031409,53.7,1.133
031411,60.35,-4.05
031412,60.683,-2.533
