"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023232","1969","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","702.5","","702.5","0","65","0","39","0","0","","0","0","0","0","15","0","0","0","203","0","86","0","-2.2","0,1201,+","0",",0,1231,+","0",",0,1231,+","41.4",",0,0119,","41.1","0,0803,","0.0","0,1127","-2.2","0,1201","","","","","-1.1","0,0131","-2.2","0,0110","","","","","1658.1","","1658.1","0","607.8",",0","80.4","X","0",",0","15.92","0","23.06","0","8.77","0","222480",",X","","","","","","","135","X","","","","","","","15.6","X"
"USW00023232","1970","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","715.1","","715.1","0","69","0","47","0","0","","0","0","0","0","8","0","0","0","201","0","94","0","-3.3","0,0102,","0",",0,1231,+","0",",0,1231,+","61.5",",0,1128,","41.1","0,0704,+","0.0","0,1220","","","","","","","-2.8","0,0106","-2.8","0,0106","","","","","1388.9","","1388.9","0","586.5",",0","79.0","X","0",",0","16.42","0","23.54","0","9.31","0","218844",",X","","","","","180","X","225","X","","","","","25.2","X","15.6","X"
"USW00023232","1971","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","688.2","","688.2","0","57","0","25","0","0","","0","0","0","0","22","0","0","0","187","0","87","0","-3.3","0,0305,+","0",",0,1231,+","0",",0,1231,+","19.8",",0,1227,","42.2","0,0810,","-1.1","0,1117","-2.8","0,1216","","","","","-0.6","0,0306","-3.3","0,0305","","","","","1600.4","","1600.4","0","249.0",",0","80.2","X","0",",0","15.40","0","22.67","0","8.13","0","218982",",X","","","","","135","X","360","X","","","","","22.6","X","17.0","X"
"USW00023232","1972","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","675.9","","675.9","0","66","0","32","0","0","","0","0","0","0","29","0","1","0","206","0","78","0","-6.7","0,1213,+","0","T,0,1213,","0","T,0,1212,+","28.2",",0,1115,","45.6","0,0714,+","-3.3","0,1205","-3.3","0,1205","-6.1","0,1209","-6.7","0,1211","0.0","0,0203","-3.3","0,0202","","","","","1611.7","","1611.7","0","354.1",",0","75.5","X","0","T,0","15.67","0","22.66","0","8.67","0","210090",",X","","","","","338","X","315","X","","","","","21.6","X","16.5","X"
"USW00023232","1973","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","730.3","","730.3","0","82","0","50","0","0","","0","0","0","0","14","0","0","0","201","0","78","0","-3.3","0,0107,+","0",",0,1231,+","0",",0,1231,+","46.0",",0,0227,","41.7","0,0704,","0.0","0,1126","","","","","","","-0.6","0,0127","-3.3","0,0107","","","","","1619.3","","1619.3","0","673.3",",0","73.5","X","0",",0","16.35","0","23.19","0","9.50","0","206094",",X","","","","","135","X","225","X","","","","","23.6","X","13.9","X"
"USW00023232","1974","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","612.5","","612.5","0","54","0","38","0","0","","0","0","0","0","11","0","0","0","197","0","85","0","-3.9","0,1224,","0",",0,1231,+","0","T,0,0104,","22.1",",0,1203,","39.4","0,0724,","-3.9","0,1224","-3.9","0,1224","","","","","0.0","0,0208","-2.2","0,0110","","","","","1549.4","","1549.4","0","385.1",",0","74.5","X","0","T,0","15.81","0","22.99","0","8.62","0","206094",",X","","","","","","","360","X","","","","","","","19.7","X"
"USW00023232","1975","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","896.3","","896.3","0","63","0","30","0","0","","0","0","0","0","14","0","0","0","187","0","98","0","-3.9","0,0128,","0",",0,1231,+","0",",0,1231,+","28.7",",0,0321,","44.4","0,0726,+","-2.2","0,1215","-2.2","0,1215","","","","","-1.1","0,0222","-3.3","0,0130","","","","","1681.7","","1681.7","0","335.3",",0","77.2","X","0",",0","16.22","0","23.15","0","9.28","0","211194",",X","","","","","","","360","X","","","","","","","19.2","X"
"USW00023232","1976","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","746.7","","746.7","0","31","0","16","0","0","","1","0","0","0","22","0","0","0","227","0","71","0","-3.9","0,0102,","0","T,0,0205,","51",",0,0205,","18.3",",0,0410,","41.7","0,0628,","-1.1","0,1128","-2.8","0,1224","","","","","0.0","0,0306","-2.8","0,0104","","","","","1344.1","","1344.1","0","158.9",",0","85.2","X","51",",0","16.78","0","24.40","0","9.16","0","231732",",X","","","","","","","315","X","","","","","","","15.2","X"
"USW00023232","1977","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","546.4","","546.4","0","47","0","23","0","0","","0","0","0","0","6","0","0","0","203","0","58","0","-2.2","0,0109,","0",",0,1231,+","0",",0,1231,+","39.6",",0,1121,","41.1","0,0730,","-1.1","0,1119","","","","","","","-0.6","0,0314","-2.2","0,0109","","","","","1457.8","","1457.8","0","298.0",",0","73.6","X","0",",0","15.82","0","22.77","0","8.86","0","","","","","","","","","360","X","","","","","","","14.3","X"
"USW00023232","1978","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","609.0","","609.0","0","60","0","43","0","0","","0","0","0","0","19","0","0","0","207","0","68","0","-3.9","0,1208,","0",",0,1231,+","0",",0,1231,+","38.1",",0,0105,","42.2","0,0808,","0.0","0,1111","-2.8","0,1114","","","","","","","","","","","","","1267.1","","1267.1","0","603.2",",0","71.7","X","0",",0","15.94","0","22.68","0","9.19","0","199662",",X","","","","","","","135","X","","","","","","","17.0","X"
