"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012842","1969","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1691.2","","1691.2","0","114","0","74","0","0","","0","0","0","0","1","0","0","0","288","0","77","0","0.0","0,0205,","0",",0,1231,+","0",",0,1231,+","77.5",",0,0516,","35.0","0,0710,+","","","","","","","","","0.0","0,0205","","","","","631.2","","631.2","0","1377.7",",0","68.5","X","0",",0","21.35","0","26.62","0","16.08","0","185184",",X","290","X","","","","","270","X","13.0","X","","","","","22.1","X"
"USW00012842","1970","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1773.5","","1773.5","0","98","0","66","0","0","","0","0","0","0","8","0","0","0","311","0","93","0","-5.0","0,1125,","0",",0,1231,+","0",",0,1231,+","64.8",",0,0808,","36.1","0,0804,","-0.6","0,1124","-5.0","0,1125","-5.0","0,1125","","","0.0","0,0204","-4.4","0,0110","-4.4","0,0110","552.3","","552.3","0","972.7",",0","59.4","X","0",",0","21.75","0","27.31","0","16.18","0","158190",",X","10","X","","","","","45","X","15.6","X","","","","","21.1","X"
"USW00012842","1971","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1858.7","","1858.7","0","100","0","63","0","0","","0","0","0","0","6","0","0","0","332","0","87","0","-5.0","0,0121,","0",",0,1231,+","0",",0,1231,+","87.6",",0,0515,","35.6","0,0620,","","","","","","","","","0.0","0,0215","-2.8","0,0128","-5.0","0,0121","438.5","","438.5","0","1177.6",",0","60.6","X","0",",0","22.51","0","28.04","0","16.98","0","162588",",X","300","X","","","","","225","X","16.5","X","","","","","24.2","X"
"USW00012842","1972","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1913.4","","1913.4","0","102","0","62","0","0","","0","0","0","0","0","0","0","0","335","0","91","0","1.1","0,1217,+","0",",0,1231,+","0",",0,1231,+","87.4",",0,0819,","35.6","0,0919,+","","","","","","","","","","","","","","","165.1","","165.1","0","1071.8",",0","65.8","X","0",",0","22.87","0","28.33","0","17.40","0","177774",",X","310","X","","","","","315","X","15.6","X","","","","","23.1","X"
"USW00012842","1973","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1922.1","","1922.1","0","107","0","76","0","0","","0","0","0","0","6","0","0","0","324","0","96","0","-1.1","0,1218,+","0",",0,1231,+","0",",0,1231,+","80.5",",0,0325,","35.0","0,0530,","-1.1","0,1218","","","","","","","0.0","0,0211","","","","","356.2","","356.2","0","1262.3",",0","66.1","X","0",",0","22.52","0","27.74","0","17.31","0","178368",",X","290","X","","","","","315","X","13.0","X","","","","","24.7","X"
"USW00012842","1974","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1937.3","","1937.3","0","79","0","57","0","0","","0","0","0","0","2","0","0","0","342","0","86","0","-1.1","0,0227,","0",",0,1231,+","0",",0,1231,+","138.9",",0,0626,","34.4","0,0920,+","","","","","","","","","-1.1","0,0227","","","","","238.2","","238.2","0","861.5",",0","66.4","X","0",",0","23.02","0","28.41","0","17.63","0","175578",",X","20","X","","","","","180","X","13.0","X","","","","","25.7","X"
"USW00012842","1975","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","2179.2","","2179.2","0","112","0","75","0","0","","0","0","0","0","1","0","0","0","336","0","133","0","-1.1","0,1219,","0",",0,1231,+","0",",0,1231,+","79.5",",0,0618,","36.7","0,0822,+","-1.1","0,1219","","","","","","","","","","","","","224.3","","224.3","0","1104.2",",0","73.8","X","0",",0","23.53","0","28.95","0","18.10","0","198702",",X","80","X","","","","","90","X","13.0","X","","","","","23.1","X"
"USW00012842","1976","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1638.2","","1638.2","0","115","0","70","0","0","","0","0","0","0","5","0","0","0","320","0","34","0","-2.2","0,0119,","0",",0,1231,+","0",",0,1231,+","98.0",",0,0515,","34.4","0,0720,","0.0","0,1222","","","","","","","0.0","0,0129","-2.2","0,0119","","","381.0","","381.0","0","1075.1",",0","58.5","X","0",",0","21.64","0","27.04","0","16.25","0","156786",",X","100","X","","","","","90","X","15.6","X","","","","","23.1","X"
"USW00012842","1977","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1882.5","","1882.5","0","109","0","64","0","0","","0","0","0","0","9","0","0","0","305","0","99","0","-3.3","0,0120,","0","T,0,0119,","5",",0,0119,","33.5",",0,0822,","36.7","0,0612,","-0.6","0,1223","","","","","","","0.0","0,0222","-3.3","0,0120","","","575.2","","575.2","0","799.2",",0","56.3","X","5",",0","21.95","0","27.20","0","16.71","0","150900",",X","260","X","","","","","360","X","14.3","X","","","","","24.7","X"
"USW00012842","1978","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1938.7","","1938.7","0","100","0","68","0","0","","0","0","0","0","6","0","0","0","308","0","81","0","-1.7","0,0116,","0",",0,1231,+","0",",0,1231,+","47.2",",0,0218,","34.4","0,0827,+","","","","","","","","","-0.6","0,0223","","","","","592.6","","592.6","0","1012.7",",0","67.5","X","0",",0","22.30","0","27.13","0","17.47","0","182034",",X","310","X","","","","","315","X","15.6","X","","","","","31.4","X"
