"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00074401","1920","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","657.6","","657.6","X","95","X","59","X","7","","5","X","1","X","113","X","38","X","161","X","33","X","-17.8","X,1224,","102",",X,0404,","76",",X,0403,","95.0",",X,0608,","37.8","X,0723,","-1.7","X,1028","-2.8","X,1029","-6.7","X,1110","-6.7","X,1110","-10.0","X,1112","-1.7","X,0413","-8.9","X,0405","-8.9","X,0405","-8.9","X,0405","-8.9","X,0405","3293.5","","3293.5","X","909.3",",X","241",",X","11.86","X","16.94","X","6.79","X","",""
"USW00074401","1921","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","940.1","","940.1","X","97","X","64","X","5","","3","X","0","X","99","X","18","X","185","X","59","X","-15.6","X,1224,","152",",X,0416,","178",",X,0416,","42.9",",X,0914,","37.2","X,0730,","-0.6","X,1109","-5.6","X,1111","-5.6","X,1111","-7.8","X,1204","-10.0","X,1220","-4.4","X,0417","-4.4","X,0417","-4.4","X,0417","-8.9","X,0328","-8.9","X,0328","2561.3","","2561.3","X","833.5",",X","305",",X","13.97","X","19.44","X","8.50","X","",""
"USW00074401","1922","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","820.1","","820.1","X","91","X","54","X","","","2","X","1","X","105","X","27","X","177","X","46","X","-17.8","X,0213,","","","28",",X,0301,","57.7",",X,1111,","40.0","X,0901,","-1.1","X,1017","-2.2","X,1119","-4.4","X,1125","-8.3","X,1205","-10.0","X,1208","0.0","X,0401","-2.2","X,0328","-5.6","X,0303","-11.1","X,0302","-11.1","X,0302","2774.6","","2774.6","X","856.8",",X","69",",X","12.89","X","18.43","X","7.35","X","",""
"USW00074401","1923","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","713.5","","713.5","X","113","X","60","X","6","","4","X","4","X","115","X","13","X","155","X","38","X","-20.0","X,0203,","51",",X,1129,+","64",",X,0311,","44.5",",X,0808,","36.7","X,0811,+","-1.1","X,1021","-3.3","X,1030","-5.0","X,1127","-6.7","X,1128","-12.2","X,1230","-4.4","X,0408","-4.4","X,0408","-4.4","X,0408","-8.9","X,0331","-8.9","X,0331","2856.1","","2856.1","X","696.1",",X","247",",X","12.38","X","17.69","X","7.06","X","",""
"USW00074401","1924","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","576.9","","576.9","X","118","X","66","X","37","","10","X","15","X","111","X","46","X","167","X","24","X","-28.3","X,0105,","203",",X,0205,","185",",X,0204,","69.6",",X,0624,","36.7","X,0716,","-1.1","X,1108","-2.8","X,1112","-4.4","X,1124","-8.9","X,1129","-8.9","X,1129","-6.7","X,0401","-6.7","X,0401","-6.7","X,0401","-6.7","X,0401","-9.4","X,0226","3104.0","","3104.0","X","912.2",",X","797",",X","10.99","X","16.52","X","5.46","X","",""
"USW00074401","1925","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","843.6","","843.6","X","113","X","70","X","12","","3","X","4","X","115","X","33","X","150","X","44","X","-20.0","X,1227,+","127",",X,1107,","119",",X,1107,","160.3",",X,0603,","37.8","X,0905,+","0.0","X,1009","-2.2","X,1019","-6.7","X,1027","-6.7","X,1027","-10.0","X,1028","0.0","X,0321","-5.6","X,0315","-5.6","X,0315","-8.9","X,0314","-8.9","X,0314","2883.7","","2883.7","X","1110.4",",X","290",",X","12.23","X","17.68","X","6.78","X","",""
"USW00074401","1926","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","804.2","","804.2","X","106","X","71","X","15","","9","X","3","X","124","X","27","X","159","X","44","X","-20.6","X,0122,","254",",X,0402,","193",",X,0401,","63.0",",X,0613,","41.1","X,0809,","-2.2","X,1024","-2.2","X,1024","-5.0","X,1109","-7.8","X,1110","-12.2","X,1121","0.0","X,0419","-3.3","X,0415","-6.1","X,0403","-6.7","X,0326","-9.4","X,0313","3167.8","","3167.8","X","958.2",",X","803",",X","12.12","X","17.34","X","6.90","X","",""
"USW00074401","1927","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","688.3","","688.3","X","109","X","69","X","19","","4","X","5","X","90","X","32","X","165","X","28","X","-21.7","X,1231,","127",",X,0113,","94",",X,0113,","53.6",",X,0331,","35.6","X,0727,+","-1.7","X,1105","-2.2","X,1106","-5.6","X,1116","-6.7","X,1118","-9.4","X,1202","0.0","X,0322","-3.9","X,0321","-10.0","X,0303","-10.0","X,0303","-10.0","X,0303","2909.0","","2909.0","X","958.7",",X","305",",X","12.39","X","17.59","X","7.19","X","",""
"USW00074401","1928","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","674.6","","674.6","X","99","X","56","X","7","","1","X","3","X","100","X","17","X","174","X","33","X","-22.2","X,0101,","51",",X,0329,","46",",X,0329,","101.1",",X,0911,","35.6","X,0706,+","0.0","X,1031","-2.2","X,1120","-7.8","X,1125","-7.8","X,1125","-8.9","X,1204","0.0","X,0419","-4.4","X,0415","-4.4","X,0415","-8.3","X,0305","-9.4","X,0225","2871.4","","2871.4","X","1146.7",",X","113",",X","12.63","X","18.06","X","7.19","X","",""
"USW00074401","1929","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","700.0","","700.0","X","120","X","63","X","51","","8","X","12","X","107","X","48","X","153","X","35","X","-23.3","X,0209,","178",",X,0105,","109",",X,0104,","55.1",",X,0419,","38.3","X,0821,+","-0.6","X,1104","-4.4","X,1119","-4.4","X,1119","-6.7","X,1120","-11.1","X,1121","-0.6","X,0401","-2.2","X,0310","-8.3","X,0309","-8.3","X,0309","-13.9","X,0222","3157.5","","3157.5","X","1000.6",",X","563",",X","11.01","X","16.21","X","5.82","X","",""
"USW00074401","1930","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","849.5","","849.5","X","98","X","51","X","28","","7","X","9","X","110","X","34","X","177","X","42","X","-27.2","X,0122,","254",",X,0120,","94",",X,0109,","47.0",",X,1119,","41.7","X,0803,","0.0","X,1017","-3.3","X,1020","-5.0","X,1031","-9.4","X,1126","-9.4","X,1126","-1.1","X,0401","-4.4","X,0330","-4.4","X,0330","-6.7","X,0303","-11.7","X,0302","3025.1","","3025.1","X","806.0",",X","442",",X","12.81","X","18.33","X","7.28","X","",""
"USW00074401","1931","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","966.8","","966.8","X","102","X","65","X","7","","6","X","0","X","85","X","8","X","173","X","62","X","-15.6","X,0114,","254",",X,0307,","157",",X,0307,","76.7",",X,0518,","39.4","X,0728,","-3.3","X,1124","-3.3","X,1124","-5.0","X,1125","-7.2","X,1214","","","0.0","X,0422","-4.4","X,0329","-4.4","X,0329","-6.7","X,0309","-8.9","X,0214","2756.3","","2756.3","X","1136.6",",X","438",",X","14.14","X","19.48","X","8.79","X","",""
"USW00074401","1932","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","769.7","","769.7","X","98","X","56","X","27","","9","X","4","X","115","X","37","X","172","X","40","X","-22.8","X,1216,","127",",X,0321,","117",",X,0321,","42.7",",X,0602,","36.7","X,0716,+","0.0","X,1026","-2.2","X,1101","-4.4","X,1114","-9.4","X,1115","-9.4","X,1115","-0.6","X,0331","-3.9","X,0323","-5.6","X,0322","-8.3","X,0314","-10.0","X,0313","2581.7","","2581.7","X","747.4",",X","561",",X","11.97","X","17.50","X","6.44","X","",""
"USW00074401","1933","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","914.5","","914.5","X","85","X","42","X","6","","1","X","5","X","94","X","20","X","177","X","55","X","-26.1","X,0208,","51",",X,0210,+","30",",X,0207,","62.0",",X,0612,","38.9","X,0701,+","-1.1","X,1025","-2.2","X,1107","-5.0","X,1113","-6.7","X,1116","-10.0","X,1211","-0.6","X,0411","-4.4","X,0322","-4.4","X,0322","-8.9","X,0321","-8.9","X,0321","2948.7","","2948.7","X","770.4",",X","132",",X","13.58","X","19.44","X","7.73","X","",""
"USW00074401","1934","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","1134.3","","1134.3","X","88","X","53","X","17","","7","X","2","X","104","X","27","X","186","X","74","X","-23.3","X,0227,","152",",X,0225,","130",",X,0224,","83.6",",X,0815,","43.3","X,0810,","-1.7","X,1028","-2.8","X,1101","-5.0","X,1201","-9.4","X,1206","-9.4","X,1206","-3.3","X,0331","-3.3","X,0331","-4.4","X,0328","-11.7","X,0318","-11.7","X,0318","2623.8","","2623.8","X","824.9",",X","518",",X","13.98","X","20.04","X","7.91","X","",""
"USW00074401","1935","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","808.2","","808.2","X","113","X","67","X","0","","0","X","4","X","106","X","22","X","153","X","50","X","-22.8","X,0121,","0","T,X,1231,+","20",",X,1115,","57.7",",X,0601,","40.0","X,0809,","-1.1","X,1006","-2.8","X,1031","-4.4","X,1101","-7.8","X,1202","-10.6","X,1219","-1.1","X,0416","-5.6","X,0317","-5.6","X,0317","-11.1","X,0307","-11.1","X,0307","2792.3","","2792.3","X","880.2",",X","44",",X","12.32","X","17.38","X","7.27","X","",""
