"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014756","1958","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","92.7","","92.7","0","140","0","88","0","24","","9","0","0","0","100","0","27","0","70","0","0","0","-15.0","0,0218,","178",",0,1214,+","183",",0,0201,","78.7",",0,0829,","25.6","0,0805,+","0.0","0,1123","-3.3","0,1128","-6.7","0,1130","-6.7","0,1130","-10.6","0,1211","-1.1","0,0410","-3.9","0,0330","-5.0","0,0223","-7.2","0,0220","-12.8","0,0219","3288.1","","3288.1","0","1534.4",",0","","","851",",0","8.86","0","12.39","0","5.33","0","","","","","","","","","","","","","",""
"USW00014756","1959","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","160.4","","160.4","0","132","0","86","0","13","","10","0","0","0","101","0","21","0","87","0","0","0","-13.9","0,0106,","203",",0,1223,","198",",0,1222,","48.5",",0,1128,","31.1","0,0630,","0.0","0,1030","-3.9","0,1118","-5.0","0,1220","","","","","-2.8","0,0415","-2.8","0,0415","-7.2","0,0323","-7.2","0,0323","-9.4","0,0223","3521.1","","3521.1","0","1181.3",",0","","","939",",0","9.57","0","13.13","0","6.02","0","","","","","","","","","","","","","",""
"USW00014756","1960","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","94.8","","94.8","0","108","0","64","0","31","","11","0","0","0","111","0","19","0","82","0","0","0","-11.1","0,1213,","432",",0,0306,+","394",",0,1212,","53.3",",0,1216,","26.7","0,0910,+","-0.6","0,1108","-2.2","0,1201","-5.0","0,1208","-7.8","0,1209","-10.0","0,1212","-1.1","0,0411","-8.9","0,0326","-8.9","0,0326","-8.9","0,0326","-8.9","0,0326","3244.4","","3244.4","0","980.1",",0","","","1867",",0","9.41","0","12.97","0","5.84","0","","","","","","","","","","","","","",""
"USW00014756","1961","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","138.6","","138.6","0","122","0","79","0","30","","9","0","1","0","95","0","28","0","79","0","0","0","-17.8","0,0202,","432",",0,0128,+","366",",0,0204,","67.3",",0,0725,","28.9","0,0726,","-1.7","0,1111","-2.2","0,1112","-5.6","0,1215","-8.9","0,1216","-8.9","0,1216","-0.6","0,0420","-4.4","0,0323","-4.4","0,0323","-6.7","0,0318","-8.9","0,0208","3504.7","","3504.7","0","1266.4",",0","","","1114",",0","9.37","0","12.64","0","6.10","0","","","","","","","","","","","","","",""
"USW00014756","1962","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","90.3","","90.3","0","136","0","77","0","20","","16","0","2","0","92","0","22","0","75","0","0","0","-19.4","0,1231,","178",",0,0103,","160",",0,0102,","75.9",",0,1122,","27.8","0,0827,","-0.6","0,1030","-2.8","0,1120","-4.4","0,1212","-7.2","0,1213","-8.9","0,1215","-0.6","0,0418","-3.9","0,0320","-5.0","0,0309","-8.3","0,0304","-10.6","0,0303","3223.3","","3223.3","0","1289.0",",0","","","1081",",0","9.22","0","12.77","0","5.67","0","","","","","","","","","","","","","",""
"USW00014756","1963","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","133.7","","133.7","0","133","0","78","0","20","","9","0","0","0","104","0","26","0","84","0","0","0","-15.0","0,0208,","356",",0,1219,","206",",0,1219,","70.9",",0,0916,","31.1","0,0626,","-2.8","0,1126","-2.8","0,1126","-4.4","0,1214","-6.7","0,1215","-9.4","0,1220","-1.1","0,0414","-3.3","0,0401","-4.4","0,0301","-6.7","0,0226","-10.0","0,0223","3428.2","","3428.2","0","1251.7",",0","","","910",",0","9.46","0","13.12","0","5.79","0","","","","","","","","","","","","","",""
"USW00014756","1964","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","108.4","","108.4","0","120","0","73","0","25","","11","0","0","0","99","0","15","0","81","0","1","0","-9.4","0,0218,+","483",",0,0114,","277",",0,0113,","64.3",",0,0914,","33.3","0,0701,","0.0","0,1103","-2.2","0,1122","-4.4","0,1201","-7.8","0,1218","","","-1.7","0,0426","-2.2","0,0406","-5.6","0,0401","-7.2","0,0227","-9.4","0,0218","3332.8","","3332.8","0","1083.0",",0","","","1310",",0","9.54","0","13.20","0","5.89","0","","","","","","","","","","","","","",""
"USW00014756","1965","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","139.0","","139.0","0","110","0","47","0","37","","9","0","0","0","127","0","20","0","88","0","0","0","-12.2","0,0130,+","381",",0,0119,+","315",",0,0116,","47.2",",0,0913,","29.4","0,0813,","-0.6","0,1006","-2.8","0,1102","-4.4","0,1125","-6.7","0,1130","-8.9","0,1208","-0.6","0,0425","-3.9","0,0401","-5.0","0,0322","-6.7","0,0227","-10.0","0,0223","3473.3","","3473.3","0","643.6",",0","56.8","X","1281",",0","8.72","0","12.67","0","4.77","0","154794",",X","","","","","90","X","","","","","21.0","X"
"USW00014756","1966","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","111.2","","111.2","0","122","0","71","0","10","","6","0","0","0","124","0","14","0","83","0","0","0","-12.8","0,0220,","76",",0,0129,+","132",",0,1221,","125.2",",0,1103,","31.1","0,0704,","-1.1","0,1027","-2.2","0,1030","-5.6","0,1031","-7.2","0,1227","-10.6","0,1228","-0.6","0,0423","-3.3","0,0417","-6.1","0,0329","-6.7","0,0328","-8.9","0,0317","3658.6","","3658.6","0","1038.8",",0","55.8","X","535",",0","8.82","0","13.06","0","4.58","0","152268",",X","","","","","180","X","","","","","24.6","X"
"USW00014756","1967","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","63.5","","63.5","0","133","0","90","0","22","","14","0","0","0","116","0","14","0","71","0","0","0","-15.0","0,0213,","279",",0,0210,","224",",0,0210,","164.6",",0,0525,","27.8","0,0710,","-2.2","0,1106","-2.2","0,1106","-5.0","0,1116","-8.3","0,1225","","","0.0","0,0507","-3.3","0,0413","-5.0","0,0409","-7.8","0,0321","-12.2","0,0319","3611.1","","3611.1","0","1453.7",",0","52.4","X","1487",",0","8.64","0","12.59","0","4.69","0","141576",",X","","","","","360","X","","","","","28.2","X"
"USW00014756","1968","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","128.2","","128.2","0","123","0","65","0","15","","7","0","0","0","97","0","27","0","101","0","1","0","-16.7","0,0109,","127",",0,0214,+","137",",0,0208,","58.4",",0,0613,","32.2","0,0701,","0.0","0,1121","-3.3","0,1127","-5.0","0,1128","-11.7","0,1209","-11.7","0,1209","-1.1","0,0412","-4.4","0,0407","-4.4","0,0407","-7.8","0,0315","-8.9","0,0307","3439.2","","3439.2","0","993.8",",0","50.3","X","546",",0","9.37","0","13.61","0","5.13","0","136440",",X","","","","","45","X","","","","","28.2","X"
"USW00014756","1969","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","190.4","","190.4","0","123","0","83","0","6","","8","0","0","0","96","0","7","0","97","0","1","0","-10.0","0,0101,","102",",0,0308,","127",",0,0302,","108.0",",0,1226,","32.2","0,0718,","0.0","0,1023","-5.0","0,1122","-5.0","0,1122","-6.7","0,1207","","","-1.1","0,0421","-2.2","0,0413","-5.0","0,0401","-6.7","0,0217","-10.0","0,0101","3141.3","","3141.3","0","1106.6",",0","50.3","X","564",",0","10.18","0","14.01","0","6.35","0","137916",",X","","","","","360","X","","","","","21.0","X"
"USW00014756","1970","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","193.9","","193.9","0","103","0","66","0","23","","7","0","2","0","112","0","26","0","112","0","0","0","-18.3","0,0123,","102",",0,0215,+","147",",0,0215,","51.1",",0,1102,","30.6","0,0724,","-1.1","0,1019","-5.6","0,1125","-5.6","0,1125","-7.8","0,1126","","","0.0","0,0420","-6.1","0,0331","-6.1","0,0331","-10.6","0,0227","-10.6","0,0227","3324.0","","3324.0","0","911.5",",0","","","586",",0","9.83","0","14.02","0","5.63","0","","","","","","","","","","","","","",""
"USW00014756","1971","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","299.5","","299.5","0","101","0","64","0","12","","6","0","0","0","106","0","14","0","129","0","0","0","-15.6","0,0119,","102",",0,0102,","102",",0,0101,","46.2",",0,0516,","31.1","0,0708,","-0.6","0,1109","-3.3","0,1202","-6.7","0,1203","-6.7","0,1203","-10.0","0,1219","-0.6","0,0424","-2.8","0,0409","-5.0","0,0325","-7.8","0,0225","-14.4","0,0204","3285.8","","3285.8","0","791.4",",0","","","276",",0","10.53","0","14.90","0","6.16","0","","","","","","","","","","","","","",""
"USW00014756","1972","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","82.4","","82.4","0","122","0","91","0","12","","4","0","0","0","122","0","18","0","80","0","0","0","-15.0","0,0223,","51",",0,0224,+","51",",0,0224,+","126.5",",0,0903,","30.0","0,0826,","-0.6","0,1010","-4.4","0,1020","-4.4","0,1020","-6.7","0,1117","-10.6","0,1217","-2.2","0,0527","-2.2","0,0527","-5.0","0,0319","-11.1","0,0311","-11.1","0,0311","3202.8","","3202.8","0","1359.4",",0","","","233",",0","8.72","0","13.01","0","4.44","0","","","","","","","","","","","","","",""
"USW00014756","1973","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","146.4","","146.4","0","","","","","","","","","0","0","105","0","21","0","92","0","0","0","-15.0","0,0201,+","","","","","","","30.6","0,0831,+","0.0","0,1021","-3.9","0,1108","-7.8","0,1111","-7.8","0,1111","-8.9","0,1213","-3.3","0,0421","-3.3","0,0421","-5.6","0,0413","-10.0","0,0301","-10.0","0,0301","3433.8","","3433.8","0","","","","","","","9.39","0","13.64","0","5.13","0","","","","","","","","","","","","","",""
"USW00014756","1974","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","","","","","113","0","68","0","","","","","","","","","","","","","","","","","","","","","38.1",",0,1016,","","","","","","","","","","","","","","","","","","","","","","","","","","","886.3",",0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014756","1975","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","270.5","","270.5","0","118","0","79","0","","","","","0","0","86","0","10","0","111","0","2","0","-13.3","0,0118,","","","","","66.3",",0,1113,","37.8","0,0802,","-1.7","0,1031","-2.2","0,1101","-8.3","0,1205","-8.3","0,1205","-9.4","0,1220","-1.1","0,0430","-3.9","0,0412","-6.7","0,0328","-6.7","0,0328","-8.9","0,0309","3089.5","","3089.5","0","1030.6",",0","","","","","10.68","0","14.68","0","6.68","0","","","","","","","","","","","","","",""
"USW00014756","1976","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","154.7","","154.7","0","107","0","69","0","","","","","0","0","113","0","15","0","100","0","1","0","-17.2","0,0123,","","","","","58.2",",0,1207,","33.3","0,0822,","0.0","0,1012","-3.9","0,1103","-6.1","0,1115","-7.2","0,1126","-12.8","0,1203","0.0","0,0413","-4.4","0,0412","-4.4","0,0412","-6.7","0,0323","-8.9","0,0318","2892.8","","2892.8","0","802.2",",0","","","","","9.53","0","13.89","0","5.18","0","","","","","","","","","","","","","",""
"USW00014756","1977","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","220.3","","220.3","0","113","0","74","0","","","","","0","0","90","0","28","0","90","0","2","0","-15.6","0,0118,","","","","","63.5",",0,0626,","32.8","0,0809,+","0.0","0,1023","-2.2","0,1024","-8.3","0,1208","-8.3","0,1208","-8.9","0,1210","0.0","0,0411","-3.3","0,0409","-6.7","0,0222","-6.7","0,0222","-9.4","0,0218","3464.7","","3464.7","0","1131.9",",0","","","","","9.86","0","13.57","0","6.15","0","","","","","","","","","","","","","",""
"USW00014756","1978","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","","","","","91","0","57","0","","","","","","","","","","","","","","","","","","","","","111.0",",0,0704,","","","","","","","","","","","","","","","","","","","","","","","3431.8","","3431.8","0","978.5",",0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014756","1979","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","","","","","110","0","62","0","","","","","","","","","","","","","","","","","","","","","52.3",",0,0226,","","","","","","","","","","","","","","","","","","","","","","","","","","","818.5",",0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014756","1980","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","241.0","","241.0","0","96","0","61","0","","","","","0","0","100","0","29","0","91","0","0","0","-17.2","0,1226,+","","","","","56.4",",0,0115,","28.9","0,0807,+","-2.2","0,1109","-2.2","0,1109","-4.4","0,1120","-7.8","0,1211","-10.6","0,1220","-0.6","0,0401","-5.0","0,0316","-5.0","0,0316","-6.7","0,0313","-12.8","0,0301","3176.0","","3176.0","0","664.2",",0","","","","","9.69","0","13.12","0","6.26","0","","","","","","","","","","","","","",""
"USW00014756","1981","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","153.5","","153.5","0","103","0","67","0","","","","","0","0","90","0","24","0","83","0","0","0","-17.2","0,0104,","","","","","51.6",",0,0626,","30.0","0,0709,","-1.7","0,1124","-2.8","0,1126","-4.4","0,1201","-7.8","0,1221","","","-0.6","0,0416","-6.7","0,0326","-6.7","0,0326","-6.7","0,0326","-11.1","0,0206","3440.2","","3440.2","0","774.6",",0","","","","","9.42","0","12.62","0","6.21","0","","","","","","","","","","","","","",""
"USW00014756","1982","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3551.8","","3551.8","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014756","1998","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","138.7","","138.7","W","","","","","","","","","0","W","68","W","9","W","86","W","0","W","-10.6","W,1225,","","","","","","","28.9","W,0730,+","0.0","W,1104","-2.2","W,1119","-6.1","W,1219","-10.6","W,1225","-10.6","W,1225","-1.7","W,0412","-4.4","M,0317","-4.4","M,0317","-8.3","M,0313","-9.4","M,0216","","","","","","","","","","","10.63","W","14.16","W","7.09","W","","","","","","","","","","","","","",""
"USW00014756","1999","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.6","W","243.4","","243.4","W","149","W","68","W","","","","","0","W","88","W","12","W","102","W","1","W","-13.3","W,0102,","","","","","93.0",",W,1018,","32.2","W,0706,","-1.1","W,1109","-2.2","W,1213","-5.6","W,1223","-11.1","W,1225","-11.1","W,1225","-1.1","W,0403","-2.8","W,0327","-6.1","W,0309","-7.2","W,0308","-9.4","W,0223","3005.9","","3005.9","W","924.6",",W","","","","","10.81","W","14.64","W","6.98","W","","","360","W","160","W","","","22.8","W","27.3","W","",""
"USW00014756","2000","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.5","W","105.8","","105.8","W","158","W","73","W","","","","","0","W","87","W","24","W","84","W","0","W","-15.0","W,0122,+","","","","","41.7",",W,0316,","27.8","W,0508,","-0.6","W,1122","-3.3","W,1123","-5.6","W,1124","-8.9","W,1125","-8.9","W,1125","0.0","W,0501","-3.3","W,0318","-5.6","W,0314","-8.9","W,0218","-8.9","W,0218","3026.5","","3026.5","W","978.3",",W","","","","","9.67","W","13.24","W","6.10","W","","","240","W","240","W","","","25.0","W","31.3","W","",""
"USW00014756","2001","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.2","W","","","","","148","W","59","W","","","","","","","","","","","","","","","","","","","","","53.8",",W,0330,","","","","","","","","","","","","","","","","","","","","","","","3280.4","","3280.4","W","906.1",",W","","","","","","","","","","","","","270","W","130","W","","","19.2","W","98.8","W","",""
"USW00014756","2002","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.5","W","","","","","144","W","72","W","","","","","","","","","","","","","","","","","","","","","42.9",",W,0401,","","","","","","","","","","","","","","","","","","","","","","","","","","","1066.9",",W","","","","","","","","","","","","","350","W","190","W","","","18.3","W","26.8","W","",""
"USW00014756","2003","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.5","W","199.1","","199.1","W","151","W","74","W","","","","","0","W","100","W","23","W","88","W","0","W","-14.4","W,0128,","","","","","88.1",",W,0330,","28.9","W,0814,+","-2.2","W,1025","-2.2","W,1025","-7.2","W,1202","-7.2","W,1202","","","0.0","W,0418","-2.2","W,0406","-5.6","W,0315","-7.2","W,0314","-12.2","W,0304","","","","","1115.3",",W","","","","","9.57","W","13.07","W","6.08","W","","","250","W","20","W","","","21.5","W","26.8","W","",""
"USW00014756","2004","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.6","W","130.1","","130.1","W","156","W","68","W","","","","","1","W","98","W","25","W","80","W","0","W","-19.4","W,0116,","","","","","114.0",",W,0929,","27.2","W,0706,","-1.1","W,1028","-2.8","W,1127","-7.2","W,1216","-7.2","W,1216","-10.6","W,1220","-1.1","W,0416","-8.3","W,0323","-8.3","W,0323","-8.3","W,0323","-8.9","W,0201","3273.1","","3273.1","W","1129.5",",W","","","","","9.56","W","13.06","W","6.06","W","","","230","W","100","W","","","23.7","W","90.3","W","",""
"USW00014756","2005","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","5.6","B","230.1","","230.1","B","151","B","70","B","","","","","0","B","100","B","20","B","101","B","0","B","-12.2","B,0124,+","","","","","40.9",",B,0507,","31.1","B,0720,","-0.6","B,1118","-5.0","B,1119","-5.0","B,1119","-8.3","B,1208","","","-1.1","W,0417","-6.1","W,0327","-6.1","W,0327","-6.7","W,0311","-8.9","W,0309","3299.0","","3299.0","B","964.0",",B","","","","","9.92","B","13.54","B","6.30","B","","","40","B","50","B","","","27.7","B","33.1","B","",""
