"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00287825","1939","40.43333","-74.33333","6.1","RUNYON, NJ US","466.1","","466.1","6","101","6","78","6","6","6","147","6","10","6","160","6","32","6","-24.4","6,0120,","52.1",",6,0820,","36.1","6,0609,+","-0.6","6,0919","-2.8","6,1016","-5.0","6,1018","-8.9","6,1104","-8.9","6,1104","-1.1","6,0517","-2.2","6,0515","-8.3","6,0323","-8.3","6,0323","-12.2","6,0303","3095.6","","3095.6","6","957.7",",6","10.79","6","18.01","6","3.57","6","21774","6"
"USC00287825","1940","40.43333","-74.33333","6.1","RUNYON, NJ US","312.9","","312.9","6","","","","","10","6","150","6","34","6","148","6","18","6","-25.0","6,0120,","","","37.8","6,0727,","-3.3","6,0927","-3.3","6,0927","-11.1","6,1022","-11.1","6,1022","-11.1","6,1022","0.0","6,0621","-2.2","6,0430","-4.4","6,0429","-8.9","6,0414","-8.9","6,0414","3542.7","","3542.7","6","","","9.05","6","15.90","6","2.21","6","18669","6"
"USC00287825","1941","40.43333","-74.33333","6.1","RUNYON, NJ US","","","","","","","","","","","","","12","6","169","6","34","6","","","","","36.1","6,0727,","","","","","","","","","","","","","","","","","","","","","3368.6","","3368.6","","","","","","18.62","6","","","16787","6"
"USC00287825","1942","40.43333","-74.33333","6.1","RUNYON, NJ US","360.3","","360.3","6","","","","","13","6","140","6","28","6","181","6","20","6","-27.8","6,0111,","","","36.1","6,0719,","-2.2","6,0929","-2.2","6,0929","-4.4","6,1029","-8.9","6,1105","-8.9","6,1105","0.0","6,0511","-2.8","6,0424","-6.1","6,0327","-8.9","6,0313","-8.9","6,0313","","","","","","","10.47","6","17.67","6","3.27","6","",""
"USC00287825","1943","40.43333","-74.33333","6.1","RUNYON, NJ US","663.9","","663.9","6","","","","","6","6","147","6","28","6","158","6","45","6","-23.3","6,1224,+","","","36.1","6,0626,","0.0","6,0927","-2.2","6,1005","-5.6","6,1105","-9.4","6,1117","-9.4","6,1117","-1.7","6,0505","-3.9","6,0502","-11.1","6,0416","-11.1","6,0416","-11.1","6,0416","3124.6","","3124.6","6","","","10.89","6","17.38","6","4.40","6","14218","6"
"USC00287825","1944","40.43333","-74.33333","6.1","RUNYON, NJ US","469.1","","469.1","6","","","","","3","6","148","6","9","6","164","6","40","6","-22.2","6,0117,","","","37.2","6,0805,","0.0","6,0925","-6.7","6,1016","-6.7","6,1016","-6.7","6,1016","-10.0","6,1127","-0.6","6,0428","-2.8","6,0419","-5.0","6,0414","-8.9","6,0406","-8.9","6,0406","3340.7","","3340.7","6","","","10.34","6","17.27","6","3.40","6","",""
"USC00287825","1945","40.43333","-74.33333","6.1","RUNYON, NJ US","437.6","","437.6","6","123","6","101","6","15","6","135","6","32","6","158","6","18","6","-23.9","6,1218,","115.3",",6,0718,","35.6","6,0907,","-2.2","6,0916","-2.2","6,0916","-5.6","6,1004","-7.8","6,1121","-11.1","6,1212","0.0","6,0601","-3.3","6,0408","-5.0","6,0407","-6.7","6,0314","-8.9","6,0309","3288.5","","3288.5","6","1490.3",",6","10.36","6","16.92","6","3.79","6","11481","6"
"USC00287825","1946","40.43333","-74.33333","6.1","RUNYON, NJ US","282.6","","282.6","6","","","","","2","6","131","6","16","6","183","6","12","6","-20.6","6,0124,","","","36.1","6,0720,","-1.7","6,1002","-2.2","6,1014","-4.4","6,1106","-6.7","6,1115","-10.0","6,1116","-3.3","6,0509","-3.3","6,0509","-4.4","6,0418","-7.8","6,0324","-12.2","6,0312","3125.4","","3125.4","6","","","10.84","6","18.46","6","3.22","6","16498","6"
"USC00287825","1947","40.43333","-74.33333","6.1","RUNYON, NJ US","611.0","","611.0","6","92","6","79","6","1","6","151","6","24","6","161","6","35","6","-17.8","6,1225,","71.1",",6,0715,","35.6","6,0825,+","-2.8","6,0927","-2.8","6,0927","-4.4","6,1110","-7.8","6,1121","-9.4","6,1129","-3.3","6,0511","-3.3","6,0511","-5.6","6,0510","-7.8","6,0401","-9.4","6,0320","3069.5","","3069.5","6","1186.2",",6","10.79","6","17.15","6","4.44","6","14541","6"
"USC00287825","1948","40.43333","-74.33333","6.1","RUNYON, NJ US","","","","","99","0","86","0","","","","","25","0","156","0","25","0","","","47.5",",0,0723,","38.3","0,0826,","","","","","","","","","","","","","","","","","","","","","3361.6","","3361.6","6","1239.4",",0","","","17.38","0","","","14108","0"
"USC00287825","1949","40.43333","-74.33333","6.1","RUNYON, NJ US","","","","","89","0","73","0","2","0","112","0","","","","","","","-18.9","0,0320,+","61.0",",0,0713,","","","-2.2","0,1027","-2.2","0,1027","-6.1","0,1028","-12.2","0,1123","-12.2","0,1123","-1.1","0,0530","-2.2","0,0412","-4.4","0,0411","-6.7","0,0321","-18.9","0,0320","","","","","1007.0",",0","","","","","5.18","0","",""
"USC00287825","1950","40.43333","-74.33333","6.1","RUNYON, NJ US","430.7","","430.7","0","97","0","73","0","3","0","119","0","10","0","164","0","31","0","-25.6","0,1228,","76.5",",0,0803,","36.1","0,0609,","0.0","0,0918","-2.8","0,1016","-7.2","0,1027","-7.2","0,1027","-9.4","0,1113","-1.1","0,0417","-3.3","0,0416","-4.4","0,0414","-6.7","0,0410","-13.3","0,0311","2865.1","","2865.1","0","1192.4",",0","11.17","0","17.70","0","4.63","0","",""
"USC00287825","1951","40.43333","-74.33333","6.1","RUNYON, NJ US","","","","","91","0","77","0","1","0","117","0","","","","","","","-18.9","0,1217,","51.3",",0,1103,","","","-2.2","0,0929","-2.2","0,0929","-8.9","0,1104","-8.9","0,1104","-8.9","0,1104","-1.7","0,0514","-4.4","0,0327","-4.4","0,0327","-6.7","0,0310","-12.8","0,0216","","","","","1201.0",",0","","","","","5.55","0","",""
"USC00287825","1952","40.43333","-74.33333","6.1","RUNYON, NJ US","495.9","","495.9","0","92","0","77","0","1","0","133","0","4","0","144","0","37","0","-19.4","0,0131,","69.6",",0,0601,","40.0","0,0626,","-1.7","0,1008","-3.9","0,1018","-10.0","0,1021","-10.0","0,1021","-10.0","0,1021","-1.1","0,0505","-2.2","0,0503","-4.4","0,0327","-6.7","0,0303","-12.2","0,0302","3011.7","","3011.7","0","1303.7",",0","11.18","0","17.54","0","4.82","0","",""
"USC00287825","1953","40.43333","-74.33333","6.1","RUNYON, NJ US","520.9","","520.9","0","86","0","73","0","0","0","121","0","3","0","180","0","41","0","-15.0","0,1218,","50.8",",0,0313,","39.4","0,0831,","-1.1","0,0923","-5.0","0,1008","-5.0","0,1008","-6.7","0,1107","-8.9","0,1203","-0.6","0,0415","-5.6","0,0322","-5.6","0,0322","-7.8","0,0311","-9.4","0,0310","2859.6","","2859.6","0","1152.2",",0","12.13","0","19.61","0","4.65","0","",""
"USC00287825","1954","40.43333","-74.33333","6.1","RUNYON, NJ US","402.0","","402.0","0","80","0","66","0","4","0","139","0","12","0","176","0","26","0","-25.6","0,0118,","140.2",",0,0911,","39.4","0,0731,","-3.9","0,1008","-3.9","0,1008","-5.0","0,1022","-7.2","0,1101","-10.0","0,1111","-1.7","0,0507","-4.4","0,0413","-4.4","0,0413","-10.0","0,0404","-10.0","0,0404","2822.7","","2822.7","0","1128.2",",0","11.47","0","19.24","0","3.71","0","",""
"USC00287825","1956","40.43333","-74.33333","6.1","RUNYON, NJ US","477.6","","477.6","0","109","0","99","0","0","0","136","0","4","0","162","0","35","0","-15.6","0,0102,","44.7",",0,0721,","37.8","0,0614,","0.0","0,0910","-6.1","0,1011","-6.1","0,1011","-11.1","0,1111","-11.1","0,1111","-2.8","0,0525","-2.8","0,0525","-5.6","0,0402","-8.9","0,0325","-8.9","0,0325","3176.1","","3176.1","0","1185.5",",0","11.42","0","18.24","0","4.59","0","",""
"USC00287825","1957","40.43333","-74.33333","6.1","RUNYON, NJ US","590.9","","590.9","0","102","0","81","0","5","0","129","0","9","0","167","0","45","0","-26.7","0,0118,","67.3",",0,0826,","41.1","0,0722,","-3.9","0,0927","-3.9","0,0927","-4.4","0,1012","-9.4","0,1112","-9.4","0,1112","-0.6","0,0505","-2.2","0,0503","-6.1","0,0416","-7.8","0,0306","-9.4","0,0305","2802.8","","2802.8","0","970.2",",0","12.18","0","19.38","0","4.98","0","",""
