"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093114","1986","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","467.2","","467.2","X","32","X","22","X","0","","0","X","0","X","0","X","0","X","304","X","12","X","1.7","X,0210,","0",",X,1231,+","0",",X,1231,+","43.2",",X,0315,","37.2","X,0819,","","","","","","","554.3","","554.3","X","326.9",",X","0",",X","18.14","X","24.82","X","11.46","X","","","",""
"USW00093114","1987","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","2.0","X","555.5","","555.5","X","51","X","25","X","0","","0","X","0","X","7","X","0","X","277","X","21","X","-1.1","X,1226,+","0",",X,1231,+","0",",X,1231,+","33.0",",X,0104,","40.6","X,1004,+","-1.1","X,1226","","","0.0","X,0122","671.4","","671.4","X","290.1",",X","0",",X","17.84","X","24.19","X","11.49","X","60","X","23.6","X"
"USW00093114","1988","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","2.0","X","643.4","","643.4","X","33","X","19","X","0","","0","X","0","X","0","X","0","X","302","X","23","X","1.1","X,0119,","0",",X,1231,+","0",",X,1231,+","26.7",",X,0117,","43.3","X,0904,","","","","","","","644.7","","644.7","X","224.0",",X","0",",X","18.35","X","25.04","X","11.66","X","","","",""
"USW00093114","1989","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.9","X","619.9","","619.9","X","23","X","9","X","0","","0","X","0","X","0","X","0","X","299","X","21","X","0.6","X,0108,","0",",X,1231,+","0",",X,1231,+","13.5",",X,0325,","42.2","X,0405,","","","","","","","690.5","","690.5","X","90.4",",X","0",",X","18.40","X","25.11","X","11.70","X","40","X","23.1","X"
"USW00093114","1990","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.9","X","819.4","","819.4","X","32","X","18","X","0","","0","X","0","X","5","X","0","X","292","X","41","X","-3.9","X,1223,","0",",X,1231,+","0","T,X,1221,","52.8",",X,0217,","41.1","X,0627,+","-1.1","X,1222","-3.9","X,1223","-1.7","X,0215","567.9","","567.9","X","181.9",",X","0","T,X","18.80","X","25.87","X","11.73","X","50","X","22.1","X"
"USW00093114","1991","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","2.2","X","576.2","","576.2","X","","","","","","","","","0","X","1","X","0","X","305","X","16","X","0.0","X,0101,","","","","","","","39.4","X,1010,","","","","","0.0","X,0101","633.1","","633.1","X","","","","","18.34","X","24.67","X","12.01","X","50","X","24.7","X"
"USW00093114","1992","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.8","X","955.4","","955.4","X","41","X","30","X","0","","0","X","0","X","0","X","0","X","313","X","37","X","1.7","X,1222,+","0",",X,1231,+","0","T,X,0323,+","39.1",",X,0320,","40.0","X,0923,","","","","","","","417.5","","417.5","X","407.8",",X","0","T,X","19.70","X","26.01","X","13.39","X","270","X","24.7","X"
"USW00093114","1993","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.7","X","754.7","","754.7","X","36","X","31","X","0","","0","X","0","X","0","X","0","X","300","X","8","X","1.7","X,0104,","0",",X,1231,+","0",",X,1231,+","48.8",",X,0115,","35.0","X,0509,","","","","","","","486.1","","486.1","X","542.7",",X","0",",X","19.23","X","24.94","X","13.52","X","30","X","21.1","X"
"USW00093114","1994","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.8","X","742.7","","742.7","X","36","X","23","X","0","","0","X","0","X","0","X","0","X","274","X","29","X","1.7","X,1120,","0",",X,1231,+","0","T,X,0426,","36.6",",X,0207,","38.9","X,0812,","","","","","","","443.7","","443.7","X","272.2",",X","0","T,X","18.72","X","24.68","X","12.75","X","180","X","25.2","X"
"USW00093114","1995","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.7","X","543.4","","543.4","X","40","X","30","X","0","","0","X","0","X","0","X","0","X","258","X","15","X","3.9","X,1226,","0",",X,1231,+","0","T,X,0506,","82.3",",X,0104,","36.1","X,1002,","","","","","","","678.1","","678.1","X","512.0",",X","0","T,X","18.37","X","23.65","X","13.08","X","50","X","21.1","X"
"USW00093114","1996","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.8","X","717.4","","717.4","X","39","X","27","X","0","","0","X","0","X","0","X","0","X","262","X","25","X","2.8","X,1220,+","0",",X,1231,+","0",",X,1231,+","48.8",",X,0220,","37.2","X,0629,","","","","","","","465.7","","465.7","X","392.4",",X","0",",X","18.67","X","24.02","X","13.32","X","40","X","23.6","X"
"USW00093114","1997","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","1.8","X","695.7","","695.7","X","","","","","","","","","0","X","0","X","0","X","275","X","23","X","2.8","X,1222,","","","","","","","36.1","X,1016,+","","","","","","","632.0","","632.0","X","","","","","18.69","X","24.00","X","13.38","X","","","",""
