"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00516228","1927","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1466.4","","1466.4","6","308","6","170","6","","","0","6","0","6","0","6","362","6","0","6","11.1","6,0213,","","","171.2",",6,1117,","30.0","6,0613,","","","0.6","","0.6","6","3262.2",",6","","","22.40","6","25.69","6","19.11","6","29635","6"
"USC00516228","1928","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1516.3","","1516.3","6","304","6","152","6","","","0","6","0","6","0","6","366","6","0","6","12.8","6,0325,","","","86.4",",6,0406,","29.4","6,1102,+","11715.2","6","1.1","","1.1","6","1576.5",",6","","","22.47","6","25.58","6","19.36","6","37489","6"
"USC00516228","1929","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1607.8","","1607.8","6","305","6","146","6","","","0","6","0","6","0","6","363","6","0","6","11.1","6,0124,+","","","92.2",",6,1223,","30.6","6,0920,+","","","3.1","","3.1","6","1837.7",",6","","","22.75","6","26.04","6","19.45","6","",""
"USC00516228","1930","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1563.4","","1563.4","6","315","6","149","6","","","0","6","0","6","0","6","363","6","0","6","10.0","6,0117,","","","173.2",",6,1119,","29.4","6,0908,+","","","10.1","","10.1","6","2378.9",",6","","","22.63","6","25.72","6","19.53","6","",""
"USC00516228","1931","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1623.3","","1623.3","6","302","6","150","6","","","0","6","0","6","0","6","365","6","0","6","12.8","6,1208,","","","119.6",",6,1101,","31.7","6,0502,","","","0.0","","0.0","6","1894.4",",6","","","22.78","6","26.16","6","19.39","6","",""
"USC00516228","1932","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1573.7","","1573.7","6","333","6","170","6","","","0","6","0","6","0","6","365","6","0","6","12.2","6,0307,","","","190.8",",6,0501,","30.6","6,1006,","","","0.9","","0.9","6","2443.8",",6","","","22.62","6","25.68","6","19.57","6","",""
"USC00516228","1933","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1425.1","","1425.1","6","321","6","129","6","","","0","6","0","6","0","6","364","6","0","6","12.8","6,1128,+","","","141.0",",6,0304,","30.6","6,1020,","","","0.6","","0.6","6","1783.1",",6","","","22.23","6","25.53","6","18.94","6","",""
"USC00516228","1934","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1656.1","","1656.1","6","337","6","147","6","","","0","6","0","6","0","6","365","6","0","6","12.8","6,0408,+","","","69.1",",6,0426,","30.6","6,1017,+","","","2.5","","2.5","6","1927.1",",6","","","22.85","6","26.14","6","19.56","6","",""
"USC00516228","1935","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1523.6","","1523.6","6","330","6","163","6","","","0","6","0","6","0","6","364","6","0","6","12.2","6,1224,+","","","113.5",",6,0118,","31.1","6,0929,","","","1.7","","1.7","6","2323.4",",6","","","22.49","6","25.75","6","19.23","6","",""
"USC00516228","1936","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1564.6","","1564.6","6","331","6","168","6","","","0","6","0","6","0","6","364","6","0","6","12.8","6,0320,+","","","146.1",",6,0117,","28.9","6,1023,+","","","3.4","","3.4","6","2436.1",",6","","","22.62","6","25.42","6","19.82","6","",""
"USC00516228","1937","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","","","","","334","6","177","6","","","0","6","0","6","0","6","354","6","0","6","12.2","6,0210,","","","118.1",",6,0207,","30.0","6,0901,+","","","7.5","","7.5","6","2431.4",",6","","","22.36","6","25.29","6","19.41","6","",""
"USC00516228","1938","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","","","","","350","6","149","6","","","","","","","","","","","","","","","","","126.0",",6,0521,","","","","","","","","","2423.8",",6","","","","","","","","","",""
"USC00516228","1939","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1409.6","","1409.6","6","362","6","188","6","","","0","6","0","6","0","6","352","6","0","6","13.3","6,0322,","","","242.8",",6,1023,","30.0","6,0905,","","","1.1","","1.1","6","2450.0",",6","","","22.19","6","25.09","6","19.30","6","",""
"USC00516228","1940","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1671.1","","1671.1","6","352","6","171","6","0","6","0","6","0","6","0","6","359","6","0","6","11.7","6,0224,","0",",6,1231,+","85.9",",6,0514,+","30.0","6,0916,+","","","8.6","","8.6","6","2006.8",",6","0",",6","22.93","6","26.41","6","19.45","6","",""
"USC00516228","1941","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1551.5","","1551.5","6","340","6","149","6","","","0","6","0","6","0","6","362","6","0","6","11.7","6,0208,","","","198.1",",6,1024,","30.0","6,1031,+","","","3.3","","3.3","6","2025.5",",6","","","22.62","6","25.88","6","19.36","6","",""
"USC00516228","1942","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1528.4","","1528.4","6","327","6","177","6","0","6","0","6","0","6","0","6","353","6","0","6","11.7","6,0103,","0",",6,1231,+","120.9",",6,0206,","30.6","6,0922,","","","10.6","","10.6","6","2526.1",",6","0",",6","22.59","6","26.02","6","19.17","6","",""
"USC00516228","1943","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1597.7","","1597.7","6","343","6","160","6","","","0","6","0","6","0","6","364","6","0","6","11.7","6,0314,+","","","104.1",",6,0309,","31.1","6,0922,","","","5.4","","5.4","6","1986.0",",6","","","22.76","6","26.47","6","19.05","6","",""
