"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00040607","1953","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","19","0","18","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","32.3",",0,0428,","","","","","","","","","","","","","","","","","","","","","","","","","","","237.7",",0","0",",0","","","","","","","",""
"USC00040607","1954","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","39","0","25","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","72.1",",0,0120,","","","","","","","","","","","","","","","","","","","","","","","","","","","594.1",",0","0",",0","","","","","","","",""
"USC00040607","1955","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","37","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","55.4",",0,0719,","","","","","","","","","","","","","","","","","","","","","","","","","","","463.6",",0","0",",0","","","","","","","",""
"USC00040607","1956","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","30","0","19","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","105.7",",0,0127,","","","","","","","","","","","","","","","","","","","","","","","","","","","311.6",",0","0",",0","","","","","","","",""
"USC00040607","1957","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","65","0","40","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","45.7",",0,0113,","","","","","","","","","","","","","","","","","","","","","","","","","","","580.8",",0","0",",0","","","","","","","",""
"USC00040607","1958","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","51","0","33","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","68.6",",0,0402,","","","","","","","","","","","","","","","","","","","","","","","","","","","613.7",",0","0",",0","","","","","","","16578","0"
"USC00040607","1959","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","685.0","","685.0","0","28","0","22","0","0","","0","0","0","0","19","0","0","0","237","0","83","0","-2.8","0,0214,+","0",",0,1231,+","0",",0,1231,+","38.4",",0,0212,","40.6","0,0726,+","","","-2.2","0,1214","-2.2","0,1214","","","","","","","0.0","0,0326","-2.8","0,0214","","","","","1253.8","","1253.8","0","304.9",",0","0",",0","16.52","0","24.39","0","8.64","0","",""
"USC00040607","1960","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","815.1","","815.1","0","35","0","25","0","0","","0","0","0","0","33","0","0","0","218","0","95","0","-6.1","0,0101,","0",",0,1231,+","0","T,0,1209,","30.0",",0,1106,+","42.8","0,0718,","","","-1.1","0,1126","-2.2","0,1206","-5.6","0,1207","","","","","0.0","0,0523","-2.8","0,0225","-5.0","0,0224","","","1563.5","","1563.5","0","359.5",",0","0","T,0","15.98","0","23.71","0","8.25","0","19382","0"
"USC00040607","1961","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","727.2","","727.2","0","34","0","19","0","0","","0","0","0","0","21","0","0","0","214","0","83","0","-2.8","0,1213,","0",",0,1231,+","0",",0,1231,+","48.3",",0,1202,","40.6","0,0710,+","","","-1.7","0,1029","-2.2","0,1212","","","","","","","-1.1","0,0425","","","","","","","1534.2","","1534.2","0","242.4",",0","0",",0","15.82","0","23.71","0","7.94","0","15158","0"
"USC00040607","1962","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","680.1","","680.1","0","44","0","31","0","0","","0","0","0","0","38","0","0","0","233","0","78","0","-5.6","0,0310,","0",",0,1231,+","0",",0,1231,+","58.4",",0,0121,","40.0","0,0814,+","","","0.0","0,1116","-3.9","0,1227","","","","","","","-0.6","0,0321","-2.2","0,0312","-5.0","0,0311","","","1828.8","","1828.8","0","396.7",",0","0",",0","15.75","0","23.48","0","8.01","0","13471","0"
"USC00040607","1963","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","605.3","","605.3","0","43","0","37","0","0","","0","0","0","0","31","0","0","0","208","0","72","0","-6.7","0,0114,+","0",",0,1231,+","0","T,0,0318,+","71.1",",0,0210,","38.3","0,0912,","","","0.0","0,1118","-2.8","0,1212","","","","","","","-0.6","0,0425","-2.2","0,0126","-6.7","0,0114","-6.7","0,0114","1567.0","","1567.0","0","460.5",",0","0","T,0","15.49","0","22.94","0","8.05","0","",""
"USC00040607","1964","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","659.1","","659.1","0","53","0","35","0","1","","1","0","0","0","47","0","0","0","201","0","84","0","-5.6","0,1115,","152",",0,1118,","152",",0,1118,","35.6",",0,1228,","38.9","0,0713,+","1729.8","0","-3.3","0,1114","-3.3","0,1114","-5.6","0,1115","","","","","0.0","0,0507","-2.2","0,0327","-4.4","0,0308","","","1728.5","","1728.5","0","387.5",",0","152",",0","14.97","0","22.89","0","7.06","0","13260","0"
"USC00040607","1965","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","541.9","","541.9","0","60","0","50","0","0","","0","0","0","0","44","0","0","0","205","0","66","0","-5.6","0,0108,","0",",0,1231,+","0",",0,1231,+","119.1",",0,1123,","42.8","0,0809,","","","-0.6","0,1111","-2.8","0,1215","-4.4","0,1223","","","","","0.0","0,0508","-3.3","0,0212","-5.0","0,0210","","","1838.6","","1838.6","0","831.7",",0","0",",0","14.86","0","22.76","0","6.97","0","",""
"USC00040607","1966","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","28","0","19","0","0","","0","0","","","","","0","0","239","0","89","0","","","0",",0,1231,+","0",",0,1231,+","104.4",",0,1206,","39.4","0,0615,","","","","","","","","","","","","","","","","","","","","","","","","","492.1",",0","0",",0","","","24.71","0","","","",""
"USC00040607","1967","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","50","0","33","0","0","","0","0","0","0","63","0","","","","","","","-10.0","0,1215,+","0",",0,1231,+","0",",0,1231,+","65.0",",0,1120,","","","","","-3.3","0,1129","-3.3","0,1129","-7.2","0,1213","-7.2","0,1213","-10.0","0,1214","0.0","0,0502","-2.2","0,0430","","","","","","","","","580.6",",0","0",",0","","","","","6.55","0","",""
"USC00040607","1968","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","35","0","24","0","0","","0","0","0","0","62","0","","","","","","","-9.4","0,1221,","0",",0,1231,+","0","T,0,1221,","43.4",",0,0308,","","","","","0.0","0,1125","-2.2","0,1219","-9.4","0,1221","-9.4","0,1221","-9.4","0,1221","0.0","0,0516","-2.8","0,0422","-5.6","0,0418","-6.7","0,0129","","","","","289.2",",0","0","T,0","","","","","6.39","0","10642","0"
"USC00040607","1969","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","46","0","37","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","92.7",",0,0125,","","","","","","","","","","","","","","","","","","","","","","","","","","","747.5",",0","0",",0","","","","","","","",""
"USC00040607","1970","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","733.4","","733.4","0","37","0","26","0","0","","0","0","0","0","22","0","0","0","211","0","89","0","-3.9","0,0107,+","0",",0,1231,+","0",",0,1231,+","61.0",",0,0301,","42.2","0,0808,","","","-1.1","0,1203","","","","","","","","","-1.1","0,0430","-2.2","0,0131","","","","","1597.4","","1597.4","0","411.4",",0","0",",0","15.75","0","23.68","0","7.81","0","",""
"USC00040607","1971","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","46","0","34","0","0","","0","0","0","0","52","0","","","","","","","-6.7","0,1208,+","0",",0,1231,+","0","T,0,0425,+","55.9",",0,1225,","","","","","-1.7","0,1017","-2.8","0,1018","-4.4","0,1205","-6.7","0,1208","","","0.0","0,0426","-4.4","0,0303","-4.4","0,0303","-6.7","0,0105","","","","","428.8",",0","0","T,0","","","","","6.68","0","9203","0"
"USC00040607","1972","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","500.3","","500.3","0","30","0","20","0","0","","0","0","0","0","34","0","0","0","241","0","64","0","-6.7","0,1213,","0",",0,1231,+","0",",0,1231,+","41.1",",0,1205,","40.6","0,0729,","","","0.0","0,1031","-3.9","0,1205","-5.0","0,1209","-6.7","0,1213","","","-0.6","0,0421","-2.2","0,0414","","","","","","","","","245.9",",0","0",",0","15.53","0","23.92","0","7.15","0","",""
"USC00040607","1973","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","44","0","37","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","53.1",",0,0328,","","","","","","","","","","","","","","","","","","","","","","","2009.2","","2009.2","0","616.6",",0","0",",0","","","","","","","",""
"USC00040607","1974","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","674.3","","674.3","0","30","0","22","0","0","","0","0","0","0","43","0","0","0","215","0","95","0","-6.7","0,1225,","0",",0,1231,+","0",",0,1231,+","61.0",",0,0109,","38.9","0,0630,+","","","0.0","0,1210","-4.4","0,1223","-4.4","0,1223","-6.7","0,1225","","","0.0","0,0413","-2.2","0,0304","-5.0","0,0103","","","","","","","475.1",",0","0",",0","15.54","0","23.98","0","7.09","0","",""
