"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USC00111577","1958","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","433.7","","433.7","0","102","0","57","0","52","","6","0","12","0","118","0","52","0","149","0","11","0","-22.2","0,1209,+","152",",0,1211,+","142",",0,1208,","52.6",",0,0608,","34.4","0,0830,","0.0","0,1106","-2.2","0,1107","-8.3","0,1126","-8.3","0,1126","-10.0","0,1127","-0.6","0,0429","-2.8","0,0323","-5.0","0,0221","-11.7","0,0220","-11.7","0,0220","3433.6","","3433.6","0","670.1",",0","","","649",",0","9.82","0","14.39","0","5.24","0","","","225","X","","","22.6","X","",""
"USC00111577","1959","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","728.6","","728.6","0","134","0","71","0","50","","13","0","10","0","127","0","45","0","151","0","39","0","-23.3","0,0105,","203",",0,0122,","183",",0,1223,","116.3",",0,0625,","35.6","0,0908,+","-1.7","0,1028","-3.9","0,1106","-6.7","0,1107","-6.7","0,1107","-14.4","0,1116","0.0","0,0422","-2.8","0,0411","-6.7","0,0322","-6.7","0,0322","-8.9","0,0317","3513.7","","3513.7","0","983.1",",0","","","1124",",0","10.61","0","15.29","0","5.93","0","","","338","X","","","30.3","X","",""
"USC00111577","1960","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","559.9","","559.9","0","126","0","58","0","65","","11","0","3","0","133","0","64","0","149","0","17","0","-25.6","0,1223,","254",",0,1221,","279",",0,1220,","70.1",",0,0112,","37.8","0,0907,","-1.1","0,1020","-3.3","0,1107","-5.6","0,1129","-6.7","0,1130","-8.9","0,1201","-0.6","0,0418","-3.3","0,0410","-9.4","0,0326","-9.4","0,0326","-9.4","0,0326","3571.7","","3571.7","0","707.8",",0","","","1240",",0","10.17","0","14.71","0","5.63","0","","","338","X","","","24.7","X","",""
"USC00111577","1961","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","560.6","","560.6","0","132","0","76","0","42","","12","0","7","0","121","0","36","0","136","0","16","0","-19.4","0,1228,","229",",0,1225,+","259",",0,1223,","64.8",",0,0801,","35.0","0,0831,+","0.0","0,1027","-2.8","0,1106","-4.4","0,1129","-7.8","0,1207","-10.0","0,1208","-1.1","0,0417","-2.2","0,0416","-5.6","0,0402","-11.1","0,0203","-11.1","0,0203","3370.6","","3370.6","0","1090.8",",0","","","1127",",0","10.46","0","15.09","0","5.83","0","","","225","X","","","26.7","X","",""
"USC00111577","1962","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","600.0","","600.0","0","126","0","59","0","66","","12","0","15","0","119","0","56","0","148","0","26","0","-24.4","0,0110,","305",",0,0120,","160",",0,0106,","46.2",",0,0722,","35.6","0,0820,","-1.1","0,1024","-3.9","0,1025","-5.0","0,1026","-10.0","0,1209","-10.0","0,1209","-3.3","0,0416","-3.3","0,0416","-6.1","0,0316","-6.7","0,0315","-9.4","0,0303","3586.6","","3586.6","0","565.1",",0","","","1168",",0","10.08","0","14.73","0","5.44","0","","","315","X","","","30.8","X","",""
"USC00111577","1963","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","600.4","","600.4","0","96","0","55","0","66","","13","0","33","0","117","0","67","0","170","0","21","0","-27.8","0,0123,","203",",0,0201,+","224",",0,0119,","55.6",",0,0716,","37.2","0,0701,","-1.1","0,1102","-2.2","0,1103","-5.0","0,1124","-6.7","0,1201","-9.4","0,1203","0.0","0,0501","-5.0","0,0322","-5.0","0,0322","-7.2","0,0302","-8.9","0,0301","3654.1","","3654.1","0","712.0",",0","","","1161",",0","10.05","0","15.29","0","4.80","0","","","225","X","","","25.7","X","",""
"USC00111577","1964","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","604.2","","604.2","0","105","0","65","0","29","","11","0","0","0","131","0","44","0","155","0","35","0","-16.7","0,1218,","254",",0,1205,","180",",0,0329,","43.2",",0,0718,","36.7","0,0803,","0.0","0,1009","-2.8","0,1010","-5.6","0,1119","-10.0","0,1120","-10.0","0,1120","-1.7","0,0409","-3.3","0,0404","-11.1","0,0330","-11.1","0,0330","-11.1","0,0330","3224.9","","3224.9","0","685.1",",0","","","1054",",0","10.91","0","16.16","0","5.66","0","","","248","X","","","29.3","X","",""
"USC00111577","1965","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","432.2","","432.2","0","120","0","80","0","44","","14","0","9","0","114","0","43","0","138","0","10","0","-22.8","0,0202,+","229",",0,0226,+","165",",0,0224,","66.3",",0,1224,","34.4","0,0723,+","-1.1","0,1029","-5.6","0,1114","-5.6","0,1114","-7.8","0,1128","-9.4","0,1227","-1.7","0,0403","-2.8","0,0328","-10.6","0,0327","-10.6","0,0327","-10.6","0,0327","3567.7","","3567.7","0","1068.6",",0","53.8","X","1303",",0","10.13","0","14.77","0","5.48","0","151446",",X","315","X","45","X","28.3","X","21.0","X"
"USC00111577","1966","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","540.3","","540.3","0","117","0","61","0","43","","11","0","8","0","120","0","51","0","138","0","20","0","-26.7","0,0129,","127",",0,0202,","107",",0,1228,","119.6",",0,0727,","36.7","0,0710,","-1.1","0,1030","-2.2","0,1102","-5.0","0,1103","-11.7","0,1201","-11.7","0,1201","-1.7","0,0510","-3.3","0,0331","-7.8","0,0325","-7.8","0,0325","-16.1","0,0221","3439.7","","3439.7","0","934.0",",0","55.9","X","696",",0","10.05","0","14.82","0","5.28","0","156288",",X","225","X","270","X","24.2","X","17.4","X"
"USC00111577","1967","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","390.8","","390.8","0","133","0","73","0","58","","16","0","6","0","108","0","46","0","136","0","4","0","-23.3","0,1231,+","686",",0,0209,+","417",",0,0126,","74.7",",0,0610,","33.9","0,0526,","-0.6","0,1026","-2.2","0,1104","-5.6","0,1115","-6.7","0,1128","-10.0","0,1222","-0.6","0,0425","-4.4","0,0319","-4.4","0,0319","-10.0","0,0318","-10.0","0,0318","3436.5","","3436.5","0","1044.7",",0","50.3","X","1744",",0","9.70","0","14.17","0","5.22","0","138930",",X","360","X","225","X","28.8","X","22.8","X"
"USC00111577","1968","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","554.1","","554.1","0","121","0","64","0","33","","12","0","7","0","110","0","42","0","144","0","24","0","-23.9","0,0107,","102",",0,1231,+","97",",0,1228,","96.3",",0,0816,","35.6","0,0623,+","0.0","0,1108","-2.8","0,1113","-4.4","0,1205","-7.8","0,1206","-8.9","0,1207","-1.7","0,0406","-3.9","0,0323","-7.8","0,0313","-7.8","0,0313","-10.0","0,0229","3373.8","","3373.8","0","756.0",",0","52.9","X","834",",0","10.84","0","15.69","0","5.99","0","146346",",X","225","X","45","X","26.2","X","18.8","X"
"USC00111577","1969","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","539.9","","539.9","0","122","0","71","0","38","","14","0","6","0","129","0","47","0","140","0","17","0","-23.3","0,0101,","254",",0,1224,","244",",0,1223,","77.2",",0,0717,","35.6","0,0626,","-1.7","0,1023","-3.3","0,1113","-6.1","0,1114","-6.7","0,1115","-8.9","0,1120","0.0","0,0424","-11.1","0,0331","-11.1","0,0331","-11.1","0,0331","-11.1","0,0331","3449.2","","3449.2","0","934.7",",0","49.5","X","1036",",0","10.08","0","14.78","0","5.37","0","136968",",X","270","X","360","X","24.7","X","17.9","X"
"USC00111577","1970","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","628.3","","628.3","0","140","0","83","0","53","","15","0","11","0","116","0","43","0","144","0","26","0","-24.4","0,0107,","229",",0,0326,+","226",",0,0326,","61.7",",0,1013,","37.2","0,0702,","-0.6","0,1101","-2.2","0,1115","-10.6","0,1122","-10.6","0,1122","-10.6","0,1122","0.0","0,0407","-3.3","0,0330","-5.0","0,0329","-8.3","0,0328","-8.9","0,0315","3579.8","","3579.8","0","1171.9",",0","50.9","X","1463",",0","10.50","0","15.22","0","5.79","0","141318",",X","293","X","315","X","29.8","X","17.4","X"
"USC00111577","1971","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","621.9","","621.9","0","117","0","56","0","40","","11","0","10","0","120","0","34","0","157","0","35","0","-22.8","0,0202,","76",",0,0304,+","180",",0,0103,","55.4",",0,1210,","38.3","0,0628,+","-2.8","0,1104","-2.8","0,1104","-5.0","0,1106","-7.8","0,1107","-8.9","0,1201","0.0","0,0503","-2.8","0,0404","-5.0","0,0403","-7.2","0,0324","-15.0","0,0214","3487.3","","3487.3","0","752.4",",0","57.8","X","887",",0","10.99","0","16.08","0","5.90","0","159654",",X","180","X","180","X","26.7","X","19.2","X"
"USC00111577","1972","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","480.1","","480.1","0","149","0","79","0","64","","21","0","15","0","129","0","45","0","128","0","17","0","-26.1","0,0115,","127",",0,0204,","165",",0,0329,","92.7",",0,0928,","35.6","0,0722,","0.0","0,1017","-2.2","0,1019","-4.4","0,1128","-6.7","0,1129","-8.9","0,1202","-6.1","0,0409","-6.1","0,0409","-6.1","0,0409","-6.7","0,0408","-9.4","0,0310","3330.9","","3330.9","0","1047.5",",0","56.2","X","1575",",0","9.20","0","13.73","0","4.67","0","158382",",X","270","X","225","X","26.2","X","17.9","X"
"USC00111577","1973","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","622.9","","622.9","0","146","0","87","0","27","","15","0","2","0","95","0","33","0","146","0","29","0","-18.9","0,1222,","229",",0,1221,+","211",",0,1219,","41.9",",0,0430,","36.1","0,0827,+","-4.4","0,1105","-4.4","0,1105","-4.4","0,1105","-6.7","0,1109","-12.2","0,1210","0.0","0,0417","-3.9","0,0411","-4.4","0,0318","-6.7","0,0222","-13.3","0,0217","3416.2","","3416.2","0","965.8",",0","52.2","X","1077",",0","11.34","0","15.89","0","6.78","0","144372",",X","135","X","135","X","23.6","X","18.8","X"
"USC00111577","1974","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","416.0","","416.0","0","142","0","88","0","43","","15","0","4","0","118","0","37","0","135","0","13","0","-22.8","0,0112,","178",",0,1221,+","119",",0,0224,","51.6",",0,0702,","37.2","0,0714,+","0.0","0,1001","-2.2","0,1002","-5.0","0,1125","-8.3","0,1208","-11.1","0,1209","0.0","0,0507","-3.3","0,0409","-11.1","0,0325","-11.1","0,0325","-11.1","0,0325","3342.2","","3342.2","0","954.1",",0","52.5","X","1366",",0","10.04","0","14.79","0","5.28","0","145614",",X","","","270","X","","","18.3","X"
"USC00111577","1975","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","608.9","","608.9","0","145","0","81","0","34","","14","0","3","0","126","0","38","0","148","0","26","0","-21.1","0,0209,","254",",0,0403,","239",",0,0402,","97.3",",0,0418,","34.4","0,0811,+","-1.1","0,1113","-4.4","0,1114","-4.4","0,1114","-6.7","0,1123","-9.4","0,1201","-1.7","0,0413","-2.2","0,0412","-7.2","0,0405","-7.2","0,0405","-8.9","0,0404","3496.9","","3496.9","0","1069.0",",0","55.9","X","1364",",0","10.76","0","15.40","0","6.11","0","156558",",X","180","X","180","X","25.7","X","19.2","X"
"USC00111577","1976","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","487.9","","487.9","0","110","0","61","0","56","","13","0","11","0","129","0","49","0","143","0","16","0","-23.9","0,0202,","203",",0,0202,+","122",",0,0113,","117.9",",0,0613,","37.8","0,0710,","0.0","0,1017","-3.3","0,1022","-5.0","0,1107","-8.3","0,1108","-10.6","0,1127","0.0","0,0412","-5.0","0,0322","-5.0","0,0322","-8.3","0,0317","-15.0","0,0207","3139.0","","3139.0","0","863.1",",0","62.7","X","919",",0","9.62","0","14.90","0","4.35","0","171636",",X","225","X","90","X","26.7","X","17.9","X"
"USC00111577","1977","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","658.5","","658.5","0","134","0","74","0","72","","21","0","26","0","115","0","59","0","158","0","33","0","-28.3","0,0116,","229",",0,0110,","175",",0,1208,","74.2",",0,0901,","37.2","0,0715,","-0.6","0,1110","-2.2","0,1111","-5.0","0,1121","-6.7","0,1122","-12.2","0,1125","-0.6","0,0510","-3.9","0,0406","-5.6","0,0319","-7.2","0,0302","-12.2","0,0221","3835.1","","3835.1","0","1049.4",",0","54.0","X","1638",",0","10.38","0","15.29","0","5.47","0","150840",",X","180","X","180","X","24.7","X","21.0","X"
"USC00111577","1978","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","530.8","","530.8","0","142","0","77","0","104","","23","0","15","0","133","0","70","0","140","0","13","0","-22.2","0,1210,","483",",0,0207,","236",",0,0206,","77.0",",0,0720,","35.0","0,0908,","0.0","0,1017","-2.2","0,1115","-4.4","0,1125","-7.2","0,1128","-9.4","0,1130","-1.1","0,0502","-2.8","0,0325","-7.2","0,0318","-7.2","0,0318","-8.9","0,0309","3980.7","","3980.7","0","852.2",",0","52.3","X","2423",",0","8.94","0","13.77","0","4.11","0","144228",",X","225","X","135","X","25.7","X","16.1","X"
"USC00111577","1979","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","438.9","","438.9","0","127","0","75","0","67","","15","0","22","0","131","0","58","0","138","0","2","0","-28.3","0,0115,","737",",0,0114,","419",",0,0113,","66.0",",0,0817,","33.3","0,0807,","0.0","0,1014","-3.3","0,1110","-6.1","0,1111","-9.4","0,1202","-9.4","0,1202","0.0","0,0501","-2.8","0,0410","-8.9","0,0406","-8.9","0,0406","-8.9","0,0406","3957.0","","3957.0","0","967.3",",0","56.5","X","1449",",0","8.91","0","13.51","0","4.32","0","155934",",X","","","270","X","","","25.9","X"
"USC00111577","1981","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","402.9","","402.9","0","118","0","75","0","54","","10","0","8","0","129","0","43","0","142","0","6","0","-23.3","0,0212,","229",",0,0212,+","208",",0,0210,","70.4",",0,0613,","35.0","0,0712,","0.0","0,1003","-3.9","0,1023","-6.7","0,1024","-6.7","0,1024","-9.4","0,1215","-2.2","0,0512","-2.2","0,0512","-4.4","0,0325","-6.7","0,0314","-8.9","0,0303","","","","","939.6",",0","","","762",",0","9.90","0","15.31","0","4.48","0","","","","","","","","","",""
