"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00020632","1966","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","","","","","34","0","22","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","24.6",",0,0208,","","","3019.9","0","","","","","","","","","","","","","813.4","","813.4","0","","","","","194.8",",0","0",",0","","","","","","","",""
"USC00020632","1967","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","","","","","39","0","23","0","0","","0","0","","","","","0","0","298","0","159","0","","","0",",0,1231,+","0",",0,1231,+","41.7",",0,1219,","45.0","0,0702,","","","","","","","","","","","","","","","","","","","","","","","394.4",",0","0",",0","","","29.20","0","","","",""
"USC00020632","1968","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1783.1","","1783.1","0","28","0","23","0","0","","0","0","0","0","7","0","0","0","296","0","150","0","-2.8","0,1222,+","0",",0,1231,+","0",",0,1231,+","25.1",",0,1113,","47.2","0,0626,","","","-0.6","0,1218","-2.8","0,1221","","","","","","","","","688.3","","688.3","0","","","","","256.9",",0","0",",0","21.41","0","29.25","0","13.57","0","27051","0"
"USC00020632","1969","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1855.6","","1855.6","0","37","0","27","0","0","","0","0","0","0","9","0","0","0","282","0","146","0","-2.2","0,1227,+","0",",0,1231,+","0",",0,1231,+","58.9",",0,0904,","45.6","0,0805,+","2927.2","0","-2.2","0,1226","-2.2","0,1226","","","-0.6","0,0306","","","","","839.8","","839.8","0","","","","","315.2",",0","0",",0","21.35","0","29.20","0","13.51","0","21482","0"
"USC00020632","1970","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1831.5","","1831.5","0","35","0","21","0","0","","0","0","0","0","8","0","0","0","282","0","143","0","-1.7","0,0106,+","0",",0,1231,+","0",",0,1231,+","114.3",",0,0906,","45.6","0,0713,+","3065.5","0","","","","","","","-1.1","0,0201","","","","","776.0","","776.0","0","","","","","309.8",",0","0",",0","21.19","0","28.91","0","13.48","0","11453","0"
"USC00020632","1971","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1829.4","","1829.4","0","41","0","22","0","0","","0","0","0","0","12","0","0","0","278","0","148","0","-6.1","0,0107,","0",",0,1231,+","0","T,0,0302,","21.3",",0,0930,","45.6","0,0712,","","","","","","","","","-1.7","0,0303","-3.3","0,0301","-5.6","0,0109","746.8","","746.8","0","","","","","185.6",",0","0","T,0","20.87","0","28.62","0","13.13","0","",""
"USC00020632","1972","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1975.9","","1975.9","0","42","0","25","0","0","","0","0","0","0","9","0","0","0","289","0","170","0","-2.8","0,1214,","0",",0,1231,+","0",",0,1231,+","57.4",",0,0623,","46.1","0,0802,+","","","-0.6","0,1211","-2.8","0,1214","","","0.0","0,0204","","","","","782.0","","782.0","0","","","","","450.7",",0","0",",0","21.63","0","29.56","0","13.70","0","32490","0"
"USC00020632","1973","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1937.7","","1937.7","0","42","0","28","0","0","","0","0","0","0","4","0","0","0","258","0","167","0","-1.1","0,0120,+","0",",0,1231,+","0",",0,1231,+","25.9",",0,0216,","46.7","0,0703,","2878.6","0","","","","","","","-0.6","0,0122","","","","","1118.8","","1118.8","0","","","","","333.8",",0","0",",0","20.90","0","28.58","0","13.22","0","30399","0"
"USC00020632","1974","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1976.7","","1976.7","0","38","0","26","0","0","","0","0","0","0","7","0","0","0","284","0","166","0","-3.3","0,1224,+","0",",0,1231,+","0",",0,1231,+","41.1",",0,1028,","46.7","0,0623,","3075.3","0","-1.1","0,1220","-3.3","0,1224","","","-2.2","0,0208","-2.2","0,0208","","","737.1","","737.1","0","","","","","290.0",",0","0",",0","21.47","0","29.50","0","13.44","0","32401","0"
"USC00020632","1975","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1765.6","","1765.6","0","49","0","29","0","0","","0","0","0","0","8","0","0","0","278","0","150","0","-3.3","0,1231,","0",",0,1231,+","0",",0,1231,+","24.1",",0,1129,","45.6","0,0804,","3087.8","0","0.0","0,1129","-3.3","0,1231","","","0.0","0,0110","","","","","1025.4","","1025.4","0","","","","","267.4",",0","0",",0","20.50","0","28.72","0","12.27","0","35871","0"
"USC00020632","1976","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3031.6","0","","","","","","","","","","","","","770.2","","770.2","0","","","","","","","","","","","","","","","24398","0"
"USC00020632","1977","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1997.0","","1997.0","0","33","0","26","0","0","","0","0","0","0","5","0","0","0","300","0","159","0","-2.2","0,0110,","0",",0,1231,+","0",",0,1231,+","30.7",",0,0102,","44.4","0,0728,+","2916.8","0","","","","","","","-0.6","0,0302","-2.2","0,0110","","","","","","","","","","","233.1",",0","0",",0","21.81","0","29.85","0","13.77","0","",""
"USC00020632","1978","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1945.0","","1945.0","0","69","0","43","0","0","","0","0","0","0","5","0","0","0","270","0","155","0","-5.6","0,1206,","0",",0,1231,+","0",",0,1231,+","104.6",",0,0301,","45.0","0,0720,+","","","-5.6","0,1206","-5.6","0,1206","-5.6","0,1206","","","","","","","655.4","","655.4","0","     12.81","0,P,N","     27.79","0,P,N","707.1",",0","0",",0","21.14","0","28.93","0","13.35","0","31108","0"
"USC00020632","1979","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1895.1","","1895.1","0","46","0","21","0","0","","0","0","0","0","17","0","0","0","279","0","162","0","-5.6","0,0129,","0",",0,1231,+","0",",0,1231,+","42.4",",0,0519,","46.1","0,0729,+","","","-1.1","0,1119","","","","","0.0","0,0222","-2.2","0,0131","-5.0","0,0130","1143.3","","1143.3","0","","","","","344.8",",0","0",",0","20.68","0","29.00","0","12.35","0","35522","0"
"USC00020632","1980","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1854.5","","1854.5","0","60","0","37","0","0","","0","0","0","0","2","0","0","0","287","0","155","0","-1.1","0,0209,+","0",",0,1231,+","0",",0,1231,+","66.3",",0,0219,","46.1","0,0728,","","","","","","","","","-1.1","0,0209","","","","","863.6","","863.6","0","","","","","551.9",",0","0",",0","21.39","0","29.66","0","13.13","0","35469","0"
"USC00020632","1981","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","","","","","47","0","27","0","0","","0","0","0","0","0","0","","","","","","","1.1","0,0201,","0",",0,1231,+","0",",0,1231,+","36.1",",0,1128,","","","3162.8","0","","","","","","","","","","","","","","","","","","","","","309.2",",0","0",",0","","","","","14.99","0","35933","0"
