"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00046144","1990","37.5147","-122.0325","3.0","NEWARK, CA US","181.3","","181.3","0","42","0","28","0","0","","0","0","0","0","14","0","0","0","183","0","6","0","-6.1","0,1222,","0",",0,1231,+","0",",0,1231,+","30.5",",0,0528,","36.1","0,0621,","","","0.0","0,1220","-4.4","0,1221","-4.4","0,1221","-0.6","0,0216","","","","","1437.4","","1437.4","0","234.2",",0","0",",0","14.72","0","20.28","0","9.16","0","",""
"USC00046144","1991","37.5147","-122.0325","3.0","NEWARK, CA US","118.0","","118.0","0","49","0","28","0","0","","0","0","0","0","1","0","0","0","155","0","6","0","0.0","0,0101,","0",",0,1231,+","0",",0,1231,+","35.6",",0,1026,","36.1","0,0703,","","","","","","","","","0.0","0,0101","","","","","1627.7","","1627.7","0","321.1",",0","0",",0","14.33","0","20.02","0","8.65","0","",""
"USC00046144","1992","37.5147","-122.0325","3.0","NEWARK, CA US","165.5","","165.5","0","59","0","40","0","0","","0","0","0","0","8","0","0","0","208","0","4","0","-1.1","0,1219,+","0",",0,1231,+","0",",0,1231,+","37.1",",0,0212,","32.8","0,0710,","","","-1.1","0,1218","","","","","-0.6","0,0124","","","","","1250.7","","1250.7","0","423.1",",0","0",",0","15.39","0","21.06","0","9.71","0","",""
"USC00046144","1993","37.5147","-122.0325","3.0","NEWARK, CA US","207.6","","207.6","0","74","0","47","0","0","","0","0","0","0","12","0","0","0","184","0","12","0","-2.2","0,1221,+","0",",0,1231,+","0",",0,1231,+","37.6",",0,0113,","38.9","0,0802,+","","","0.0","0,1219","-2.2","0,1221","","","-0.6","0,0106","-2.2","0,0104","","","1352.7","","1352.7","0","543.6",",0","0",",0","14.95","0","20.88","0","9.03","0","",""
"USC00046144","1994","37.5147","-122.0325","3.0","NEWARK, CA US","160.6","","160.6","0","61","0","44","0","0","","0","0","0","0","0","0","0","0","170","0","7","0","1.1","0,1210,+","0",",0,1231,+","0",",0,1231,+","30.5",",0,0507,","36.7","0,0611,","","","","","","","","","","","","","","","1473.6","","1473.6","0","329.3",",0","0",",0","14.60","0","19.84","0","9.36","0","",""
"USC00046144","1995","37.5147","-122.0325","3.0","NEWARK, CA US","276.0","","276.0","0","84","0","51","0","0","","0","0","0","0","0","0","0","0","171","0","15","0","3.9","0,0215,+","0",",0,1231,+","0",",0,1231,+","101.6",",0,0110,","38.3","0,0626,","","","","","","","","","","","","","","","1325.1","","1325.1","0","573.6",",0","0",",0","16.23","0","20.93","0","11.53","0","",""
"USC00046144","1996","37.5147","-122.0325","3.0","NEWARK, CA US","303.0","","303.0","0","67","0","43","0","0","","0","0","0","0","0","0","0","0","193","0","13","0","2.2","0,0226,+","0",",0,1231,+","0",",0,1231,+","29.2",",0,1222,","36.7","0,0701,+","","","","","","","","","","","","","","","958.9","","958.9","0","506.9",",0","0",",0","16.28","0","21.47","0","11.08","0","",""
"USC00046144","1997","37.5147","-122.0325","3.0","NEWARK, CA US","362.5","","362.5","0","51","0","38","0","0","","0","0","0","0","3","0","0","0","216","0","10","0","-0.6","0,1227,+","0",",0,1231,+","0",",0,1231,+","35.6",",0,1126,","36.7","0,0518,","","","0.0","0,1226","","","","","-0.6","0,0114","","","","","992.6","","992.6","0","380.2",",0","0",",0","16.50","0","21.70","0","11.30","0","",""
"USC00046144","1998","37.5147","-122.0325","3.0","NEWARK, CA US","222.0","","222.0","0","98","0","71","0","","","0","0","0","0","6","0","0","0","149","0","16","0","-3.3","0,1224,","","","0",",0,1231,+","92.7",",0,0203,","38.3","0,0804,","","","-2.2","0,1221","-2.2","0,1221","","","","","","","","","1241.7","","1241.7","0","686.1",",0","0",",0","14.90","0","20.05","0","9.75","0","",""
"USC00046144","1999","37.5147","-122.0325","3.0","NEWARK, CA US","216.6","","216.6","0","56","0","34","0","0","","0","0","0","0","4","0","0","0","155","0","11","0","0.0","0,0127,+","0",",0,1231,+","0",",0,1231,+","22.1",",0,0119,","35.6","0,0823,+","","","","","","","","","0.0","0,0127","","","","","1666.0","","1666.0","0","307.9",",0","0",",0","14.87","0","20.01","0","9.73","0","",""
