"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014827","1961","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","477.6","","477.6","0","134","0","76","0","40","","9","0","11","0","134","0","43","0","142","0","5","0","-22.8","0,1231,+","152",",0,1225,+","124",",0,0409,","40.1",",0,0805,","34.4","0,0701,","0.0","0,0929","-2.8","0,1027","-4.4","0,1104","-7.8","0,1128","-10.0","0,1208","-0.6","0,0527","-2.2","0,0411","-4.4","0,0408","-7.2","0,0317","-10.0","0,0206","3544.2","","3544.2","0","918.9",",0","","","752",",0","9.90","0","15.02","0","4.77","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1962","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","504.8","","504.8","0","116","0","64","0","45","","10","0","9","0","135","0","51","0","157","0","18","0","-22.8","0,0110,","152",",0,0224,","135",",0,0223,","36.1",",0,0526,","38.3","0,0820,","-1.1","0,1024","-3.3","0,1025","-4.4","0,1026","-7.2","0,1126","-8.9","0,1208","-1.7","0,0420","-3.3","0,0416","-4.4","0,0403","-6.7","0,0305","-10.0","0,0303","3522.2","","3522.2","0","620.4",",0","","","724",",0","9.86","0","15.24","0","4.47","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1963","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","390.6","","390.6","0","114","0","63","0","60","","10","0","32","0","136","0","65","0","168","0","11","0","-27.8","0,0227,+","229",",0,0228,","89",",0,0223,","65.0",",0,0417,","35.6","0,0702,","-2.8","0,1030","-2.8","0,1030","-5.0","0,1124","-6.7","0,1201","-15.6","0,1213","-0.6","0,0523","-2.8","0,0501","-4.4","0,0410","-6.7","0,0322","-20.0","0,0302","3803.7","","3803.7","0","676.0",",0","","","805",",0","9.28","0","15.38","0","3.18","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1964","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","496.2","","496.2","0","113","0","72","0","43","","15","0","8","0","134","0","40","0","159","0","32","0","-20.6","0,1209,+","254",",0,0312,","320",",0,0310,","41.9",",0,0707,","36.7","0,0802,","-3.3","0,1007","-3.3","0,1007","-4.4","0,1011","-7.2","0,1120","-11.7","0,1121","-1.1","0,0411","-3.9","0,0409","-7.8","0,0401","-7.8","0,0401","-11.1","0,0318","3318.2","","3318.2","0","725.2",",0","","","1266",",0","10.32","0","16.34","0","4.30","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1965","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","393.0","","393.0","0","135","0","79","0","31","","9","0","9","0","127","0","41","0","147","0","12","0","-23.3","0,0117,","203",",0,0227,+","117",",0,0225,","64.5",",0,1021,","35.0","0,0816,+","0.0","0,1004","-2.2","0,1005","-5.0","0,1029","-7.2","0,1129","-9.4","0,1226","-0.6","0,0429","-4.4","0,0403","-4.4","0,0403","-8.3","0,0328","-17.2","0,0327","3603.5","","3603.5","0","947.2",",0","53.2","X","771",",0","10.02","0","15.26","0","4.78","0","147750",",X","","","","","","","","","360","X","","","","","","","","","24.6","X"
"USW00014827","1966","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","336.2","","336.2","0","132","0","70","0","36","","10","0","6","0","138","0","50","0","122","0","9","0","-22.2","0,0130,","152",",0,1104,+","86",",0,1210,+","66.0",",0,0709,","34.4","0,0703,+","-0.6","0,1002","-2.2","0,1006","-6.1","0,1103","-8.3","0,1104","-12.8","0,1201","-2.8","0,0510","-2.8","0,0510","-4.4","0,0329","-7.8","0,0328","-8.9","0,0222","3478.7","","3478.7","0","861.4",",0","56.1","X","780",",0","8.85","0","14.04","0","3.65","0","155328",",X","","","","","","","","","360","X","","","","","","","","","19.2","X"
"USW00014827","1967","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","304.4","","304.4","0","151","0","76","0","45","","13","0","9","0","137","0","55","0","138","0","6","0","-25.0","0,0208,","127",",0,0207,+","127",",0,0205,","38.9",",0,1202,","33.3","0,0616,+","0.0","0,0923","-2.2","0,1022","-4.4","0,1104","-7.8","0,1106","-9.4","0,1128","-1.1","0,0503","-4.4","0,0425","-4.4","0,0425","-8.3","0,0319","-13.3","0,0318","3713.6","","3713.6","0","834.5",",0","53.2","X","899",",0","8.80","0","14.17","0","3.43","0","147144",",X","","","","","","","","","270","X","","","","","","","","","27.3","X"
"USW00014827","1968","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","444.5","","444.5","0","133","0","78","0","35","","6","0","8","0","133","0","50","0","141","0","17","0","-27.2","0,0108,","203",",0,0116,+","91",",0,0322,+","69.1",",0,0516,","33.3","0,0821,+","-1.1","0,1005","-4.4","0,1030","-4.4","0,1030","-8.3","0,1206","-9.4","0,1207","-1.1","0,0506","-2.2","0,0411","-4.4","0,0324","-12.2","0,0314","-12.2","0,0314","3820.2","","3820.2","0","916.8",",0","60.0","X","631",",0","9.56","0","14.83","0","4.28","0","165768",",X","","","","","","","","","225","X","","","","","","","","","24.1","X"
"USW00014827","1969","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","467.5","","467.5","0","123","0","72","0","31","","5","0","5","0","144","0","51","0","139","0","16","0","-20.0","0,0101,","102",",0,1231,","94",",0,1231,","57.4",",0,1012,","33.9","0,0906,+","0.0","0,1017","-2.2","0,1023","-7.8","0,1114","-7.8","0,1114","-8.9","0,1116","0.0","0,0425","-10.6","0,0331","-10.6","0,0331","-10.6","0,0331","-10.6","0,0331","3561.2","","3561.2","0","952.7",",0","56.3","X","558",",0","9.58","0","14.79","0","4.38","0","155202",",X","","","","","","","","","270","X","","","","","","","","","25.0","X"
"USW00014827","1970","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","518.2","","518.2","0","137","0","82","0","46","","13","0","17","0","125","0","50","0","150","0","15","0","-26.1","0,0120,+","178",",0,0116,+","97",",0,0114,","39.1",",0,0419,","35.0","0,0701,+","-1.1","0,1016","-3.3","0,1116","-6.1","0,1122","-11.7","0,1123","-11.7","0,1123","-1.7","0,0411","-2.8","0,0407","-6.1","0,0330","-6.7","0,0317","-10.0","0,0315","3732.9","","3732.9","0","897.7",",0","58.6","X","813",",0","9.96","0","15.20","0","4.72","0","163446",",X","","","","","","","","","225","X","","","","","","","","","23.2","X"
"USW00014827","1971","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","446.5","","446.5","0","124","0","67","0","25","","7","0","11","0","131","0","35","0","159","0","11","0","-23.9","0,0119,","102",",0,0213,","119",",0,0212,","39.1",",0,0601,","36.1","0,0628,","-1.7","0,1104","-2.8","0,1106","-7.8","0,1107","-7.8","0,1107","-8.9","0,1108","-1.1","0,0504","-2.2","0,0410","-5.6","0,0330","-6.7","0,0325","-8.9","0,0324","3520.4","","3520.4","0","804.8",",0","57.2","X","670",",0","10.25","0","15.88","0","4.62","0","160158",",X","","","","","","","","","225","X","","","","","","","","","22.4","X"
"USW00014827","1972","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","385.5","","385.5","0","152","0","82","0","30","","11","0","12","0","138","0","36","0","139","0","9","0","-28.3","0,0116,","76",",0,0208,+","74",",0,0113,","51.1",",0,0615,","33.9","0,0722,+","0.0","0,1018","-3.9","0,1019","-4.4","0,1020","-11.1","0,1206","-11.1","0,1206","-0.6","0,0426","-2.2","0,0425","-9.4","0,0408","-9.4","0,0408","-9.4","0,0408","3338.0","","3338.0","0","1037.2",",0","53.1","X","739",",0","9.31","0","14.36","0","4.27","0","148350",",X","","","","","","","","","270","X","","","","","","","","","23.7","X"
"USW00014827","1973","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","499.0","","499.0","0","138","0","80","0","31","","12","0","3","0","115","0","37","0","153","0","17","0","-24.4","0,0217,","305",",0,1222,+","274",",0,1219,","37.1",",0,0626,","33.9","0,0713,","0.0","0,1017","-3.9","0,1105","-5.6","0,1106","-10.0","0,1210","-10.0","0,1210","-0.6","0,0518","-2.8","0,0414","-5.0","0,0411","-7.2","0,0228","-9.4","0,0222","3362.5","","3362.5","0","877.7",",0","55.4","X","1147",",0","10.98","0","16.13","0","5.82","0","152130",",X","","","","","","","","","270","X","","","","","","","","","21.0","X"
"USW00014827","1974","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","390.7","","390.7","0","145","0","79","0","55","","16","0","7","0","131","0","37","0","140","0","13","0","-23.3","0,0112,","254",",0,0111,+","127",",0,1113,","34.5",",0,0809,","36.7","0,0714,","-0.6","0,0923","-3.9","0,1003","-5.0","0,1021","-7.8","0,1126","-12.8","0,1204","-1.7","0,0507","-2.2","0,0416","-6.1","0,0409","-16.1","0,0325","-16.1","0,0325","3330.6","","3330.6","0","800.6",",0","61.5","X","1071",",0","9.79","0","15.08","0","4.50","0","170796",",X","","","","","","","270","X","270","X","","","","","","","28.3","X","21.9","X"
