"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00105230","1921","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","113","6","40","6","","","","","","","","","","","","","18.5",",6,0521,","","","","","","","","","","","","","","","","","","","","","","","318.3",",6","","","","","",""
"USC00105230","1922","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","101","6","34","6","","","","","","","","","","","","","20.8",",6,0811,","","","","","","","","","","","","","","","","","","","","","","","247.1",",6","","","","","",""
"USC00105230","1923","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","108","6","46","6","","","","","","","","","","","","","25.7",",6,1228,","","","","","","","","","","","","","","","","","","","","","","","372.4",",6","","","","","",""
"USC00105230","1924","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","87","6","36","6","","","","","","","","","","","","","14.5",",6,0201,","","","","","","","","","","","","","","","","","","","","","","","263.8",",6","","","","","",""
"USC00105230","1925","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","112","6","41","6","","","","","","","","","","","","","23.6",",6,0506,","","","","","","","","","","","","","","","","","","","","","","","299.3",",6","","","","","",""
"USC00105230","1926","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","115","6","55","6","","","","","","","","","","","","","25.1",",6,0613,","","","","","","","","","","","","","","","","","","","","","","","478.4",",6","","","","","",""
"USC00105230","1927","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","137","6","59","6","","","","","","","","","","","","","29.2",",6,0608,","","","","","","","","","","","","","","","","","","","","","","","464.5",",6","","","","","",""
"USC00105230","1928","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","101","6","31","6","","","","","","","","","","","","","12.4",",6,0331,","","","","","","","","","","","","","","","","","","","","","","","235.4",",6","","","","","",""
"USC00105230","1929","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","89","6","41","6","","","","","","","","","","","","","16.3",",6,0608,","","","","","","","","","","","","","","","","","","","","","","","293.0",",6","","","","","",""
"USC00105230","1930","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","95","6","44","6","","","","","","","","","","","","","17.3",",6,0213,","","","","","","","","","","","","","","","","","","","","","","","293.3",",6","","","","","",""
"USC00105230","1931","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","96","6","36","6","","","","","","","","","","","","","55.4",",6,0331,","","","","","","","","","","","","","","","","","","","","","","","335.3",",6","","","","","",""
"USC00105230","1932","46.41667","-117.03333","215.8","LEWISTON, ID US","","","","","96","6","37","6","","","","","","","","","","","","","21.6",",6,0521,+","","","","","","","","","","","","","","","","","","","","","","","307.6",",6","","","","","",""
"USC00105230","1956","46.41667","-117.03333","215.8","LEWISTON, ID US","467.6","","467.6","0","97","0","36","0","3","0","92","0","13","0","160","0","56","0","-20.0","0,0201,","34.8",",0,0615,","42.2","0,0814,","0.0","0,1022","-2.2","0,1102","-6.7","0,1119","-6.7","0,1119","-10.6","0,1208","-1.7","0,0406","-3.9","0,0314","-5.6","0,0312","-6.7","0,0311","-8.9","0,0218","378.4",",0","12.03","0","18.73","0","5.33","0"
