"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00229215","1936","32.31444","-90.90528","14.0","VICKSBURG, MS US","89","6","54","6","2","6","51",",6,0119,","123.2",",6,0429,","1016.3",",6","76",",6","",""
"USC00229215","1937","32.31444","-90.90528","14.0","VICKSBURG, MS US","115","6","74","6","0","6","0",",6,1231,+","53.6",",6,0324,","1146.0",",6","0",",6","",""
"USC00229215","1938","32.31444","-90.90528","14.0","VICKSBURG, MS US","99","6","62","6","","","","","88.4",",6,0720,","1202.2",",6","","","",""
"USC00229215","1939","32.31444","-90.90528","14.0","VICKSBURG, MS US","102","6","74","6","","","","","79.8",",6,0218,","1269.4",",6","","","",""
"USC00229215","1940","32.31444","-90.90528","14.0","VICKSBURG, MS US","118","6","84","6","1","6","203",",6,0123,","98.3",",6,1124,","1616.3",",6","203",",6","",""
"USC00229215","1941","32.31444","-90.90528","14.0","VICKSBURG, MS US","108","6","72","6","0","6","0","T,6,0309,+","75.9",",6,0321,","1148.6",",6","0","T,6","",""
"USC00229215","1942","32.31444","-90.90528","14.0","VICKSBURG, MS US","100","6","58","6","","","","","95.5",",6,0515,","967.3",",6","","","",""
"USC00229215","1943","32.31444","-90.90528","14.0","VICKSBURG, MS US","81","6","52","6","0","6","0","T,6,1216,+","101.1",",6,1107,","872.6",",6","0","T,6","",""
"USC00229215","1944","32.31444","-90.90528","14.0","VICKSBURG, MS US","113","6","73","6","1","6","46",",6,0115,","104.9",",6,0328,","1254.0",",6","56",",6","",""
"USC00229215","1945","32.31444","-90.90528","14.0","VICKSBURG, MS US","119","6","83","6","","","","","91.2",",6,1006,","1593.8",",6","","","",""
