"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00382757","1942","34.0627","-79.7555","32.3","EFFINGHAM, SC US","93","0","75","0","0","","1","0","","","","","","","","","","","","","0",",0,1231,+","51",",0,0225,","82.6",",0,0724,","","","","","","","","","","","","","","","","","","","","","","","1173.4",",0","51",",0","","","","","",""
"USC00382757","1943","34.0627","-79.7555","32.3","EFFINGHAM, SC US","76","0","66","0","3","","1","0","","","","","","","","","","","","","76",",0,1216,","127",",0,1216,","56.9",",0,1226,","","","","","","","","","","","","","","","","","","","","","","","904.7",",0","127",",0","","","","","",""
"USC00382757","1944","34.0627","-79.7555","32.3","EFFINGHAM, SC US","95","0","70","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","66.0",",0,1020,","","","","","","","","","","","","","","","","","","","","","","","1066.0",",0","0",",0","","","","","",""
"USC00382757","1945","34.0627","-79.7555","32.3","EFFINGHAM, SC US","102","0","87","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","113.3",",0,0917,","","","","","","","","","","","","","","","","","","","","","","","1554.3",",0","0",",0","","","","","",""
"USC00382757","1946","34.0627","-79.7555","32.3","EFFINGHAM, SC US","106","0","75","0","1","","1","0","","","","","","","","","","","","","25",",0,0117,","33",",0,0117,","71.1",",0,0417,","","","","","","","","","","","","","","","","","","","","","","","1062.4",",0","33",",0","","","","","",""
"USC00382757","1947","34.0627","-79.7555","32.3","EFFINGHAM, SC US","111","0","85","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","83.1",",0,0621,","","","","","","","","","","","","","","","","","","","","","","","1311.1",",0","0",",0","","","","","",""
"USC00382757","1948","34.0627","-79.7555","32.3","EFFINGHAM, SC US","128","0","90","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","65.3",",0,0512,","","","","","","","","","","","","","","","","","","","","","","","1483.4",",0","0",",0","","","","","",""
"USC00382757","1949","34.0627","-79.7555","32.3","EFFINGHAM, SC US","110","0","74","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","82.8",",0,0829,","","","","","","","","","","","","","","","","","","","","","","","1013.1",",0","0",",0","","","","","",""
"USC00382757","1950","34.0627","-79.7555","32.3","EFFINGHAM, SC US","110","0","78","0","0","","0","0","","","","","","","","","","","","","0","T,0,1220,","0","T,0,1220,","72.4",",0,0701,","","","","","","","","","","","","","","","","","","","","","","","893.2",",0","0","T,0","","","","","",""
"USC00382757","1951","34.0627","-79.7555","32.3","EFFINGHAM, SC US","93","0","60","0","0","","0","0","","","","","","","","","","","","","0","T,0,0210,","13",",0,0210,","68.1",",0,0729,","","","","","","","","","","","","","","","","","","","","","","","976.4",",0","13",",0","","","","","",""
