"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00316001","1918","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","128","6","99","6","","","","","","","","","","","","","","","","","","","","","78.2",",6,1030,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1402.6",",6","","","","","","","","","",""
"USC00316001","1919","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","122","6","96","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,1023,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1428.6",",6","","","","","","","","","",""
"USC00316001","1920","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","128","6","104","6","","","","","","","","","","","","","","","","","","","","","57.4",",6,1222,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1712.2",",6","","","","","","","","","",""
"USC00316001","1921","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","131","6","95","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,1225,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1408.3",",6","","","","","","","","","",""
"USC00316001","1922","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","148","6","111","6","","","","","","","","","","","","","","","","","","","","","55.9",",6,1203,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1714.9",",6","","","","","","","","","",""
"USC00316001","1923","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","133","6","105","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,0628,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1553.2",",6","","","","","","","","","",""
"USC00316001","1924","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","117","6","86","6","","","","","","","","","","","","","","","","","","","","","57.2",",6,0418,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1218.8",",6","","","","","","","","","",""
"USC00316001","1925","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","111","6","84","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,0805,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1040.7",",6","","","","","","","","","",""
"USC00316001","1926","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","132","6","95","6","","","","","","","","","","","","","","","","","","","","","50.3",",6,0118,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1319.9",",6","","","","","","","","","",""
"USC00316001","1927","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","134","6","98","6","","","","","","","","","","","","","","","","","","","","","52.1",",6,1216,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336.9",",6","","","","","","","","","",""
