"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013782","1917","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1114.4","","1114.4","0","107","0","54","0","2","","1","0","0","0","22","0","3","0","226","0","24","0","-11.1","0,1230,+","25",",0,1231,+","25",",0,1230,","66.0",",0,0803,","35.0","0,0728,","0.0","0,1125","-2.8","0,1209","-7.8","0,1229","-7.8","0,1229","-11.1","0,1230","-1.1","0,0213","-2.8","0,0210","-5.6","0,0206","-7.2","0,0205","-11.1","0,0203","911.0","","911.0","0","853.9",",0","25",",0","18.06","0","22.30","0","13.83","0","","","","","","","","","","","",""
"USW00013782","1918","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1227.8","","1227.8","0","93","0","59","0","0","","0","0","0","0","18","0","2","0","235","0","27","0","-7.8","0,0113,+","0",",0,1231,+","13",",0,0102,","68.6",",0,0719,","37.8","0,0707,","-1.7","0,1229","","","","","","","","","-2.8","0,0205","-2.8","0,0205","-7.8","0,0113","-7.8","0,0113","","","1322.3","","1322.3","0","797.1",",0","13",",0","18.81","0","22.84","0","14.79","0","","","","","","","","","","","",""
"USW00013782","1919","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1377.8","","1377.8","0","92","0","55","0","0","","0","0","0","0","11","0","0","0","238","0","24","0","-5.6","0,0104,","0",",0,1231,+","0","T,0,1211,","138.2",",0,0722,","36.1","0,0801,+","-1.1","0,1215","","","","","","","","","0.0","0,0217","-4.4","0,0106","-4.4","0,0106","","","","","944.6","","944.6","0","932.3",",0","0","T,0","19.56","0","23.36","0","15.77","0","","","","","","","","","","","",""
"USW00013782","1920","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1156.8","","1156.8","0","122","0","64","0","0","","0","0","0","0","14","0","0","0","215","0","25","0","-7.8","0,0105,","0",",0,1231,+","0","T,0,0301,","85.1",",0,0915,","36.7","0,0703,","","","","","","","","","","","-1.1","0,0308","-2.8","0,0227","-7.8","0,0105","-7.8","0,0105","","","1073.0","","1073.0","0","1189.8",",0","0","T,0","18.31","0","22.37","0","14.24","0","","","","","","","","","","","",""
"USW00013782","1921","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1367.7","","1367.7","0","112","0","67","0","0","","","","0","0","2","0","0","0","253","0","46","0","-1.1","0,0119,","0",",0,1231,+","","","180.6",",0,0714,","37.8","0,0618,+","","","","","","","","","","","-0.6","0,0127","","","","","","","","","917.4","","917.4","0","1159.1",",0","","","19.91","0","24.05","0","15.78","0","","","","","","","","","","","",""
"USW00013782","1922","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1324.8","","1324.8","0","142","0","85","0","1","","0","0","0","0","8","0","1","0","253","0","29","0","-3.3","0,0126,+","25",",0,0125,","13",",0,0125,","64.3",",0,0527,","36.1","0,0730,+","","","","","","","","","","","-2.2","0,0217","-2.2","0,0217","","","","","","","851.9","","851.9","0","1286.1",",0","16",",0","19.57","0","23.47","0","15.67","0","","","","","","","","","","","",""
"USW00013782","1923","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1217.4","","1217.4","0","124","0","82","0","0","","0","0","0","0","5","0","0","0","232","0","32","0","-2.2","0,0219,+","0",",0,1231,+","0",",0,1231,+","119.4",",0,0824,","35.6","0,0812,+","","","","","","","","","","","-1.1","0,0224","-2.2","0,0219","","","","","","","873.3","","873.3","0","1183.7",",0","0",",0","19.04","0","22.87","0","15.20","0","","","","","","","","","","","",""
"USW00013782","1924","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1235.2","","1235.2","0","107","0","74","0","0","","0","0","0","0","11","0","0","0","219","0","37","0","-8.3","0,0106,","0","T,0,1221,","0","T,0,1222,+","113.5",",0,0916,","38.3","0,0621,","-2.2","0,1202","-2.2","0,1202","","","","","","","-1.1","0,0311","-2.8","0,0122","-6.1","0,0107","-8.3","0,0106","","","1113.8","","1113.8","0","1296.8",",0","0","T,0","18.58","0","22.59","0","14.57","0","","","","","","","","","","","",""
"USW00013782","1925","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1436.1","","1436.1","0","94","0","57","0","0","","0","0","0","0","10","0","1","0","222","0","43","0","-7.8","0,1228,","0",",0,1231,+","0",",0,1231,+","66.8",",0,0116,","38.9","0,0814,","0.0","0,1124","-3.3","0,1227","-7.8","0,1228","-7.8","0,1228","","","-1.1","0,0303","","","","","","","","","916.4","","916.4","0","849.4",",0","0",",0","19.43","0","23.37","0","15.48","0","","","","","","","","","","","",""
"USW00013782","1926","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1345.1","","1345.1","0","99","0","62","0","0","","0","0","0","0","6","0","0","0","228","0","45","0","-3.9","0,0314,","0",",0,1231,+","0","T,0,0313,","48.5",",0,0520,","36.1","0,0831,+","-2.2","0,1219","-2.2","0,1219","","","","","","","-3.9","0,0314","-3.9","0,0314","","","","","","","1229.0","","1229.0","0","892.5",",0","0","T,0","18.90","0","23.01","0","14.79","0","","","","","","","","","","","",""
"USW00013782","1927","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1352.2","","1352.2","0","93","0","60","0","0","","0","0","0","0","13","0","0","0","254","0","37","0","-7.2","0,0116,","0",",0,1231,+","3",",0,0127,","74.4",",0,0810,","37.8","0,0703,","0.0","0,1209","-3.3","0,1220","","","","","","","0.0","0,0303","-7.2","0,0116","-7.2","0,0116","-7.2","0,0116","","","876.5","","876.5","0","759.2",",0","3",",0","19.71","0","23.88","0","15.54","0","","","","","","","","","","","",""
"USW00013782","1928","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1273.7","","1273.7","0","106","0","66","0","0","","0","0","0","0","12","0","2","0","227","0","28","0","-7.8","0,0102,","0",",0,1231,+","0",",0,1231,+","170.7",",0,0918,","37.8","0,0620,","0.0","0,1126","","","","","","","","","-3.3","0,0219","-3.3","0,0219","-4.4","0,0129","-7.8","0,0102","","","1033.2","","1033.2","0","1086.6",",0","0",",0","18.87","0","22.74","0","15.00","0","","","","","","","","","","","",""
