"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041428","1951","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","738.3","","738.3","0","66","0","43","0","0","","0","0","0","0","17","0","0","0","203","0","86","0","-2.2","0,0302,+","0",",0,1231,+","0",",0,1231,+","38.1",",0,0119,","42.8","0,0719,","1462.6","0","-0.6","0,1207","","","","","","","0.0","0,0311","-2.2","0,0302","","","","","1453.4","","1453.4","0","586.4",",0","0",",0","16.01","0","23.14","0","8.88","0","17994","0"
"USC00041428","1952","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","823.7","","823.7","0","72","0","49","0","0","","0","0","0","0","11","0","0","0","204","0","89","0","-1.1","0,0103,+","0",",0,1231,+","0",",0,1231,+","34.0",",0,0307,","40.6","0,0729,","","","","","","","","","","","-0.6","0,0321","","","","","","","1665.0","","1665.0","0","595.2",",0","0",",0","16.04","0","22.82","0","9.26","0","16923","0"
"USC00041428","1953","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","692.5","","692.5","0","56","0","34","0","0","","0","0","0","0","3","0","0","0","196","0","68","0","-3.3","0,0302,","0",",0,1231,+","0",",0,1231,+","41.1",",0,1204,","41.7","0,0722,+","1400.0","0","","","","","","","","","-2.8","0,0303","-2.8","0,0303","","","","","1564.7","","1564.7","0","370.4",",0","0",",0","15.95","0","22.89","0","9.00","0","15863","0"
"USC00041428","1954","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","674.4","","674.4","0","57","0","38","0","0","","0","0","0","0","10","0","0","0","199","0","70","0","-2.2","0,1229,+","0",",0,1231,+","0",",0,1231,+","49.3",",0,1210,","43.3","0,0729,","1484.5","0","-0.6","0,1218","-2.2","0,1227","","","","","0.0","0,0313","","","","","","","1506.2","","1506.2","0","480.4",",0","0",",0","15.75","0","22.54","0","8.97","0","15757","0"
"USC00041428","1955","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","724.2","","724.2","0","68","0","39","0","0","","0","0","0","0","16","0","0","0","190","0","74","0","-1.7","0,0203,+","0",",0,1231,+","0","T,0,0202,","49.8",",0,1223,","43.3","0,0903,","1529.2","0","","","","","","","","","0.0","0,0228","","","","","","","1810.3","","1810.3","0","589.0",",0","0","T,0","15.56","0","22.50","0","8.62","0","16406","0"
"USC00041428","1957","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","730.1","","730.1","0","69","0","44","0","0","","0","0","0","0","9","0","0","0","183","0","75","0","-2.8","0,0130,","0",",0,1231,+","0","T,0,0126,","35.8",",0,0305,","42.8","0,0625,","","","","","","","","","","","-0.6","0,0204","-2.8","0,0130","","","","","1579.6","","1579.6","0","501.4",",0","0","T,0","15.90","0","22.48","0","9.32","0","17359","0"
"USC00041428","1959","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","864.2","","864.2","0","38","0","26","0","0","","0","0","0","0","6","0","0","0","245","0","87","0","-3.3","0,1231,","0",",0,1231,+","0",",0,1231,+","36.1",",0,0919,","43.9","0,0711,","1662.2","0","-0.6","0,1226","-3.3","0,1231","","","","","-0.6","0,0121","","","","","","","","","","","350.2",",0","0",",0","17.32","0","24.87","0","9.77","0","16137","0"
"USC00041428","1960","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","946.0","","946.0","0","58","0","38","0","0","","0","0","0","0","16","0","0","0","201","0","100","0","-3.9","0,0105,","0",",0,1231,+","0",",0,1231,+","49.0",",0,0313,","45.6","0,0720,","1538.6","0","-0.6","0,1206","","","","","","","-1.1","0,0117","-3.9","0,0105","","","","","1378.8","","1378.8","0","428.1",",0","0",",0","16.64","0","23.74","0","9.55","0","17049","0"
"USC00041428","1961","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","951.5","","951.5","0","58","0","35","0","0","","0","0","0","0","18","0","2","0","199","0","100","0","-4.4","0,0103,","0",",0,1231,+","0",",0,1231,+","22.6",",0,0126,","46.1","0,0622,+","1487.3","0","-1.1","0,1208","-2.2","0,1211","","","","","-3.9","0,0121","-3.9","0,0121","-4.4","0,0103","","","1674.5","","1674.5","0","316.8",",0","0",",0","16.26","0","23.38","0","9.14","0","11986","0"
"USC00041428","1962","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","750.9","","750.9","0","48","0","36","0","0","","0","0","0","0","29","0","1","0","207","0","86","0","-7.8","0,0122,","0",",0,1231,+","0",",0,1231,+","60.7",",0,1014,","40.6","0,0722,+","1414.2","0","-0.6","0,1129","","","","","","","-0.6","0,0323","-3.9","0,0228","-5.6","0,0227","-7.8","0,0122","1736.1","","1736.1","0","584.9",",0","0",",0","15.95","0","23.01","0","8.90","0","12444","0"
