"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093140","1976","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2275.8","","2275.8","0","33","0","15","0","0","","0","0","0","0","3","0","0","0","320","0","168","0","-3.3","0,0101,","0",",0,1231,+","0",",0,1231,+","25.7",",0,0925,","46.1","0,0707,+","","","","","-2.8","0,0103","-2.8","0,0103","","","509.9","","509.9","0","176.2",",0","0",",0","23.20","0","30.71","0","15.70","0"
"USW00093140","1977","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2543.8","","2543.8","0","28","0","12","0","0","","0","0","0","0","3","0","0","0","326","0","180","0","-0.6","0,0110,","0",",0,1231,+","0",",0,1231,+","12.7",",0,1229,","45.0","0,0805,+","","","","","0.0","0,0111","","","","","518.0","","518.0","0","82.0",",0","0",",0","24.11","0","31.63","0","16.59","0"
"USW00093140","1978","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2467.9","","2467.9","0","50","0","27","0","0","","0","0","0","0","4","0","0","0","283","0","172","0","-3.9","0,1208,+","0",",0,1231,+","0",",0,1231,+","31.5",",0,0214,","46.1","0,0719,","-3.9","0,1207","-3.9","0,1207","","","","","","","385.4","","385.4","0","334.6",",0","0",",0","23.52","0","30.45","0","16.58","0"
"USW00093140","1979","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2397.7","","2397.7","0","32","0","13","0","0","","0","0","0","0","2","0","0","0","295","0","179","0","-1.7","0,0130,","0",",0,1231,+","0",",0,1231,+","50.3",",0,0812,","46.7","0,0627,","","","","","-1.7","0,0130","","","","","724.6","","724.6","0","185.8",",0","0",",0","23.13","0","30.50","0","15.76","0"
"USW00093140","1980","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2431.0","","2431.0","0","37","0","18","0","0","","0","0","0","0","0","0","0","0","327","0","168","0","3.3","0,1209,+","0",",0,1231,+","0",",0,1231,+","17.8",",0,0311,","46.7","0,0728,","","","","","","","","","","","431.8","","431.8","0","148.4",",0","0",",0","24.02","0","31.27","0","16.77","0"
"USW00093140","1981","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2601.4","","2601.4","0","23","0","15","0","0","","0","0","0","0","0","0","0","0","326","0","180","0","1.7","0,1224,","0",",0,1231,+","0",",0,1231,+","24.4",",0,0209,","45.0","0,0829,+","","","","","","","","","","","302.9","","302.9","0","190.1",",0","0",",0","24.61","0","31.81","0","17.42","0"
"USW00093140","1982","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","439.1","","439.1","0","","","","","","","","","",""
"USW00093140","1983","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2352.5","","2352.5","0","","","","","","","","","0","0","0","0","0","0","288","0","151","0","1.1","0,0102,","","","","","","","46.1","0,0705,","","","","","","","","","","","","","","","","","","","23.31","0","29.96","0","16.66","0"
"USW00093140","1984","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","",""
"USW00093140","1986","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2508.2","","2508.2","0","42","0","21","0","","","0","0","0","0","0","0","0","0","326","0","182","0","1.7","0,0211,","","","0",",0,1231,+","30.0",",0,1207,","46.1","0,0731,","","","","","","","","","","","381.1","","381.1","0","187.1",",0","0",",0","24.37","0","31.53","0","17.20","0"
