"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414278","1974","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1067.0","","1067.0","0","55","0","38","0","0","","0","0","0","0","48","0","2","0","257","0","78","0","-11.1","0,0102,+","0",",0,1231,+","0",",0,1231,+","96.5",",0,1014,","39.4","0,0724,+","","","0.0","0,1115","-6.7","0,1130","-6.7","0,1130","-6.7","0,1130","","","-3.9","0,0325","-3.9","0,0325","-4.4","0,0226","-10.0","0,0113","-10.0","0,0113","1241.4","","1241.4","0","816.2",",0","0",",0","17.33","0","24.36","0","10.31","0","",""
"USC00414278","1975","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","960.1","","960.1","0","67","0","38","0","0","","0","0","0","0","61","0","1","0","251","0","63","0","-13.3","0,0113,","0",",0,1231,+","0","T,0,0223,","67.1",",0,0527,","37.2","0,0801,","","","-1.7","0,1113","-2.8","0,1121","-4.4","0,1123","-9.4","0,1218","-9.4","0,1218","-2.2","0,0404","-2.2","0,0404","-5.0","0,0330","-6.7","0,0114","-13.3","0,0113","1572.1","","1572.1","0","537.0",",0","0","T,0","16.68","0","23.67","0","9.70","0","60986","0"
"USC00414278","1976","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1303.7","","1303.7","0","","","","","","","","","","","",""
"USC00414278","1977","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1295.5","","1295.5","0","55","0","29","0","","","","","0","0","56","0","4","0","257","0","116","0","-12.2","0,0110,+","","","","","71.4",",0,0327,","40.6","0,0927,","","","0.0","0,1012","-2.8","0,1110","-6.1","0,1206","-7.2","0,1209","","","-2.2","0,0322","-2.2","0,0322","-5.0","0,0228","-7.2","0,0201","-10.6","0,0129","","","","","499.5",",0","","","17.84","0","24.98","0","10.71","0","",""
"USC00414278","1978","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1235.1","","1235.1","0","69","0","37","0","","","","","0","0","79","0","10","0","240","0","96","0","-11.1","0,0121,+","","","","","107.4",",0,0803,","40.6","0,0718,","","","-2.8","0,1128","-2.8","0,1128","-4.4","0,1204","-6.7","0,1208","-10.0","0,1209","-1.7","0,0316","-5.0","0,0309","-5.0","0,0309","-7.2","0,0305","-8.9","0,0304","1620.7","","1620.7","0","488.8",",0","","","16.93","0","23.71","0","10.15","0","",""
"USC00414278","1979","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1104.0","","1104.0","0","66","0","51","0","","","","","0","0","71","0","10","0","239","0","100","0","-15.0","0,0102,","","","","","50.3",",0,0626,","37.8","0,0819,+","","","0.0","0,1110","-3.3","0,1111","-4.4","0,1123","-7.8","0,1130","-8.9","0,1217","0.0","0,0305","-2.2","0,0303","-4.4","0,0226","-6.7","0,0219","-9.4","0,0218","1739.6","","1739.6","0","704.3",",0","","","16.53","0","23.42","0","9.63","0","57578","0"
"USC00414278","1980","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1263.2","","1263.2","0","55","0","41","0","","","","","0","0","62","0","5","0","248","0","100","0","-13.3","0,0302,","","","","","74.9",",0,0925,","40.0","0,0629,","","","-0.6","0,1029","-2.2","0,1030","-5.0","0,1220","-9.4","0,1225","-9.4","0,1225","-2.8","0,0318","-2.8","0,0318","-11.1","0,0303","-11.1","0,0303","-11.1","0,0303","1497.2","","1497.2","0","763.1",",0","","","17.53","0","24.54","0","10.51","0","",""
"USC00414278","1981","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1172.3","","1172.3","0","48","0","32","0","0","","0","0","0","0","38","0","1","0","247","0","98","0","-13.3","0,0211,","0",",0,1231,+","0",",0,1231,+","47.8",",0,1007,","40.0","0,0824,","","","-2.8","0,1110","-2.8","0,1110","-4.4","0,1217","-8.3","0,1218","","","-1.1","0,0319","-5.0","0,0213","-5.0","0,0213","-12.2","0,0212","-12.2","0,0212","1416.7","","1416.7","0","515.0",",0","0",",0","17.78","0","24.53","0","11.03","0","",""
"USC00414278","1982","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1163.8","","1163.8","0","51","0","38","0","","","0","0","0","0","61","0","7","0","254","0","95","0","-16.1","0,0111,","","","0","T,0,0522,","71.1",",0,0627,","37.2","0,0828,+","","","-3.9","0,1104","-3.9","0,1104","-5.6","0,1113","-7.2","0,1212","","","-0.6","0,0308","-5.0","0,0307","-5.0","0,0307","-7.8","0,0210","-11.1","0,0207","1404.5","","1404.5","0","642.9",",0","0","T,0","17.17","0","24.38","0","9.97","0","",""
"USC00414278","1983","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1180.1","","1180.1","0","68","0","44","0","","","","","0","0","66","0","10","0","234","0","84","0","-16.7","0,1222,","","","","","30.7",",0,0630,","39.4","0,0901,","","","-2.8","0,1127","-2.8","0,1127","-4.4","0,1217","-7.2","0,1218","-10.6","0,1219","-1.1","0,0415","-3.3","0,0321","-5.0","0,0207","-7.2","0,0127","","","1631.6","","1631.6","0","529.7",",0","","","16.72","0","23.64","0","9.79","0","63489","0"
