"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014737","1968","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","424.2","","424.2","0","110","0","70","0","29","","2","0","8","0","122","0","33","0","151","0","19","0","-21.7","0,0102,","178",",0,0101,","163",",0,1112,","64.0",",0,0424,","35.6","0,0718,","-0.6","0,1006","-2.2","0,1031","-6.1","0,1201","-11.7","0,1209","-11.7","0,1209","-2.2","0,0407","-2.2","0,0407","-5.0","0,0325","-7.8","0,0314","-8.9","0,0308","3553.4","","3553.4","0","977.4",",0","373",",0","10.24","0","16.06","0","4.42","0","","","310","X","","","","","","","18.3","X","","","","","",""
"USW00014737","1969","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","424.0","","424.0","0","119","0","78","0","29","","10","0","0","0","139","0","28","0","154","0","8","0","-15.6","0,1225,","279",",0,1227,+","229",",0,1226,","76.2",",0,0728,","35.0","0,0529,","-3.3","0,1023","-3.3","0,1023","-5.6","0,1024","-6.7","0,1121","-9.4","0,1218","-1.1","0,0413","-2.2","0,0403","-7.2","0,0401","-7.2","0,0401","-10.0","0,0216","3130.7","","3130.7","0","1064.8",",0","1057",",0","10.40","0","15.78","0","5.03","0","","","300","X","","","","","","","17.9","X","","","","","",""
"USW00014737","1970","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","451.4","","451.4","0","117","0","72","0","52","","10","0","3","0","132","0","46","0","146","0","13","0","-20.0","0,0123,","279",",0,0113,+","259",",0,0329,","59.2",",0,0402,","33.9","0,0923,+","-1.1","0,1029","-2.8","0,1117","-7.2","0,1123","-7.2","0,1123","-10.6","0,1208","0.0","0,0507","-2.8","0,0412","-5.6","0,0401","-12.2","0,0330","-12.2","0,0330","3632.9","","3632.9","0","1057.2",",0","859",",0","10.10","0","15.24","0","4.96","0","","","270","X","","","","","","","19.7","X","","","","","",""
"USW00014737","1971","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","417.1","","417.1","0","112","0","75","0","27","","8","0","0","0","127","0","26","0","147","0","7","0","-17.2","0,0202,","203",",0,0102,","198",",0,0101,","79.2",",0,0827,","35.0","0,0708,","0.0","0,1105","-3.9","0,1108","-5.6","0,1109","-8.3","0,1202","-9.4","0,1203","0.0","0,0425","-2.8","0,0409","-6.1","0,0328","-7.2","0,0325","-11.1","0,0211","3381.7","","3381.7","0","1232.2",",0","774",",0","10.44","0","15.56","0","5.31","0","","","280","X","","","","","","","17.9","X","","","","","",""
"USW00014737","1972","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","389.6","","389.6","0","152","0","91","0","27","","6","0","0","0","131","0","23","0","145","0","13","0","-16.7","0,0223,+","229",",0,0221,+","224",",0,0219,","85.1",",0,1108,","36.1","0,0721,","-0.6","0,1010","-4.4","0,1020","-4.4","0,1020","-7.8","0,1123","-9.4","0,1217","0.0","0,0428","-5.0","0,0409","-5.0","0,0409","-10.0","0,0311","-10.0","0,0311","3135.1","","3135.1","0","1418.9",",0","649",",0","10.15","0","15.35","0","4.95","0","","","280","X","","","","","","","17.0","X","","","","","",""
"USW00014737","1973","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","531.3","","531.3","0","123","0","88","0","10","","4","0","0","0","101","0","20","0","149","0","17","0","-16.7","0,0217,","152",",0,1217,","114",",0,1216,","86.9",",0,0629,","36.1","0,0828,","0.0","0,1106","-2.2","0,1107","-5.0","0,1111","-8.9","0,1217","-8.9","0,1217","-2.2","0,0415","-2.2","0,0415","-4.4","0,0321","-6.7","0,0301","-10.6","0,0228","3190.8","","3190.8","0","1224.4",",0","261",",0","11.57","0","16.78","0","6.35","0","","","300","X","","","","","","","17.9","X","","","","","",""
"USW00014737","1974","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","373.7","","373.7","0","135","0","76","0","20","","6","0","0","0","119","0","21","0","137","0","8","0","-17.2","0,0114,","127",",0,0111,+","127",",0,0109,","74.2",",0,0817,","35.6","0,0714,","0.0","0,0924","-2.2","0,1018","-4.4","0,1019","-6.7","0,1123","","","0.0","0,0508","-4.4","0,0329","-4.4","0,0329","-7.8","0,0325","-9.4","0,0216","2968.4","","2968.4","0","1225.4",",0","392",",0","10.75","0","15.88","0","5.62","0","","","330","X","","","","","","","16.1","X","","","","","",""
"USW00014737","1975","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","424.2","","424.2","0","137","0","94","0","29","","9","0","1","0","115","0","20","0","146","0","6","0","-17.8","0,0121,","152",",0,0215,+","137",",0,0212,","51.8",",0,0924,+","35.0","0,0802,","-0.6","0,1030","-2.2","0,1031","-4.4","0,1203","-6.7","0,1208","-11.1","0,1219","-0.6","0,0423","-2.8","0,0414","-4.4","0,0405","-7.2","0,0310","-9.4","0,0309","3163.1","","3163.1","0","1411.4",",0","548",",0","11.19","0","16.08","0","6.31","0","","","350","X","","","","","360","X","21.5","X","","","","","29.3","X"
"USW00014737","1976","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","428.0","","428.0","0","122","0","78","0","24","","10","0","1","0","132","0","40","0","147","0","11","0","-17.8","0,0123,","178",",0,0310,","168",",0,0309,","66.8",",0,0916,","33.9","0,0418,","0.0","0,1012","-3.9","0,1019","-4.4","0,1028","-7.2","0,1129","-11.7","0,1130","-0.6","0,0505","-4.4","0,0412","-4.4","0,0412","-8.9","0,0318","-8.9","0,0318","2989.1","","2989.1","0","1014.2",",0","605",",0","10.28","0","15.80","0","4.76","0","","","340","X","","","","","270","X","17.4","X","","","","","28.8","X"
"USW00014737","1977","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","531.4","","531.4","0","133","0","91","0","54","","8","0","3","0","106","0","42","0","160","0","18","0","-20.6","0,0117,","178",",0,0208,+","117",",0,0220,","63.2",",0,0322,","35.6","0,0721,+","-1.7","0,1112","-3.9","0,1114","-6.1","0,1207","-7.8","0,1208","-10.0","0,1209","-2.8","0,0410","-2.8","0,0410","-5.6","0,0409","-15.0","0,0222","-15.0","0,0222","3415.2","","3415.2","0","1260.5",",0","711",",0","11.04","0","16.18","0","5.90","0","","","270","X","","","","","270","X","20.6","X","","","","","30.3","X"
