"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023271","1900","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","413.0","","413.0","0","60","0","33","0","","","","","0","0","1","0","0","0","196","0","33","0","-1.1","0,1231,","","","","","58.9",",0,1121,","38.9","0,0802,","-1.1","0,1231","","","","","","","","","","","","","","","1485.9","","1485.9","0","454.4",",0","","","15.50","0","21.31","0","9.70","0"
"USW00023271","1901","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","502.3","","502.3","0","53","0","38","0","","","","","0","0","14","0","0","0","194","0","46","0","-3.3","0,0101,","","","","","45.7",",0,0205,","40.6","0,0811,","0.0","0,1213","-2.2","0,1215","","","","","0.0","0,0210","-3.3","0,0101","","","","","1560.5","","1560.5","0","470.2",",0","","","15.64","0","21.81","0","9.47","0"
"USW00023271","1902","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","471.0","","471.0","0","61","0","43","0","","","","","0","0","10","0","0","0","170","0","41","0","-1.7","0,0127,","","","","","33.0",",0,1225,","41.7","0,0724,+","0.0","0,1125","","","","","","","0.0","0,0201","","","","","","","1541.8","","1541.8","0","453.0",",0","","","15.10","0","20.75","0","9.46","0"
"USW00023271","1903","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","498.0","","498.0","0","51","0","32","0","","","","","0","0","8","0","0","0","182","0","40","0","-1.7","0,0117,","","","","","35.1",",0,0127,","38.9","0,0902,","-0.6","0,1230","","","","","","","0.0","0,0216","","","","","","","1713.4","","1713.4","0","373.8",",0","","","15.22","0","21.15","0","9.30","0"
"USW00023271","1904","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","570.0","","570.0","0","78","0","40","0","","","","","0","0","2","0","0","0","172","0","39","0","0.0","0,0122,+","","","","","63.0",",0,0212,","38.9","0,0907,","","","","","","","","","0.0","0,0122","","","","","","","1481.3","","1481.3","0","533.8",",0","","","15.63","0","21.02","0","10.25","0"
"USW00023271","1905","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","406.5","","406.5","0","54","0","33","0","","","","","0","0","9","0","0","0","196","0","30","0","-2.2","0,1224,","","","","","33.3",",0,0507,","43.3","0,0708,","0.0","0,1203","-2.2","0,1224","","","","","-1.1","0,0104","","","","","","","1442.2","","1442.2","0","380.8",",0","","","15.39","0","21.60","0","9.17","0"
"USW00023271","1906","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","535.5","","535.5","0","79","0","52","0","","","","","0","0","6","0","0","0","177","0","50","0","-1.1","0,1202,","","","","","57.7",",0,0330,","40.0","0,0724,","0.0","0,1124","","","","","","","0.0","0,0103","","","","","","","1520.0","","1520.0","0","780.3",",0","","","15.80","0","21.55","0","10.06","0"
"USW00023271","1907","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","340.9","","340.9","0","68","0","41","0","","","","","0","0","2","0","0","0","184","0","24","0","-0.6","0,0106,","","","","","44.2",",0,0318,","37.2","0,0815,","","","","","","","","","0.0","0,0115","","","","","","","1485.5","","1485.5","0","493.7",",0","","","15.31","0","20.67","0","9.96","0"
"USW00023271","1908","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","512.4","","512.4","0","54","0","26","0","","","","","0","0","8","0","0","0","195","0","51","0","-2.2","0,1222,+","","","","","29.2",",0,0113,","39.4","0,0807,+","0.0","0,1129","-2.2","0,1218","","","","","","","","","","","","","1415.4","","1415.4","0","284.9",",0","","","15.42","0","21.69","0","9.14","0"
"USW00023271","1909","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","446.1","","446.1","0","88","0","52","0","","","","","0","0","2","0","0","0","184","0","38","0","-1.7","0,1204,","","","","","54.9",",0,0211,","38.3","0,0712,","-1.7","0,1204","","","","","","","","","","","","","","","1540.1","","1540.1","0","628.4",",0","","","15.34","0","21.04","0","9.64","0"
