"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00411133","1919","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2185.3","","2185.3","6","97","6","63","6","0","6","6","6","0","6","327","6","143","6","-4.4","6,0104,","117.1",",6,0914,","38.9","6,0831,","0.0","6,1210","","","","","-1.1","6,0109","-4.4","6,0104","-4.4","6,0104","","","","","970.1",",6","23.37","6","28.81","6","17.92","6"
"USC00411133","1920","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","52","6","36","6","0","6","3","6","","","","","","","0.0","6,1228,+","65.5",",6,1016,","","","0.0","6,1116","","","","","0.0","6,0308","","","","","359.5","","359.5","6","527.8",",6","","","","","17.69","6"
"USC00411133","1928","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","85","6","45","6","","","","","","","","","","","","","130.6",",6,0513,","","","","","","","","","","","","","","","","","","","855.6",",6","","","","","",""
"USC00411133","1932","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","85","6","41","6","","","","","","","","","","","","","150.4",",6,0427,","","","","","","","","","","","","","","","","","","","894.0",",6","","","","","",""
"USC00411133","1933","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","89","6","46","6","","","","","","","","","","","","","214.9",",6,0905,","","","","","","","","","","","","","","","","","","","990.7",",6","","","","","",""
"USC00411133","1935","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","103","6","52","6","","","","","","","","","","","","","74.2",",6,0612,","","","","","","","","","","","","","","","","","","","637.3",",6","","","","","",""
"USC00411133","1936","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","99","6","48","6","","","","","","","","","","","","","92.7",",6,0830,","","","","","","","","","","","","","","","","","","","834.7",",6","","","","","",""
"USC00411133","1937","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","95","6","36","6","","","","","","","","","","","","","101.1",",6,0514,","","","","","","","","","","","","","","","","","","","663.6",",6","","","","","",""
"USC00411133","1938","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","70","6","34","6","","","","","","","","","","","","","74.9",",6,0525,","","","","","","","","","","","","","","","","","","","547.5",",6","","","","","",""
"USC00411133","1939","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","68","6","33","6","","","","","","","","","","","","","122.9",",6,0514,","","","","","","","","","","","","","","","","","","","770.1",",6","","","","","",""
"USC00411133","1940","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","77","6","33","6","","","","","","","","","","","","","133.9",",6,1222,","","","","","","","","","","","","","","","","","","","663.8",",6","","","","","",""
"USC00411133","1941","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","106","6","59","6","","","","","","","","","","","","","70.9",",6,1028,","","","","","","","","","","","","","","","","","","","1120.4",",6","","","","","",""
"USC00411133","1942","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","79","6","39","6","","","","","","","","","","","","","207.5",",6,0623,","","","","","","","","","","","","","","","","","","","635.9",",6","","","","","",""
