"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00510470","1961","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","668.2",",","0",",0"
"USC00510470","1962","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1100.6",",0","0",",0"
"USC00510470","1963","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","950.9",",0","0",",0"
"USC00510470","1964","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","865.8",",0","0",",0"
"USC00510470","1965","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1162.5",",","0",",0"
"USC00510470","1966","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","567.8",",","0",",0"
"USC00510470","1967","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","911.0",",","0",",0"
"USC00510470","1969","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","576.8",",0","0",",0"
"USC00510470","1970","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","624.1",",0","0",",0"
"USC00510470","1971","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1065.7",",","0",",0"
"USC00510470","1972","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","967.1",",","0",",0"
"USC00510470","1973","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","614.8",",","0",",0"
"USC00510470","1974","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1058.9",",0","0",",0"
"USC00510470","1975","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","1976","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","522.2",",","0",",0"
"USC00510470","1977","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","591.7",",","0",",0"
"USC00510470","1978","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","696.8",",","0",",0"
"USC00510470","1979","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","1980","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","559.7",",0","0",",0"
"USC00510470","1981","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","651.4",",","0",",0"
"USC00510470","1982","21.90583","-159.57889","45.7","ELEELE 927, HI US","","","0","0","","","0",",0,1231,+","","","0",",0"
"USC00510470","1983","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","381.9",",","0",",0"
"USC00510470","1984","21.90583","-159.57889","45.7","ELEELE 927, HI US","","","0","0","","","0",",0,1231,+","","","0",",0"
"USC00510470","1985","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","652.8",",0","0",",0"
"USC00510470","1986","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","1987","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","788.7",",","0",",0"
"USC00510470","1988","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","709.7",",","0",",0"
"USC00510470","1989","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1173.2",",","0",",0"
"USC00510470","1990","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1132.5",",0","0",",0"
"USC00510470","1991","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","699.6",",","0",",0"
"USC00510470","1992","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","1993","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","1994","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","807.8",",0","0",",0"
"USC00510470","1995","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","762.2",",","0",",0"
"USC00510470","1996","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1155.7",",","0",",0"
"USC00510470","1997","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","1998","21.90583","-159.57889","45.7","ELEELE 927, HI US","","","0","0","","","0",",0,1231,+","","","0",",0"
"USC00510470","1999","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","824.6",",0","0",",0"
"USC00510470","2000","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","376.3",",","0",",0"
"USC00510470","2001","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","563.4",",0","0",",0"
"USC00510470","2002","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","708.4",",0","0",",0"
"USC00510470","2003","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00510470","2004","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1024.0",",0","0",",0"
"USC00510470","2005","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","638.8",",","0",",0"
"USC00510470","2006","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1534.8",",","0",",0"
"USC00510470","2007","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","870.1",",0","0",",0"
"USC00510470","2008","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","930.7",",","0",",0"
"USC00510470","2009","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","433.6",",0","0",",0"
"USC00510470","2010","21.90583","-159.57889","45.7","ELEELE 927, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
