"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00012919","1948","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2189.6","","2189.6","0","67","0","38","0","0","","0","0","0","0","6","0","0","0","322","0","118","0","-2.2","0,0129,+","0","T,0,0129,","0","T,0,0311,+","119.4",",0,0910,","37.2","0,0904,+","","","","","","","","","","","0.0","0,0311","-2.2","0,0129","","","","","","","","","583.1",",0","","","0","T,0","23.19","0","28.38","0","17.99","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1949","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2242.0","","2242.0","0","83","0","38","0","0","","0","0","0","0","3","0","1","0","321","0","119","0","-5.0","0,0131,","0",",0,1231,+","0","T,0,0129,","106.9",",0,0924,","35.6","0,0815,","","","","","","","","","","","-5.0","0,0131","-5.0","0,0131","-5.0","0,0131","","","310.4","","310.4","0","731.0",",0","","","0","T,0","23.69","0","28.12","0","19.25","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1950","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2371.8","","2371.8","0","48","0","28","0","0","","0","0","0","0","2","0","0","0","338","0","134","0","-1.7","0,1207,+","0",",0,1231,+","0",",0,1231,+","191.0",",0,0602,","36.7","0,0910,","-1.7","0,1206","","","","","","","","","","","","","","","","","153.6","","153.6","0","469.0",",0","","","0",",0","24.21","0","28.98","0","19.45","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1951","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2179.1","","2179.1","0","66","0","32","0","0","","0","0","0","0","6","0","2","0","332","0","109","0","-5.6","0,0201,","0",",0,1231,+","0",",0,1231,+","111.5",",0,0822,","35.6","0,0818,+","","","","","","","","","","","-3.9","0,0203","-3.9","0,0203","-5.6","0,0201","","","357.4","","357.4","0","615.2",",0","","","0",",0","23.34","0","28.05","0","18.63","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1952","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2007.4","","2007.4","0","67","0","34","0","0","","0","0","0","0","0","0","0","0","340","0","88","0","2.8","0,0227,","0",",0,1231,+","0",",0,1231,+","80.8",",0,0911,","36.7","0,0831,","","","","","","","","","","","","","","","","","","","208.1","","208.1","0","478.8",",0","","","0",",0","23.13","0","28.05","0","18.21","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1953","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2329.5","","2329.5","0","56","0","27","0","0","","0","0","0","0","1","0","0","0","329","0","139","0","0.0","0,1226,","0",",0,1231,+","0",",0,1231,+","29.0",",0,0827,","37.8","0,0501,+","0.0","0,1226","","","","","","","","","","","","","","","","","256.1","","256.1","0","294.8",",0","","","0",",0","23.97","0","28.97","0","18.97","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1954","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2212.5","","2212.5","0","70","0","29","0","0","","0","0","0","0","0","0","0","0","342","0","122","0","1.7","0,0122,","0",",0,1231,+","0",",0,1231,+","169.4",",0,1004,","38.3","0,0726,","","","","","","","","","","","","","","","","","","","281.1","","281.1","0","560.9",",0","","","0",",0","23.84","0","28.77","0","18.91","0","","","","","","","","","135","X","","","","","","","","","26.8","X","",""
"USW00012919","1955","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2202.4","","2202.4","0","67","0","31","0","0","","0","0","0","0","0","0","0","0","326","0","112","0","1.7","0,0212,","0",",0,1231,+","0",",0,1231,+","91.4",",0,0905,","35.0","0,0825,+","","","","","","","","","","","","","","","","","","","225.7","","225.7","0","479.8",",0","","","0",",0","23.60","0","28.29","0","18.92","0","","","","","","","","","315","X","","","","","","","","","23.6","X","",""
"USW00012919","1956","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","1972.8","","1972.8","0","59","0","22","0","0","","0","0","0","0","0","0","0","0","332","0","76","0","1.1","0,0203,","0",",0,1231,+","0",",0,1231,+","93.7",",0,0423,","35.6","0,0614,","","","","","","","","","","","","","","","","","","","263.3","","263.3","0","425.8",",0","","","0",",0","22.96","0","28.09","0","17.83","0","","","","","","","","","158","X","","","","","","","","","26.7","X","",""
"USW00012919","1957","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2203.9","","2203.9","0","68","0","34","0","0","","0","0","0","0","0","0","0","0","333","0","112","0","0.6","0,1212,+","0",",0,1231,+","0",",0,1231,+","107.2",",0,0216,","36.1","0,0818,+","","","","","","","","","","","","","","","","","","","209.8","","209.8","0","823.7",",0","","","0",",0","23.75","0","28.46","0","19.04","0","","","","","","","","","180","X","","","","","","","","","21.6","X","",""
