"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049001","1978","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","54","0","36","0","0","","0","0","0","0","17","0","","","","","","","-7.8","0,1231,","0",",0,1231,+","0",",0,1231,+","26.2",",0,0207,","","","","","-2.2","0,1115","-2.2","0,1115","-4.4","0,1222","-7.8","0,1231","","","","","","","1108.0","","1108.0","0","","","","","380.7",",0","0",",0","","","","","9.99","0","60497","0"
"USC00049001","1979","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","871.1","","871.1","0","57","0","39","0","0","","0","0","0","0","15","0","0","0","206","0","83","0","-6.1","0,0101,","0",",0,1231,+","0",",0,1231,+","33.0",",0,0115,","41.1","0,0914,","","","-2.2","0,1121","-2.2","0,1121","","","","","-1.1","0,0205","-2.8","0,0203","-6.1","0,0101","","","","","","","","","343.9",",0","0",",0","16.94","0","23.81","0","10.07","0","",""
"USC00049001","1980","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","609.3","","609.3","0","38","0","29","0","0","","0","0","0","0","14","0","0","0","204","0","61","0","-3.3","0,1214,+","0",",0,1231,+","0",",0,1231,+","24.6",",0,0219,","41.7","0,0727,","","","-1.1","0,1128","-2.8","0,1209","","","","","0.0","0,0209","","","","","1308.7","","1308.7","0","","","","","267.6",",0","0",",0","16.50","0","23.18","0","9.83","0","",""
"USC00049001","1981","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","833.0","","833.0","0","69","0","37","0","0","","0","0","0","0","0","0","0","0","213","0","78","0","0.6","0,1203,+","0",",0,1231,+","0",",0,1231,+","35.6",",0,0127,","41.1","0,0807,+","","","","","","","","","","","","","","","","","1230.3","","1230.3","0","","","","","327.9",",0","0",",0","17.42","0","24.12","0","10.72","0","",""
"USC00049001","1982","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","585.3","","585.3","0","69","0","47","0","","","0","0","0","0","24","0","0","0","185","0","49","0","-2.8","0,0110,+","","","0",",0,1231,+","71.1",",0,0104,","38.3","0,0822,+","","","0.0","0,1210","-2.2","0,1231","","","","","-0.6","0,0210","-2.2","0,0113","","","1410.2","","1410.2","0","","","","","570.7",",0","0",",0","15.69","0","22.16","0","9.21","0","55877","0"
"USC00049001","1983","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","85","0","63","0","0","","0","0","0","0","5","0","","","","","","","-1.7","0,0111,+","0",",0,1231,+","0",",0,1231,+","35.8",",0,0122,","","","","","","","","","","","","","-1.7","0,0111","","","","","","","","","","","","","716.6",",0","0",",0","","","","","10.52","0","",""
"USC00049001","1984","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","934.2","","934.2","0","47","0","25","0","0","","0","0","0","0","12","0","0","0","207","0","93","0","-3.9","0,1217,","0",",0,1231,+","0",",0,1231,+","23.1",",0,1108,","41.7","0,0702,","","","-3.9","0,1217","-3.9","0,1217","","","","","0.0","0,0223","-2.2","0,0121","","","1195.1","","1195.1","0","","","","","232.8",",0","0",",0","17.07","0","23.63","0","10.51","0","62189","0"
"USC00049001","1985","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1521.6","","1521.6","0","","","","","","","","","","","","","","","",""
"USC00049001","1986","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","55","0","29","0","0","","0","0","","","","","0","0","239","0","79","0","","","0",",0,1231,+","0",",0,1231,+","30.0",",0,0308,","38.9","0,0804,+","","","","","","","","","","","","","","","","","","","","","","","","","343.0",",0","0",",0","","","24.19","0","","","62363","0"
"USC00049001","1987","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00049001","1988","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","0","","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225.4",",","","","","","","","","","",""
"USC00049001","1989","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0","T,0,0401,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","T,0","","","","","","","",""
"USC00049001","1990","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00049001","1991","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00049001","1992","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00049001","1993","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00049001","1994","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","48","0","28","0","0","","0","0","0","0","26","0","","","","","","","-3.3","0,0131,","0",",0,1231,+","0",",0,1231,+","22.1",",0,1106,","","","","","-0.6","0,1129","-2.8","0,1228","","","","","0.0","0,0223","-2.2","0,0213","","","","","","","","","","","249.9",",0","0",",0","","","","","8.70","0","",""
"USC00049001","1995","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","661.5","","661.5","0","73","0","41","0","0","","0","0","0","0","2","0","0","0","214","0","61","0","-1.7","0,0418,","0",",0,1231,+","0",",0,1231,+","32.5",",0,0110,","41.7","0,0626,","","","","","","","","","","","-1.7","0,0418","","","","","1398.4","","1398.4","0","     13.62","0,P,N","     25.93","0,P,N","433.6",",0","0",",0","17.26","0","23.66","0","10.86","0","40802","0"
"USC00049001","1996","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","78","0","40","0","0","","0","0","0","0","1","0","","","","","","","-0.6","0,1219,","0",",0,1231,+","0",",0,1231,+","37.6",",0,1117,","","","","","-0.6","0,1219","","","","","","","","","","","","","","","","","","","","","488.9",",0","0",",0","","","","","10.95","0","",""
"USC00049001","1997","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","56","0","25","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","27.9",",0,1126,","","","","","","","","","","","","","","","","","","","918.9","","918.9","0","     12.67","0,P,N","     26.22","0,P,N","287.6",",0","0",",0","","","","","","","46389","0"
