"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00391102","1987","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","75","0","42","0","27","","11","0","","","","","","","330",",0,1231,+","178",",0,1227,","42.2",",0,0704,","","","","","","","","","","","","","","","","","","","","","535.1",",0","837",",0","",""
"USC00391102","1988","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","59","0","40","0","92","","20","0","","","","","","","533",",0,0126,+","203",",0,0119,","54.4",",0,0821,","","","","","","","","","","","","","","","","","","","","","386.6",",0","1117",",0","",""
"USC00391102","1989","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","72","0","46","0","88","","14","0","","","","","","","483",",0,0304,","254",",0,0317,","50.5",",0,0810,","","","","","","","","","","","","","","","","","","","","","580.8",",0","1218",",0","",""
"USC00391102","1990","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","66","0","41","0","30","","11","0","","","","","","","203",",0,0219,+","127",",0,0215,","38.1",",0,0719,","","","","","","","","","","","","","","","","","","","","","543.4",",0","609",",0","",""
"USC00391102","1991","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","74","0","49","0","39","","8","0","","","","","","","152",",0,0218,","152",",0,0218,","119.4",",0,0603,","","","","","","","","","","","","","","","","","","","","","744.0",",0","430",",0","",""
"USC00391102","1992","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","90","0","51","0","85","","19","0","","","","","","","178",",0,1231,+","203",",0,0421,","59.2",",0,0616,","","","","","","","","","","","","","","","","","","","","","607.7",",0","1273",",0","",""
"USC00391102","1993","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","87","0","58","0","","","23","0","","","","","","","","","229",",0,1124,","86.1",",0,0814,","","","","","","","","","","","","","","","","","","","","","770.0",",0","1714",",0","",""
"USC00391102","1994","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","91","0","45","0","102","","20","0","","","","","","","889",",0,0213,+","178",",0,0428,","74.4",",0,0810,","","","","","","","","","","","","","","","","","","","","","595.5",",0","1294",",0","",""
"USC00391102","1995","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","87","0","61","0","73","","19","0","","","","","","","254",",0,1024,","203",",0,1023,+","78.2",",0,0930,","","","","","","","","","","","","","","","","","","","","","767.5",",0","1536",",0","",""
"USC00391102","1996","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","93","0","63","0","108","","26","0","","","","","","","508",",0,1231,+","279",",0,0118,","46.5",",0,1017,","","","","","","","","","","","","","","","","","","","","","587.1",",0","2048",",0","",""
"USC00391102","1997","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","82","0","51","0","117","","16","0","","","","","","","965",",0,0118,+","533",",0,0104,","52.3",",0,0725,","","","","","","","","","","","","","","","","","","","","","771.7",",0","1950",",0","",""
"USC00391102","1998","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","93","0","58","0","66","","13","0","","","","","","","356",",0,1110,","345",",0,1110,","46.0",",0,0827,","","","","","","","","","","","","","","","","","","","","","826.3",",0","1201",",0","",""
"USC00391102","1999","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","80","0","54","0","61","","12","0","","","","","","","152",",0,1001,+","152",",0,1214,+","79.2",",0,0730,","","","","","","","","","","","","","","","","","","","","","710.8",",0","1011",",0","",""
"USC00391102","2000","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","83","0","58","0","78","","19","0","","","","","","","457",",0,1231,+","203",",0,1112,","42.7",",0,0711,","","","","","","","","","","","","","","","","","","","","","610.4",",0","1373",",0","",""
"USC00391102","2001","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","69","0","52","0","119","","17","0","","","","","","","1067",",0,0227,+","508",",0,0130,","77.0",",0,0613,","","","","","","","","","","","","","","","","","","","","","682.6",",0","2102",",0","",""
"USC00391102","2002","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","77","0","46","0","56","","15","0","","","","","","","279",",0,0318,+","127",",0,0428,","77.2",",0,1030,","","","","","","","","","","","","","","","","","","","","","550.9",",0","958",",0","",""
"USC00391102","2003","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","68","0","46","0","73","","15","0","","","","","","","279",",0,1206,+","267",",0,1123,","72.4",",0,0624,","","","","","","","","","","","","","","","","","","","","","413.6",",0","1076",",0","",""
"USC00391102","2004","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","71","0","50","0","34","","6","0","","","","","","","330",",0,0212,+","163",",0,0126,","48.8",",0,0512,","","","","","","","","","","","","","","","","","","","","","734.2",",0","443",",0","",""
"USC00391102","2005","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","74","0","55","0","34","","8","0","","","","","","","254",",0,1130,+","152",",0,1128,","61.2",",0,0912,","","","","","","","","","","","","","","","","","","","","","749.9",",0","654",",0","",""
"USC00391102","2007","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","72","0","52","0","","","11","0","","","","","","","","","406",",0,0301,","64.3",",0,0505,","","","","","","","","","","","","","","","","","","","","","757.7",",0","1563",",0","",""
"USC00391102","2008","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","72","0","52","0","","","12","0","","","","","","","","","508",",0,0425,","31.8",",0,0606,","","","","","","","","","","","","","","","","","","","","","596.3",",0","1651",",0","",""
"USC00391102","2009","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","77","0","63","0","","","19","0","","","","","","","","","203",",0,1225,","45.0",",0,1002,","","","","","","","","","","","","","","","","","","","","","779.5",",0","1463",",0","",""
"USC00391102","2010","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","","","","","","","16","0","","","","","","","","","140",",0,1231,","","","","","","","","","","","","","","","","","","","","","","","","","1151",",0","",""
"USC00391102","2014","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","51","7","43","7","","","10","7","","","","","","","","","165",",7,0305,","45.7",",7,0815,","","","","","","","","","","","","","","","","","","","","","591.2",",7","818",",7","",""
"USC00391102","2015","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","57","7","39","7","","","8","7","","","","","","","","","178",",7,1226,+","79.2",",7,0819,","","","","","","","","","","","","","","","","","","","","","747.3",",7","793",",7","",""
