"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00243113","1943","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","136.3","","136.3","6","99","6","38","6","","","17","6","36","6","178","6","34","6","151","6","31","6","-40.6","6,0125,","","","183",",6,0123,","42.7",",6,0614,","36.7","6,0731,+","-3.9","6,0908","-3.9","6,0908","-7.2","6,1015","-7.2","6,1015","-8.9","6,1108","0.0","6,0606","-2.8","6,0517","-6.1","6,0512","-6.7","6,0404","-12.2","6,0320","4417.0","","4417.0","6","425.7",",6","1260",",6","7.04","6","15.83","6","-1.74","6","",""
"USC00243113","1944","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","133.5","","133.5","6","95","6","34","6","","","24","6","24","6","184","6","31","6","151","6","20","6","-28.3","6,1223,","","","130",",6,0301,","30.0",",6,0406,","37.2","6,0728,","-2.8","6,0918","-2.8","6,0918","-6.7","6,1001","-6.7","6,1001","-9.4","6,1112","-1.1","6,0510","-3.9","6,0504","-5.6","6,0423","-15.6","6,0328","-15.6","6,0328","3868.3","","3868.3","6","303.8",",6","1642",",6","7.51","6","16.20","6","-1.17","6","",""
"USC00243113","1945","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","235.8","","235.8","6","118","6","37","6","","","21","6","29","6","186","6","45","6","127","6","39","6","-32.2","6,0305,","","","152",",6,1221,","30.5",",6,0922,","39.4","6,0721,","-2.2","6,0910","-2.2","6,0910","-4.4","6,0928","-12.2","6,1106","-12.2","6,1106","-0.6","6,0529","-3.3","6,0502","-6.7","6,0425","-6.7","6,0425","-8.9","6,0418","4158.9","","4158.9","6","354.4",",6","1746",",6","7.05","6","15.26","6","-1.15","6","",""
"USC00243113","1946","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","188.0","","188.0","6","97","6","43","6","","","","","15","6","178","6","27","6","130","6","25","6","-31.1","6,1121,","","","","","27.2",",6,0708,","39.4","6,0721,","-3.3","6,0923","-3.3","6,0923","-7.2","6,1016","-7.2","6,1016","-11.1","6,1028","-2.2","6,0520","-2.2","6,0520","-10.0","6,0510","-10.0","6,0510","-10.0","6,0510","3815.6","","3815.6","6","386.6",",6","","","8.11","6","16.04","6","0.18","6","",""
"USC00243113","1947","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","230.9","","230.9","6","","","","","","","","","28","6","159","6","44","6","144","6","35","6","-35.6","6,0305,","","","","","","","38.3","6,0808,+","-2.2","6,0919","-2.2","6,0919","-6.1","6,1023","-6.7","6,1025","-12.8","6,1106","-6.1","6,0528","-6.1","6,0528","-6.1","6,0528","-7.2","6,0314","-15.0","6,0313","4382.2","","4382.2","6","","","","","7.63","6","15.37","6","-0.11","6","",""
"USC00243113","1948","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","151.2","","151.2","0","117","0","43","0","","","28","0","34","0","182","0","45","0","129","0","22","0","-30.6","0,1214,","","","122",",0,0325,","24.9",",0,0604,","36.7","0,0914,","0.0","0,0928","-4.4","0,1001","-4.4","0,1001","-7.8","0,1009","-8.9","0,1028","-1.1","6,0512","-3.3","6,0503","-6.1","6,0427","-8.3","6,0408","-8.9","6,0407","4095.4","","4095.4","0","369.8",",0","1781",",0","6.97","0","14.51","0","-0.57","0","",""
"USC00243113","1949","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","245.1","","245.1","0","100","0","37","0","82","","28","0","57","0","171","0","66","0","149","0","35","0","-39.4","0,0120,","279",",0,0130,","203",",0,1018,","51.6",",0,0517,","40.6","0,0806,","0.0","0,0912","-3.9","0,0913","-4.4","0,1013","-7.8","0,1021","-8.9","0,1120","-1.1","0,0618","-2.8","0,0506","-5.0","0,0501","-7.2","0,0402","-12.2","0,0317","4618.3","","4618.3","0","329.0",",0","2560",",0","6.48","0","14.75","0","-1.79","0","",""
"USC00243113","1950","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","111.2","","111.2","0","119","0","45","0","85","","30","0","44","0","179","0","52","0","124","0","13","0","-42.8","0,0103,","254",",0,0311,+","183",",0,0306,","41.7",",0,0730,","36.1","0,0903,","-1.1","0,0913","-2.2","0,0929","-8.9","0,1001","-8.9","0,1001","-8.9","0,1001","0.0","0,0607","-2.8","0,0505","-4.4","0,0501","-13.3","0,0409","-13.3","0,0409","4805.3","","4805.3","0","449.8",",0","2362",",0","5.57","0","13.12","0","-1.98","0","",""
"USC00243113","1951","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","123.9","","123.9","0","133","0","64","0","","","46","0","52","0","191","0","72","0","115","0","17","0","-37.2","0,0308,","","","203",",0,0221,","51.6",",0,0702,","38.9","0,0803,","-2.2","0,0915","-2.2","0,0915","-4.4","0,1016","-7.2","0,1021","-11.1","0,1030","-2.2","0,0529","-2.2","0,0529","-5.6","0,0425","-6.7","0,0424","-9.4","0,0422","4644.0","","4644.0","0","573.8",",0","3246",",0","4.65","0","12.07","0","-2.77","0","",""
"USC00243113","1952","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","178.1","","178.1","0","75","0","35","0","","","17","0","30","0","188","0","47","0","162","0","23","0","-37.8","0,0123,","","","102",",0,0221,+","11.4",",0,0621,","38.3","0,0731,","-0.6","0,0915","-2.8","0,1004","-7.2","0,1006","-7.2","0,1006","-8.9","0,1028","-1.7","0,0510","-5.0","0,0422","-5.0","0,0422","-6.7","0,0411","-10.6","0,0322","4630.5","","4630.5","0","200.3",",0","1282",",0","7.60","0","15.96","0","-0.76","0","",""
"USC00243113","1953","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","211.7","","211.7","0","95","0","43","0","","","","","9","0","191","0","9","0","143","0","30","0","-22.8","0,0115,","","","","","46.2",",0,0529,","40.0","0,0714,+","-2.2","0,0921","-2.2","0,0921","-7.8","0,1023","-7.8","0,1023","-8.9","0,1024","-0.6","0,0521","-2.2","0,0515","-6.7","0,0419","-6.7","0,0419","-11.1","0,0418","3779.5","","3779.5","0","446.0",",0","","","9.11","0","17.60","0","0.62","0","",""
"USC00243113","1954","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","170.0","","170.0","0","","","","","40","","24","0","27","0","168","0","38","0","125","0","24","0","-42.8","0,0120,","305",",0,0123,","254",",0,0113,","","","37.2","0,0712,","0.0","0,0921","-4.4","0,1001","-4.4","0,1001","-7.2","0,1014","-12.2","0,1130","0.0","0,0531","-3.9","0,0503","-8.9","0,0502","-8.9","0,0502","-8.9","0,0502","4011.3","","4011.3","0","435.8",",0","1793",",0","7.63","0","15.31","0","-0.06","0","",""
"USC00243113","1955","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","193.0","","193.0","0","81","0","44","0","","","25","0","43","0","192","0","69","0","126","0","26","0","-30.0","0,1113,","","","229",",0,0404,","28.4",",0,0527,","39.4","0,0716,","-0.6","0,0911","-4.4","0,0924","-4.4","0,0924","-11.1","0,1023","-11.1","0,1023","0.0","0,0516","-2.8","0,0508","-5.6","0,0417","-7.2","0,0416","-10.6","0,0407","4022.8","","4022.8","0","399.7",",0","2072",",0","5.60","0","13.58","0","-2.39","0","",""
"USC00243113","1956","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","233.1","","233.1","0","71","0","30","0","","","15","0","31","0","175","0","40","0","150","0","31","0","-35.6","0,0216,","","","102",",0,1204,+","17.5",",0,0621,+","37.2","0,0724,","-1.1","0,0902","-2.2","0,1006","-7.2","0,1022","-7.2","0,1022","-11.1","0,1028","-2.8","0,0506","-2.8","0,0506","-6.1","0,0428","-8.3","0,0412","-8.9","0,0406","4643.4","","4643.4","0","256.7",",0","877",",0","7.90","0","16.27","0","-0.46","0","",""
"USC00243113","1957","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","261.0","","261.0","0","100","0","46","0","","","","","29","0","169","0","44","0","141","0","36","0","-43.3","0,0125,","","","","","22.9",",0,0616,","37.8","0,0711,","0.0","0,0918","-4.4","0,1004","-4.4","0,1004","-9.4","0,1005","-9.4","0,1005","0.0","0,0510","-2.2","0,0419","-6.1","0,0412","-7.2","0,0411","-8.9","0,0402","4112.3","","4112.3","0","357.5",",0","","","7.67","0","15.25","0","0.10","0","",""
"USC00243113","1958","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","227.7","","227.7","0","112","0","46","0","","","36","0","16","0","169","0","41","0","146","0","37","0","-27.2","0,1209,","","","356",",0,1207,","27.2",",0,0604,","37.2","0,0807,","-1.1","0,0927","-2.2","0,1014","-5.6","0,1017","-7.8","0,1025","-8.9","0,1029","0.0","0,0514","-3.3","0,0428","-7.8","0,0424","-7.8","0,0424","-12.2","0,0319","3705.6","","3705.6","0","418.8",",0","2939",",0","8.23","0","16.08","0","0.38","0","",""
"USC00243113","1959","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","206.0","","206.0","0","106","0","44","0","","","28","0","36","0","180","0","40","0","119","0","32","0","-32.8","0,0220,","","","279",",0,0124,","37.3",",0,0518,","37.8","0,0801,+","0.0","0,0830","-7.2","0,0929","-7.2","0,0929","-7.2","0,0929","-12.8","0,1104","0.0","0,0520","-3.9","0,0513","-5.0","0,0424","-6.7","0,0420","-9.4","0,0409","4255.8","","4255.8","0","432.0",",0","2287",",0","6.82","0","14.58","0","-0.93","0","",""
"USC00243113","1960","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","255.6","","255.6","0","75","0","32","0","","","21","0","29","0","170","0","50","0","144","0","39","0","-34.4","0,0303,","","","305",",0,0424,","26.4",",0,0424,","41.1","0,0719,","-0.6","0,0908","-4.4","0,0922","-4.4","0,0922","-11.1","0,1030","-11.1","0,1030","-0.6","0,0520","-2.2","0,0506","-4.4","0,0430","-7.8","0,0426","-13.3","0,0313","4155.6","","4155.6","0","253.1",",0","1523",",0","7.51","0","15.63","0","-0.62","0","",""
"USC00243113","1961","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","358.8","","358.8","0","79","0","32","0","31","","14","0","15","0","173","0","30","0","131","0","41","0","-30.0","0,1212,+","203",",0,1125,","152",",0,1125,","17.5",",0,0531,","42.8","0,0805,","-1.1","0,0913","-6.7","0,0922","-6.7","0,0922","-6.7","0,0922","-9.4","0,1025","-0.6","0,0511","-2.8","0,0508","-4.4","0,0427","-7.8","0,0414","-9.4","0,0406","3462.7","","3462.7","0","250.6",",0","784",",0","8.55","0","16.56","0","0.53","0","",""
"USC00243113","1962","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","128.8","","128.8","0","108","0","39","0","62","","26","0","32","0","145","0","43","0","144","0","17","0","-33.3","0,0121,+","254",",0,0115,+","178",",0,0108,","67.3",",0,0521,","35.0","0,0817,+","-1.1","0,0903","-2.2","0,0904","-5.0","0,0909","-12.2","0,1115","-12.2","0,1115","-0.6","0,0605","-2.8","0,0427","-6.1","0,0412","-6.7","0,0316","-10.0","0,0315","4338.3","","4338.3","0","375.2",",0","1601",",0","7.88","0","15.82","0","-0.07","0","",""
"USC00243113","1963","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","244.8","","244.8","0","96","0","35","0","46","","22","0","35","0","154","0","38","0","152","0","35","0","-35.6","0,0125,","406",",0,0201,","254",",0,0201,","18.0",",0,0511,","38.9","0,0722,","0.0","0,0920","-6.1","0,1027","-6.1","0,1027","-10.6","0,1031","-10.6","0,1031","0.0","0,0519","-2.2","0,0504","-6.1","0,0422","-8.9","0,0403","-8.9","0,0403","3781.3","","3781.3","0","295.1",",0","1609",",0","8.37","0","16.67","0","0.06","0","",""
"USC00243113","1964","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","154.4","","154.4","0","114","0","45","0","62","","31","0","33","0","179","0","45","0","122","0","19","0","-33.9","0,1217,","279",",0,1221,","127",",0,0322,","68.6",",0,0608,","37.8","0,0818,","-3.9","0,0912","-3.9","0,0912","-6.7","0,1004","-6.7","0,1004","-10.0","0,1109","-0.6","0,0526","-4.4","0,0419","-4.4","0,0419","-6.7","0,0418","-11.1","0,0417","3796.8","","3796.8","0","456.1",",0","1899",",0","6.82","0","14.60","0","-0.95","0","",""
"USC00243113","1965","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","146.6","","146.6","0","106","0","51","0","90","","35","0","46","0","188","0","55","0","120","0","14","0","-30.0","0,0108,","254",",0,0203,+","152",",0,1222,","35.1",",0,0625,","36.7","0,0810,","0.0","0,0907","-2.2","0,0917","-5.0","0,1011","-7.2","0,1103","-16.1","0,1112","-0.6","0,0521","-2.8","0,0518","-4.4","0,0417","-6.7","0,0404","-12.2","0,0330","4906.6","","4906.6","0","467.5",",0","2346",",0","6.01","0","13.62","0","-1.61","0","",""
"USC00243113","1966","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","206.7","","206.7","0","82","0","38","0","","","","","44","0","174","0","52","0","135","0","30","0","-33.9","0,0120,","","","","","32.0",",0,0703,","37.2","0,0716,","0.0","0,0916","-3.3","0,1010","-5.0","0,1014","-7.8","0,1029","-10.6","0,1101","-1.7","0,0519","-3.3","0,0512","-5.0","0,0430","-8.9","0,0429","-8.9","0,0429","4437.5","","4437.5","0","376.7",",0","","","6.83","0","14.66","0","-1.01","0","",""
"USC00243113","1967","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","214.1","","214.1","0","101","0","46","0","72","","37","0","25","0","177","0","39","0","127","0","28","0","-31.7","0,1221,","178",",0,0311,","203",",0,0330,","29.0",",0,0912,","37.2","0,0905,","0.0","0,1010","-3.9","0,1017","-4.4","0,1018","-8.9","0,1027","-8.9","0,1027","-2.2","0,0513","-2.2","0,0513","-4.4","0,0505","-6.7","0,0504","-12.2","0,0422","4233.4","","4233.4","0","434.7",",0","2436",",0","7.60","0","15.22","0","-0.02","0","",""
"USC00243113","1968","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","139.4","","139.4","0","99","0","47","0","60","","28","0","35","0","184","0","42","0","119","0","17","0","-40.0","0,1229,","330",",0,1230,+","152",",0,0101,","48.3",",0,0815,","37.8","0,0729,","-0.6","0,0921","-6.1","0,1003","-6.1","0,1003","-7.8","0,1017","-8.9","0,1027","-3.3","0,0519","-3.3","0,0519","-4.4","0,0511","-6.7","0,0423","-10.0","0,0422","4006.3","","4006.3","0","393.0",",0","1763",",0","6.83","0","14.78","0","-1.12","0","",""
"USC00243113","1969","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","174.2","","174.2","0","94","0","36","0","87","","36","0","50","0","200","0","72","0","141","0","27","0","-45.0","0,0124,","508",",0,0124,+","330",",0,0121,","30.2",",0,0625,","40.0","0,0824,","0.0","0,0906","-2.2","0,0915","-4.4","0,1011","-7.8","0,1013","-11.7","0,1016","-0.6","0,0614","-4.4","0,0508","-4.4","0,0508","-6.7","0,0330","-11.1","0,0328","5012.6","","5012.6","0","331.8",",0","2417",",0","5.38","0","13.90","0","-3.14","0","",""
"USC00243113","1970","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","224.5","","224.5","0","95","0","50","0","","","","","32","0","189","0","48","0","134","0","32","0","-30.6","0,0117,","","","","","22.6",",0,0511,","38.9","0,0807,","0.0","0,0911","-5.6","0,0914","-5.6","0,0914","-6.7","0,1015","-10.0","0,1026","-1.7","0,0513","-3.9","0,0426","-5.0","0,0419","-6.7","0,0418","-9.4","0,0403","4290.0","","4290.0","0","371.5",",0","","","6.60","0","14.35","0","-1.16","0","",""
"USC00243113","1971","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","233.7","","233.7","0","85","0","30","0","","","","","36","0","180","0","47","0","134","0","34","0","-34.4","0,0113,","","","","","17.0",",0,0606,","38.3","0,0716,","-6.7","0,0918","-6.7","0,0918","-6.7","0,0918","-6.7","0,0918","-13.9","0,1028","-0.6","0,0518","-2.8","0,0515","-5.6","0,0427","-8.3","0,0413","-8.9","0,0323","4392.8","","4392.8","0","243.3",",0","","","6.93","0","14.91","0","-1.06","0","",""
"USC00243113","1972","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","181.5","","181.5","0","87","0","39","0","82","","","","44","0","181","0","53","0","140","0","16","0","-37.8","0,0114,","254",",0,1212,+","","","33.5",",0,0609,","35.6","0,0729,+","0.0","0,0907","-3.9","0,0925","-4.4","0,0926","-7.2","0,0928","-10.6","0,1029","-0.6","0,0503","-6.1","0,0502","-6.1","0,0502","-7.8","0,0423","-12.2","0,0305","4419.7","","4419.7","0","359.6",",0","","","6.52","0","14.20","0","-1.16","0","",""
"USC00243113","1973","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","212.8","","212.8","0","73","0","26","0","37","","17","0","20","0","175","0","37","0","138","0","25","0","-28.3","0,1231,","406",",0,0420,","432",",0,0420,","46.2",",0,0420,","38.3","0,0710,","-2.2","0,0916","-2.2","0,0916","-5.0","0,1008","-7.8","0,1010","-9.4","0,1103","0.0","0,0527","-3.3","0,0512","-5.6","0,0416","-12.2","0,0415","-12.2","0,0415","4161.0","","4161.0","0","268.0",",0","1306",",0","8.04","0","16.20","0","-0.12","0","",""
"USC00243113","1974","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","189.3","","189.3","0","83","0","35","0","30","","16","0","18","0","187","0","20","0","137","0","26","0","-37.8","0,0111,","203",",0,0110,+","102",",0,0130,","41.9",",0,0513,","38.3","0,0624,","-2.2","0,0902","-2.2","0,0902","-9.4","0,1006","-9.4","0,1006","-9.4","0,1006","-0.6","0,0601","-2.2","0,0509","-4.4","0,0422","-7.8","0,0415","-8.9","0,0401","4015.4","","4015.4","0","328.3",",0","879",",0","8.32","0","16.76","0","-0.12","0","",""
"USC00243113","1975","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","129.0","","129.0","0","107","0","53","0","78","","31","0","29","0","186","0","53","0","127","0","11","0","-30.0","0,1130,","432",",0,0408,","254",",0,0404,","57.9",",0,0619,","37.2","0,0727,","-1.1","0,0912","-3.3","0,0920","-5.6","0,1024","-7.8","0,1028","-10.0","0,1110","-2.8","0,0526","-2.8","0,0526","-5.0","0,0418","-10.6","0,0413","-10.6","0,0413","4351.3","","4351.3","0","656.1",",0","2589",",0","6.26","0","13.61","0","-1.08","0","",""
"USC00243113","1976","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","168.6","","168.6","0","73","0","33","0","39","","13","0","16","0","164","0","24","0","162","0","17","0","-31.1","0,0303,","178",",0,1129,","127",",0,0311,","18.3",",0,0603,","36.7","0,0822,","-2.2","0,0909","-2.2","0,0909","-7.8","0,1005","-7.8","0,1005","-11.1","0,1015","-0.6","0,0521","-3.3","0,0424","-6.1","0,0405","-6.7","0,0329","-13.3","0,0314","3770.6","","3770.6","0","283.2",",0","814",",0","8.81","0","17.21","0","0.41","0","",""
"USC00243113","1977","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","139.3","","139.3","0","97","0","39","0","60","","32","0","27","0","172","0","42","0","148","0","23","0","-37.2","0,1209,","305",",0,0329,","305",",0,0329,","43.7",",0,0329,","36.1","0,0723,+","-0.6","0,0926","-2.2","0,0927","-5.6","0,1005","-8.3","0,1027","-14.4","0,1109","-1.1","0,0530","-2.8","0,0506","-7.2","0,0418","-7.2","0,0418","-12.2","0,0403","3626.5","","3626.5","0","360.2",",0","2004",",0","7.68","0","15.80","0","-0.43","0","",""
"USC00243113","1978","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","134.1","","134.1","0","97","0","52","0","131","","32","0","57","0","167","0","82","0","141","0","20","0","-34.4","0,1230,","660",",0,0212,","178",",0,0211,","41.9",",0,0912,","36.7","0,0724,","-2.8","0,0917","-2.8","0,0917","-6.1","0,1013","-7.2","0,1030","-8.9","0,1031","0.0","0,0527","-3.9","0,0424","-6.7","0,0413","-6.7","0,0413","-9.4","0,0316","4804.6","","4804.6","0","463.3",",0","2148",",0","5.46","0","12.84","0","-1.92","0","",""
"USC00243113","1979","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","181.8","","181.8","0","82","0","36","0","74","","","","42","0","185","0","49","0","142","0","26","0","-39.4","0,0114,","279",",0,0122,+","","","45.5",",0,0618,","36.7","0,0721,+","-2.2","0,0914","-2.2","0,0914","-6.7","0,1009","-6.7","0,1009","-9.4","0,1106","-1.1","0,0608","-4.4","0,0510","-4.4","0,0510","-7.8","0,0406","-8.9","0,0405","4749.1","","4749.1","0","297.5",",0","","","6.67","0","14.99","0","-1.64","0","",""
