"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093193","1968","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","987.8","","987.8","0","42","0","26","0","1","","1","0","0","0","22","0","0","0","222","0","116","0","-3.9","0,1222,","25",",0,1220,","30",",0,1220,","24.4",",0,1103,","42.2","0,0719,+","-0.6","0,1128","-3.3","0,1221","","","","","-1.1","0,0128","-3.3","0,0104","","","","","1299.9","","1299.9","0","266.8",",0","71.6","X","30",",0","17.20","0","24.88","0","9.52","0","199518",",X","","","","","","","","","315","X","","","","","","","","","13.0","X"
"USW00093193","1969","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","961.5","","961.5","0","55","0","34","0","0","","0","0","0","0","35","0","0","0","218","0","107","0","-4.4","0,1230,","0",",0,1231,+","0","T,0,0130,","56.1",",0,0125,","40.6","0,0721,","0.0","0,1118","-2.2","0,1128","-4.4","0,1230","","","-0.6","0,0308","","","","","","","1585.6","","1585.6","0","486.1",",0","78.2","X","0","T,0","16.64","0","24.26","0","9.02","0","216048",",X","","","","","","","","","315","X","","","","","","","","","13.4","X"
"USW00093193","1970","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1045.8","","1045.8","0","47","0","22","0","0","","0","0","0","0","12","0","0","0","235","0","118","0","-4.4","0,0104,","0",",0,1231,+","0",",0,1231,+","31.0",",0,0116,","42.2","0,0720,+","-1.1","0,1224","","","","","","","0.0","0,0220","-3.9","0,0106","-4.4","0,0104","","","1401.3","","1401.3","0","301.5",",0","80.2","X","0",",0","17.52","0","25.58","0","9.47","0","220884",",X","","","","","","","315","X","315","X","","","","","","","18.5","X","13.0","X"
"USW00093193","1971","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","967.2","","967.2","0","41","0","19","0","0","","0","0","0","0","44","0","0","0","207","0","115","0","-5.6","0,0105,","0",",0,1231,+","0","T,0,0112,","23.6",",0,0417,","42.2","0,0802,","-1.7","0,1029","-3.3","0,1209","","","","","-0.6","0,0306","-2.8","0,0302","-4.4","0,0106","","","1490.9","","1490.9","0","177.7",",0","79.5","X","0","T,0","16.29","0","24.17","0","8.42","0","217596",",X","","","","","","","315","X","315","X","","","","","","","22.1","X","15.6","X"
"USW00093193","1972","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1005.7","","1005.7","0","36","0","20","0","0","","0","0","0","0","30","0","2","0","235","0","103","0","-5.0","0,1209,","0",",0,1231,+","0","T,0,1207,+","22.4",",0,1111,","43.9","0,0715,","-2.8","0,1030","-2.8","0,1030","-5.0","0,1209","","","-0.6","0,0327","-3.3","0,0203","-4.4","0,0105","","","1553.0","","1553.0","0","190.2",",0","71.5","X","0","T,0","16.89","0","24.06","0","9.72","0","200646",",X","","","","","","","270","X","315","X","","","","","","","17.5","X","14.3","X"
"USW00093193","1973","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1028.3","","1028.3","0","62","0","33","0","0","","0","0","0","0","11","0","0","0","207","0","106","0","-4.4","0,0107,+","0",",0,1231,+","0","T,0,0303,","28.2",",0,0211,","42.2","0,0628,+","-1.1","0,1104","","","","","","","-0.6","0,0124","-4.4","0,0107","-4.4","0,0107","","","1616.7","","1616.7","0","322.5",",0","74.7","X","0","T,0","17.14","0","24.31","0","9.96","0","206982",",X","","","","","","","315","X","315","X","","","","","","","21.6","X","16.1","X"
"USW00093193","1974","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1100.6","","1100.6","0","41","0","29","0","0","","0","0","0","0","12","0","0","0","220","0","124","0","-3.9","0,1224,","0",",0,1231,+","0","T,0,1028,","25.1",",0,1028,","41.7","0,0725,","0.0","0,1201","-3.3","0,1223","","","","","0.0","0,0223","","","","","","","1371.6","","1371.6","0","236.6",",0","77.7","X","0","T,0","17.49","0","24.94","0","10.05","0","214686",",X","","","","","","","135","X","135","X","","","","","","","16.4","X","13.9","X"
"USW00093193","1975","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","871.9","","871.9","0","46","0","22","0","0","","0","0","0","0","44","0","0","0","196","0","101","0","-5.0","0,1231,+","0",",0,1231,+","0",",0,1231,+","18.5",",0,1030,","41.1","0,0726,","0.0","0,1111","-3.3","0,1129","-5.0","0,1231","","","0.0","0,0401","-2.2","0,0131","-5.0","0,0128","","","1642.9","","1642.9","0","160.8",",0","80.5","X","0",",0","15.85","0","23.32","0","8.37","0","220536",",X","","","","","","","315","X","315","X","","","","","","","17.5","X","13.9","X"
"USW00093193","1976","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","775.0","","775.0","0","37","0","24","0","0","","0","0","0","0","47","0","0","0","217","0","73","0","-6.7","0,0102,","0",",0,1231,+","0","T,0,0205,","38.1",",0,0209,","40.6","0,0628,+","0.0","0,1127","-2.2","0,1129","","","","","0.0","0,0305","-2.2","0,0122","-5.6","0,0104","-6.7","0,0102","1685.1","","1685.1","0","280.9",",0","82.0","X","0","T,0","16.25","0","23.88","0","8.63","0","223260",",X","","","","","","","45","X","","","","","","","","","22.6","X","",""
"USW00093193","1977","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1069.7","","1069.7","0","34","0","16","0","0","","0","0","0","0","8","0","0","0","228","0","103","0","-2.8","0,1120,","0",",0,1231,+","0",",0,1231,+","27.9",",0,1217,","41.7","0,0607,","0.0","0,1119","-2.8","0,1120","","","","","0.0","0,0314","","","","","","","1388.0","","1388.0","0","166.8",",0","79.3","X","0",",0","17.76","0","25.08","0","10.44","0","217890",",X","310","X","","","","","315","X","","","13.0","X","","","","","19.5","X","",""
