"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00012883","1971","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1832.2","","1832.2","0","126","0","76","0","0","","0","0","0","0","3","0","0","0","330","0","73","0","-3.3","0,0120,","0",",0,1231,+","0",",0,1231,+","76.2",",0,0207,","35.0","0,0822,","","","","","","","","","0.0","0,0210","-3.3","0,0120","","","","","393.8","","393.8","0","1091.0",",0","68.0","X","0",",0","22.52","0","27.73","0","17.30","0","181926",",X"
"USW00012883","1972","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1851.4","","1851.4","0","107","0","65","0","0","","0","0","0","0","0","0","0","0","327","0","61","0","1.1","0,1217,","0",",0,1231,+","0",",0,1231,+","95.3",",0,0618,","35.6","0,0906,+","","","","","","","","","","","","","","","","","173.1","","173.1","0","972.5",",0","62.9","X","0",",0","22.66","0","27.64","0","17.68","0","169428",",X"
"USW00012883","1973","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1778.9","","1778.9","0","119","0","79","0","0","","0","0","0","0","2","0","0","0","325","0","83","0","-1.1","0,1222,+","0",",0,1231,+","0",",0,1231,+","66.5",",0,0325,","34.4","0,0717,+","-1.1","0,1222","","","","","","","-1.1","0,0211","","","","","","","356.9","","356.9","0","1154.1",",0","67.7","X","0",",0","22.15","0","27.14","0","17.16","0","179976",",X"
"USW00012883","1974","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1836.9","","1836.9","0","105","0","61","0","0","","0","0","0","0","1","0","0","0","333","0","77","0","-0.6","0,0226,","0",",0,1231,+","0",",0,1231,+","70.4",",0,0626,","34.4","0,0913,","","","","","","","","","-0.6","0,0226","","","","","","","218.7","","218.7","0","1115.2",",0","66.7","X","0",",0","22.78","0","27.85","0","17.71","0","176670",",X"
"USW00012883","1975","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1958.9","","1958.9","0","123","0","73","0","0","","0","0","0","0","2","0","0","0","333","0","86","0","-1.1","0,1222,","0",",0,1231,+","0",",0,1231,+","91.9",",0,0814,","35.6","0,0616,","-0.6","0,1219","","","","","","","","","","","","","","","215.1","","215.1","0","1055.0",",0","80.2","X","0",",0","22.99","0","28.28","0","17.69","0","214194",",X"
"USW00012883","1976","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1735.8","","1735.8","0","128","0","74","0","0","","0","0","0","0","4","0","0","0","324","0","89","0","-1.7","0,0118,","0",",0,1231,+","0",",0,1231,+","99.3",",0,0515,","36.1","0,0725,+","0.0","0,1222","","","","","","","-0.6","0,0119","","","","","","","354.6","","354.6","0","1269.4",",0","69.6","X","0",",0","22.02","0","27.71","0","16.32","0","187368",",X"
"USW00012883","1977","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1864.2","","1864.2","0","125","0","72","0","1","","0","0","0","0","4","0","0","0","308","0","109","0","-3.9","0,0119,","25",",0,0119,","0",",0,1231,+","83.3",",0,0704,","37.8","0,0613,","","","","","","","","","-2.8","0,0120","-2.8","0,0120","","","","","535.5","","535.5","0","1147.7",",0","56.0","X","0",",0","22.03","0","27.64","0","16.42","0","150150",",X"
"USW00012883","1978","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1905.1","","1905.1","0","126","0","66","0","0","","0","0","0","0","2","0","0","0","314","0","111","0","-1.7","0,0110,","0",",0,1231,+","0",",0,1231,+","74.4",",0,0817,","36.1","0,0710,+","","","","","","","","","0.0","0,0207","","","","","","","531.4","","531.4","0","1173.3",",0","","","0",",0","22.35","0","27.95","0","16.76","0","",""
"USW00012883","1979","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1860.0","","1860.0","0","121","0","86","0","0","","0","0","0","0","2","0","0","0","330","0","119","0","-2.8","0,0103,","0",",0,1231,+","0",",0,1231,+","98.8",",0,0508,","36.1","0,0801,+","","","","","","","","","-0.6","0,0104","-2.8","0,0103","","","","","274.6","","274.6","0","1771.1",",0","","","0",",0","22.50","0","28.60","0","16.41","0","",""
"USW00012883","1980","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1877.4","","1877.4","0","113","0","76","0","0","","0","0","0","0","4","0","0","0","326","0","128","0","-3.9","0,0303,","0",",0,1231,+","0",",0,1231,+","71.9",",0,0812,","36.7","0,0710,","","","","","","","","","-0.6","0,0304","-3.9","0,0303","","","","","335.8","","335.8","0","1188.9",",0","","","0",",0","22.37","0","28.55","0","16.20","0","",""
