"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087137","1923","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1618.8","","1618.8","6","116","6","79","6","0","6","1","6","0","6","341","6","54","6","-0.6","6,0219,","80.5",",6,0517,","33.9","6,0905,+","","","","","-0.6","6,0219","","","173.4","","173.4","6","1163.9",",6","22.09","6","27.85","6","16.33","6"
"USC00087137","1924","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","111","6","74","6","0","6","0","6","","","","","","","1.7","6,1130,+","57.9",",6,0226,","","","","","","","","","","","381.9","","381.9","6","1264.4",",6","","","","","16.83","6"
"USC00087137","1925","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","117","6","82","6","0","6","0","6","","","","","","","1.7","6,1229,+","135.6",",6,0715,","","","","","","","","","","","","","","","1559.1",",6","","","","","17.25","6"
"USC00087137","1926","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1616.3","","1616.3","6","111","6","75","6","0","6","0","6","0","6","319","6","57","6","0.6","6,1231,+","135.9",",6,0919,","35.0","6,0803,","","","","","","","","","","","","","1473.5",",6","21.85","6","27.01","6","16.70","6"
"USC00087137","1927","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","80","6","61","6","","","","","0","6","334","6","109","6","","","66.0",",6,0816,","35.0","6,0916,+","","","","","","","","","","","","","1042.4",",6","","","28.39","6","",""
"USC00087137","1928","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1670.3","","1670.3","6","85","6","66","6","0","6","9","6","0","6","328","6","67","6","-3.9","6,0104,","139.7",",6,0814,","35.0","6,0824,","-0.6","6,1209","","","0.0","6,0219","-3.9","6,0104","358.2","","358.2","6","1399.2",",6","21.82","6","27.51","6","16.13","6"
"USC00087137","1929","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","125","6","79","6","0","6","2","6","","","","","","","-1.7","6,1225,","70.9",",6,0903,","","","-0.6","6,1224","","","","","","","","","","","1557.0",",6","","","","","16.63","6"
"USC00087137","1930","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1572.1","","1572.1","6","119","6","80","6","0","6","1","6","0","6","313","6","60","6","-0.6","6,1128,","94.0",",6,0530,","33.9","6,0924,+","-0.6","6,1128","","","","","","","","","","","1467.4",",6","21.57","6","26.82","6","16.32","6"
"USC00087137","1931","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","107","6","71","6","0","6","1","6","","","","","","","-1.1","6,0115,","93.7",",6,0415,","","","","","","","-1.1","6,0115","","","","","","","1352.4",",6","","","","","16.17","6"
"USC00087137","1932","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1850.0","","1850.0","6","108","6","73","6","0","6","0","6","0","6","351","6","135","6","1.7","6,0316,","63.0",",6,0820,","37.8","6,0715,","","","","","","","","","102.0","","102.0","6","973.8",",6","22.89","6","29.41","6","16.36","6"
"USC00087137","1933","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1777.8","","1777.8","6","121","6","84","6","0","6","0","6","0","6","348","6","128","6","1.7","6,0129,","87.9",",6,0712,","36.7","6,0727,","","","","","","","","","203.1","","203.1","6","1576.2",",6","22.78","6","29.27","6","16.28","6"
"USC00087137","1934","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1702.8","","1702.8","6","115","6","73","6","0","6","3","6","0","6","342","6","122","6","-2.8","6,1212,","119.4",",6,0521,","35.6","6,0910,+","-2.8","6,1212","-2.8","6,1212","0.0","6,0130","","","233.5","","233.5","6","1503.9",",6","22.24","6","29.02","6","15.45","6"
"USC00087137","1935","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1755.4","","1755.4","6","98","6","71","6","0","6","8","6","0","6","332","6","131","6","-1.7","6,1227,","108.7",",6,0904,","36.7","6,0806,","0.0","6,1221","","","-1.1","6,0228","","","291.2","","291.2","6","1204.7",",6","22.01","6","28.95","6","15.08","6"
"USC00087137","1936","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1704.3","","1704.3","6","116","6","82","6","0","6","2","6","0","6","338","6","124","6","-1.1","6,0201,","68.6",",6,0209,","35.6","6,0823,+","-0.6","6,1128","","","-1.1","6,0201","","","414.4","","414.4","6","1507.5",",6","22.17","6","28.75","6","15.59","6"
