"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00025467","1920","33.4114","-111.8183","376.4","MESA, AZ US","","","","","31","0","20","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","33.3",",0,0104,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186.4",",0","0",",0","","","","","","","",""
"USC00025467","1922","33.4114","-111.8183","376.4","MESA, AZ US","","","","","35","0","21","0","0","","0","0","0","0","59","0","","","","","","","-6.7","0,0121,","0",",0,1231,+","0","T,0,0318,","28.2",",0,0131,","","","","","0.0","0,1030","-3.9","0,1104","-5.0","0,1106","","","-1.1","0,0410","-2.2","0,0302","-4.4","0,0301","-6.7","0,0121","","","","","","","","","","","205.0",",0","0","T,0","","","","","10.05","0","",""
"USC00025467","1923","33.4114","-111.8183","376.4","MESA, AZ US","","","","","35","0","25","0","0","","0","0","","","","","0","0","278","0","140","0","","","0",",0,1231,+","0","T,0,0706,+","38.9",",0,0706,","43.3","0,0703,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253.1",",0","0","T,0","","","27.84","0","","","",""
"USC00025467","1924","33.4114","-111.8183","376.4","MESA, AZ US","","","","","19","0","13","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,1007,","20.8",",0,1007,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.4",",0","0","T,0","","","","","","","",""
"USC00025467","1925","33.4114","-111.8183","376.4","MESA, AZ US","","","","","21","0","11","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","22.6",",0,0916,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.4",",0","0",",0","","","","","","","",""
"USC00025467","1926","33.4114","-111.8183","376.4","MESA, AZ US","","","","","41","0","20","0","0","","0","0","0","0","33","0","","","","","","","-6.7","0,0120,","0",",0,1231,+","0","T,0,1226,","41.1",",0,0328,","","","","","0.0","0,1115","-2.2","0,1222","-4.4","0,1225","","","-0.6","0,0224","-2.2","0,0128","-5.0","0,0123","-6.7","0,0120","","","","","","","","","","","230.0",",0","0","T,0","","","","","10.90","0","",""
"USC00025467","1927","33.4114","-111.8183","376.4","MESA, AZ US","","","","","38","0","21","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.4",",0,0912,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239.4",",0","0",",0","","","","","","","",""
"USC00025467","1928","33.4114","-111.8183","376.4","MESA, AZ US","","","","","26","0","13","0","0","","0","0","0","0","34","0","0","0","291","0","149","0","-5.6","0,0124,","0",",0,1231,+","0","T,0,1211,+","30.2",",0,0926,","44.4","0,0725,","","","-1.7","0,1117","-2.2","0,1118","","","","","0.0","0,0408","-2.2","0,0125","-5.6","0,0124","","","","","","","","","","","","","134.0",",0","0","T,0","20.09","0","29.25","0","10.94","0","",""
"USC00025467","1929","33.4114","-111.8183","376.4","MESA, AZ US","1552.6","","1552.6","0","28","0","15","0","0","","0","0","0","0","55","0","0","0","282","0","158","0","-5.6","0,0125,","0",",0,1231,+","0",",0,1231,+","19.6",",0,0116,","46.1","0,0625,","","","0.0","0,1028","-2.8","0,1125","-5.0","0,1222","","","-0.6","0,0324","-2.2","0,0226","-5.6","0,0125","","","","","","","","","","","","","114.9",",0","0",",0","19.48","0","28.75","0","10.22","0","",""
"USC00025467","1930","33.4114","-111.8183","376.4","MESA, AZ US","1443.4","","1443.4","0","38","0","22","0","0","","0","0","0","0","26","0","0","0","281","0","145","0","-7.2","0,1220,","0",",0,1231,+","0","T,0,0107,","22.9",",0,0315,","42.2","0,0702,","","","-0.6","0,1114","-2.8","0,1118","-4.4","0,1217","-7.2","0,1220","0.0","0,0306","-2.8","0,0109","-5.0","0,0108","","","","","965.7","","965.7","0","","","","","192.6",",0","0","T,0","19.60","0","28.71","0","10.49","0","",""
