"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00085612","1978","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1825.9","","1825.9","0","94","0","67","0","0","","0","0","0","0","4","0","0","0","316","0","79","0","-2.2","0,0223,","0",",0,1231,+","0",",0,1231,+","93.0",",0,0812,","35.6","0,0703,","","","","","","","-2.2","0,0223","-2.2","0,0223","","","","","477.7","","477.7","0","1402.0",",0","0",",0","22.32","0","27.54","0","17.09","0","","","","","","","",""
"USC00085612","1979","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","115","0","67","0","0","","0","0","0","0","1","0","","","","","","","0.0","0,0131,","0",",0,1231,+","0",",0,1231,+","127.5",",0,0903,","","","","","","","","","0.0","0,0131","","","","","","","","","","","1290.6",",0","0",",0","","","","","17.28","0","","","","","","","",""
"USC00085612","1980","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","107","0","65","0","0","","0","0","","","","","0","0","317","0","81","0","","","0",",0,1231,+","0",",0,1231,+","51.6",",0,0219,","38.9","0,0714,","","","","","","","","","","","","","","","","","","","913.7",",0","0",",0","","","27.59","0","","","","","","","","","",""
"USC00085612","1981","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1733.2","","1733.2","0","86","0","48","0","0","","0","0","0","0","7","0","0","0","319","0","81","0","-2.2","0,0114,+","0",",0,1231,+","0",",0,1231,+","52.3",",0,1105,","38.3","0,0714,","0.0","0,1219","","","","","-1.1","0,0119","-2.2","0,0114","","","","","471.8","","471.8","0","811.9",",0","0",",0","21.73","0","27.26","0","16.20","0","","","","","","","",""
"USC00085612","1982","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1929.6","","1929.6","0","132","0","79","0","0","","0","0","0","0","4","0","0","0","343","0","83","0","-3.3","0,0112,+","0",",0,1231,+","0",",0,1231,+","56.4",",0,0526,","37.2","0,0727,","","","","","","","-1.7","0,0115","-3.3","0,0112","","","","","290.6","","290.6","0","1148.4",",0","0",",0","23.06","0","28.22","0","17.89","0","","","","","","","",""
"USC00085612","1983","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1644.7","","1644.7","0","118","0","79","0","","","0","0","0","0","2","0","0","0","317","0","66","0","-6.1","0,1225,","","","0",",0,1231,+","104.9",",0,0120,","37.2","0,0719,","-6.1","0,1225","-6.1","0,1225","-6.1","0,1225","","","","","","","","","295.4","","295.4","0","1465.4",",0","0",",0","21.87","0","27.06","0","16.69","0","","","","","","","",""
"USC00085612","1984","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1647.4","","1647.4","0","89","0","61","0","","","0","0","0","0","1","0","0","0","329","0","30","0","-0.6","0,0205,","","","0",",0,1231,+","127.0",",0,0523,","35.0","0,0819,+","","","","","","","-0.6","0,0205","","","","","","","339.2","","339.2","0","979.0",",0","0",",0","22.00","0","26.65","0","17.35","0","","","","","","","",""
"USC00085612","1985","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","108","0","69","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","121.9",",0,1028,","","","","","","","","","","","","","","","","","311.4","","311.4","0","1309.2",",0","0",",0","","","","","","","","","","","","","",""
"USC00085612","1989","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1866.6","","1866.6","0","102","0","61","0","","","0","0","0","0","6","0","0","0","330","0","49","0","-5.6","0,1224,","","","0",",0,1231,+","98.8",",0,1009,","35.6","0,0807,+","-3.9","0,1223","-3.9","0,1223","-5.6","0,1224","0.0","0,0225","","","","","","","177.3","","177.3","0","1092.3",",0","0",",0","22.63","0","27.53","0","17.72","0","","","","","","","",""
"USC00085612","1990","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1966.8","","1966.8","0","112","0","68","0","","","","","0","0","0","0","0","0","354","0","72","0","3.9","0,1212,","","","","","82.0",",0,0622,","35.6","0,0620,","","","","","","","","","","","","","","","254.8","","254.8","0","1220.9",",0","","","23.37","0","28.43","0","18.31","0","","","","","","","",""
"USC00085612","1991","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1939.6","","1939.6","0","131","0","80","0","0","","0","0","0","0","1","0","0","0","333","0","63","0","-1.7","0,0216,","0",",0,1231,+","0",",0,1231,+","89.2",",0,0929,","34.4","0,0810,+","","","","","","","-1.7","0,0216","","","","","","","183.5","","183.5","0","1489.5",",0","0",",0","23.03","0","27.88","0","18.17","0","","","","","","","",""
"USC00085612","1992","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1727.5","","1727.5","0","136","0","80","0","0","","0","0","0","0","0","0","0","0","329","0","64","0","1.1","0,0117,","0",",0,1231,+","0",",0,1231,+","60.7",",0,0928,","36.1","0,0706,","","","","","","","","","","","","","","","305.5","","305.5","0","1268.3",",0","0",",0","22.25","0","27.44","0","17.06","0","","","","","","","",""
