"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00419717","2000","28.6611","-98.2554","78.6","WHITSETT, TX US","42","0","33","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","53.8",",0,0925,","","","","","","","","","","","","","567.6",",0","0",",0","","","",""
"USC00419717","2001","28.6611","-98.2554","78.6","WHITSETT, TX US","57","0","43","0","","","0","0","0","0","14","0","","","","","","","-2.2","0,0120,","","","0",",0,1231,+","227.3",",0,1115,","","","0.0","0,1129","0.0","0,0218","-2.2","0,0120","","","","","793.7",",0","0",",0","","","15.17","0"
"USC00419717","2002","28.6611","-98.2554","78.6","WHITSETT, TX US","53","0","43","0","","","","","0","0","9","0","","","","","","","-8.3","0,0227,","","","","","171.5",",0,0909,","","","0.0","0,1206","-7.2","0,0304","-7.2","0,0304","-7.2","0,0304","-7.2","0,0304","982.0",",0","","","","","14.95","0"
"USC00419717","2004","28.6611","-98.2554","78.6","WHITSETT, TX US","","","","","1","","1","0","","","","","0","0","297","0","141","0","","","178",",0,1225,","178",",0,1225,","","","38.3","0,0821,","","","","","","","","","","","","","178",",0","27.69","0","",""
"USC00419717","2006","28.6611","-98.2554","78.6","WHITSETT, TX US","36","0","24","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","90.2",",0,0924,","","","","","","","","","","","","","394.5",",0","0",",0","","","",""
"USC00419717","2007","28.6611","-98.2554","78.6","WHITSETT, TX US","63","0","57","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","100.8",",0,0314,","","","","","","","","","","","","","1181.5",",0","0",",0","","","",""
"USC00419717","2008","28.6611","-98.2554","78.6","WHITSETT, TX US","29","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","74.9",",0,0725,","","","","","","","","","","","","","458.2",",0","0",",0","","","",""
"USC00419717","2009","28.6611","-98.2554","78.6","WHITSETT, TX US","41","0","38","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","99.1",",0,0911,","","","","","","","","","","","","","702.0",",0","0",",0","","","",""
"USC00419717","2010","28.6611","-98.2554","78.6","WHITSETT, TX US","35","0","34","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","137.2",",0,0515,","","","","","","","","","","","","","1000.2",",0","0",",0","","","",""
"USC00419717","2011","28.6611","-98.2554","78.6","WHITSETT, TX US","19","7","14","7","","","","","","","","","","","","","","","","","","","","","72.4",",7,1009,","","","","","","","","","","","","","382.8",",7","","","","","",""
"USC00419717","2012","28.6611","-98.2554","78.6","WHITSETT, TX US","30","7","28","7","","","","","","","","","","","","","","","","","","","","","129.5",",7,0511,","","","","","","","","","","","","","442.1",",7","","","","","",""
"USC00419717","2013","28.6611","-98.2554","78.6","WHITSETT, TX US","29","7","29","7","","","","","","","","","","","","","","","","","","","","","182.9",",7,0525,","","","","","","","","","","","","","671.5",",7","","","","","",""
"USC00419717","2014","28.6611","-98.2554","78.6","WHITSETT, TX US","29","7","28","7","","","","","","","","","","","","","","","","","","","","","100.8",",7,0626,","","","","","","","","","","","","","614.5",",7","","","","","",""
