"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00418040","2004","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","886.1","","886.1","0","65","0","44","0","","","","","3","0","89","0","9","0","203","0","75","0","-19.4","0,1224,","","","","","91.4",",0,0923,","38.9","0,0615,","0.0","0,1102","-2.2","0,1129","-10.0","0,1130","-10.0","0,1130","-10.0","0,1130","-3.3","0,0414","-3.3","0,0414","-5.6","0,0227","-7.8","0,0226","-8.9","0,0216","2075.5","","2075.5","0","684.1",",0","","","14.82","0","21.80","0","7.83","0","",""
"USC00418040","2005","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","983.6","","983.6","0","62","0","42","0","","","","","1","0","95","0","9","0","209","0","99","0","-17.8","0,1208,","","","","","45.7",",0,0604,","39.4","0,0704,","-2.2","0,1024","-2.2","0,1024","-6.7","0,1116","-6.7","0,1116","-12.8","0,1207","-0.6","0,0503","-2.2","0,0327","-4.4","0,0317","-7.2","0,0118","-10.0","0,0116","2111.2","","2111.2","0","463.0",",0","","","15.11","0","22.25","0","7.97","0","",""
"USC00418040","2006","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1124.4","","1124.4","0","55","0","35","0","","","","","0","0","97","0","7","0","220","0","96","0","-15.6","0,0219,+","","","","","47.0",",0,0815,","42.2","0,0606,","-1.1","0,1031","-2.2","0,1101","-4.4","0,1102","-10.0","0,1130","-10.0","0,1130","-3.3","0,0325","-3.3","0,0325","-5.6","0,0322","-11.1","0,0221","-11.1","0,0221","1936.4","","1936.4","0","431.1",",0","","","15.92","0","23.70","0","8.14","0","",""
"USC00418040","2007","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","902.2","","902.2","0","56","0","31","0","","","","","0","0","110","0","14","0","225","0","79","0","-15.6","0,0216,","","","","","50.8",",0,0329,","40.6","0,0821,","0.0","0,1102","-2.2","0,1107","-6.1","0,1122","-7.8","0,1126","-8.9","0,1127","0.0","0,0416","-3.3","0,0414","-4.4","0,0410","-7.2","0,0305","-15.6","0,0216","2236.5","","2236.5","0","501.4",",0","","","14.79","0","22.37","0","7.21","0","",""
"USC00418040","2008","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","","","","","56","0","34","0","","","","","","","","","2","0","241","0","103","0","","","","","","","88.9",",0,0710,","43.3","0,0612,+","","","","","","","","","","","","","","","","","","","","","1908.8","","1908.8","","476.2",",0","","","","","24.18","0","","","",""
"USC00418040","2010","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1162.0","","1162.0","0","66","0","37","0","","","4","0","0","0","102","0","5","0","217","0","103","0","-16.7","0,0109,","","","178",",0,0129,","48.3",",0,1112,","41.1","0,0620,","-1.1","0,1105","-2.2","0,1106","-6.7","0,1125","-6.7","0,1125","","","0.0","0,0408","-3.3","0,0322","-4.4","0,0320","-6.7","0,0225","-10.0","0,0224","2199.7","","2199.7","0","577.2",",0","428",",0","15.74","0","23.10","0","8.38","0","84591","0"
"USC00418040","2011","35.7048","-101.5492","894.9","SANFORD DAM, TX US","3.6","7","1326.5","","1326.5","7","36","7","20","7","","","","","6","7","106","7","16","7","213","7","112","7","-18.9","7,0211,+","","","","","31.7",",7,1220,","45.0","7,0627,","0.0","7,1027","-3.3","7,1103","-5.0","7,1117","-6.7","7,1205","-13.9","7,1206","0.0","7,0330","-2.2","7,0311","-4.4","7,0226","-7.2","7,0213","-13.3","7,0212","2130.4","","2130.4","7","207.7",",7","","","15.77","7","23.53","7","8.02","7","91198","7"
"USC00418040","2012","35.7048","-101.5492","894.9","SANFORD DAM, TX US","3.2","7","1234.6","","1234.6","7","56","7","38","7","","","","","0","7","81","7","5","7","231","7","109","7","-13.3","7,1227,","","","","","73.2",",7,0412,","41.7","7,0629,","-1.7","7,1027","-2.2","7,1028","-5.6","7,1127","-10.0","7,1210","-10.0","7,1210","-2.2","7,0306","-2.2","7,0306","-6.7","7,0224","-6.7","7,0224","","","1928.4","","1928.4","7","456.3",",7","","","16.72","7","24.31","7","9.13","7","86404","7"
"USC00418040","2013","35.7048","-101.5492","894.9","SANFORD DAM, TX US","3.2","7","1120.8","","1120.8","7","60","7","36","7","","","","","0","7","117","7","17","7","209","7","88","7","-13.3","7,1209,+","","","","","46.5",",7,0809,","41.1","7,0628,+","0.0","7,1019","-2.2","7,1112","-4.4","7,1122","-8.9","7,1205","-8.9","7,1205","0.0","7,0504","-3.3","7,0425","-4.4","7,0424","-6.7","7,0227","-11.1","7,0223","2179.3","","2179.3","7","432.8",",7","","","14.96","7","22.05","7","7.87","7","91312","7"
"USC00418040","2014","35.7048","-101.5492","894.9","SANFORD DAM, TX US","3.4","7","1018.3","","1018.3","7","58","7","30","7","","","","","0","7","107","7","15","7","215","7","87","7","-15.6","7,1231,+","","","","","29.2",",7,0906,","40.0","7,0727,","-5.0","7,1111","-5.0","7,1111","-5.0","7,1111","-7.8","7,1112","-10.0","7,1113","0.0","7,0416","-3.9","7,0324","-7.2","7,0306","-7.2","7,0306","-13.9","7,0304","2319.4","","2319.4","7","317.9",",7","","","14.87","7","22.02","7","7.71","7","92545","7"
"USC00418040","2015","35.7048","-101.5492","894.9","SANFORD DAM, TX US","2.7","7","893.9","","893.9","7","90","7","56","7","","","","","0","7","90","7","19","7","212","7","73","7","-14.4","7,0101,","","","","","107.4",",7,0615,","37.8","7,0807,","0.0","7,1106","-2.2","7,1121","-5.6","7,1128","-6.7","7,1217","-8.9","7,1219","-0.6","7,0411","-2.8","7,0307","-8.3","7,0306","-8.3","7,0306","-10.0","7,0305","2196.0","","2196.0","7","871.7",",7","","","14.73","7","21.57","7","7.90","7","81588","7"
"USC00418040","2016","35.7048","-101.5492","894.9","SANFORD DAM, TX US","2.8","7","976.6","","976.6","7","63","7","35","7","","","","","2","7","96","7","9","7","226","7","95","7","-18.9","7,1219,+","","","","","43.2",",7,0827,","42.8","7,0708,","-0.6","7,1112","-2.2","7,1113","-6.7","7,1119","-6.7","7,1119","-10.0","7,1208","-1.1","7,0403","-3.3","7,0328","-6.1","7,0321","-7.8","7,0207","","","2094.4","","2094.4","7","494.0",",7","","","15.52","7","23.58","7","7.47","7","92748","7"
"USC00418040","2017","35.7048","-101.5492","894.9","SANFORD DAM, TX US","3.2","7","907.4","","907.4","7","68","7","40","7","3","","1","7","0","7","102","7","10","7","246","7","92","7","-16.7","7,0107,","51",",7,0107,+","51",",7,0106,","56.4",",7,0115,","43.3","7,0618,","-2.2","7,1028","-2.2","7,1028","-4.4","7,1122","-6.7","7,1206","-10.0","7,1208","0.0","7,0501","-2.2","7,0316","-4.4","7,0313","-8.9","7,0226","-8.9","7,0226","1916.3","","1916.3","7","610.9",",7","64",",7","15.40","7","24.03","7","6.76","7","95840","7"
