usaf,wban,station,ctry,st,call,lat,lon,elev,begin,end
010400,99999,SKJERVOY,NO,NA,NA,70.033,20.983,15,1973-01-01,1978-09-27
010410,99999,NORDREISA-OYENG,NO,NA,NA,69.733,21.017,5,1973-01-01,2014-05-23
010420,99999,HASVIK-SLUSKFJELLET,NO,NA,NA,70.6,22.45,438,2008-09-17,2018-06-16
010430,99999,ROGNSUNDET,NO,NA,NA,70.417,22.817,10,1973-01-01,2018-06-16
010435,99999,HASVIK,NO,NA,NA,70.483,22.15,7,1975-05-15,2011-10-14
010440,99999,HASVIK,NO,NA,ENHK,70.487,22.14,6.4,2011-09-28,2018-06-16
010450,99999,NORDSTRAUM I KVAENANGEN,NO,NA,NA,69.833,21.883,6,1973-01-01,2018-06-16
010460,99999,SORKJOSEN,NO,NA,ENSR,69.787,20.959,4.9,1975-09-05,2018-06-16
010470,99999,KAUTOKEINO II,NO,NA,ENKA,69.017,23.067,307,1973-01-01,2018-06-16
010490,99999,ALTA,NO,NA,ENAT,69.976,23.372,2.7,1973-01-01,2018-06-16
010510,99999,SUOLOVUOPMI,NO,NA,NA,69.583,23.533,374,1973-01-02,2014-05-23
010520,99999,HAMMERFEST AP,NO,NA,ENHF,70.683,23.683,81,1940-10-08,2018-06-16
010530,99999,HAMMERFEST RADIO,NO,NA,NA,70.683,23.683,70,1973-01-01,1987-12-26
010550,99999,FRUHOLMEN FYR,NO,NA,NA,71.1,23.983,14.2,1931-01-01,2018-06-16
010570,99999,CUOVDDATMOHKKI,NO,NA,NA,69.367,24.433,286,1973-01-01,2018-06-16
010580,99999,SUOLOVUOPMI LULIT,NO,NA,NA,69.567,23.533,381,2005-02-18,2018-06-16
010590,99999,BANAK,NO,NA,ENNA,70.069,24.973,7.6,1973-01-01,2018-06-16
010610,99999,BRENNELV,NO,NA,NA,70.067,25.117,34,1973-01-01,1984-07-07
010620,99999,HOPEN ISLAND,NO,NA,ENHO,76.5,25.067,10,1955-01-01,2018-06-16
010630,99999,KISTRAND III,NO,NA,NA,70.45,25.217,6,1973-01-01,1987-07-15
010650,99999,KARASJOK,NO,NA,NA,69.467,25.517,133,1973-01-01,2018-06-16
010660,99999,HELNES FYR,NO,NA,NA,71.067,26.233,33,1973-01-01,2004-06-19
010670,99999,LEVAJOK-EVJEN,NO,NA,NA,69.9,26.417,112,1973-01-03,1982-09-24
010671,99999,LEVAJOK-EVJEN,NO,NA,NA,69.9,26.417,112,2007-03-07,2007-03-07
010680,99999,HONNINGSVAG/VALAN,NO,NA,ENHV,71.017,25.983,14,1980-06-04,2018-06-16
010740,99999,MEHAMN,NO,NA,ENMH,71.033,27.833,13,1975-09-05,2018-06-16
010750,99999,RUSTEFJELBMA,NO,NA,NA,70.4,28.2,11.2,1973-01-01,2013-05-31
010760,99999,TANABRU,NO,NA,NA,70.217,28.167,32,2012-11-21,2018-06-16
010780,99999,SLETTNES FYR,NO,NA,NA,71.1,28.233,10,1973-01-01,2018-06-16
010820,99999,NYRUD,NO,NA,NA,69.15,29.25,56,1973-09-19,2018-06-16
010830,99999,BERLEVAG,NO,NA,ENBV,70.867,29.033,13,1975-09-05,2018-06-16
010840,99999,PASVIK,NO,NA,NA,69.45,30.033,27,1973-01-01,2018-06-16
010850,99999,BUGOYFJORD,NO,NA,NA,69.85,29.417,8,1973-01-01,1978-10-08
010860,99999,BATSFJORD,NO,NA,ENBS,70.6,29.693,149.4,2011-09-28,2018-06-16
010875,99999,HEIMDAL OIL PLATFORM,NO,NA,ENHM,59.567,2.217,90,2011-01-01,2018-06-16
010876,99999,NORNE OIL PLATFORM,NO,NA,ENNE,66.017,8.083,90,2011-01-01,2018-06-16
010877,99999,TROLL A  OIL PLATFORM,NO,NA,ENQA,60.633,3.717,90,2011-01-01,2018-06-16
010878,99999,SNORRE A  OIL PLATFORM,NO,NA,ENSE,61.45,2.133,90,2011-01-01,2018-06-16
010879,99999,SNORRE B  OIL PLATFORM,NO,NA,ENQR,61.533,2.2,90,2011-01-01,2018-06-16
010880,99999,VADSO,NO,NA,ENVD,70.067,29.85,39,1975-09-05,2018-06-16
010881,99999,NARVIK III/FRAMNES,NO,NA,NA,68.467,17.5,23,2005-04-05,2011-10-20
010882,99999,ROROS,NO,NA,ENRO,62.578,11.342,626.1,2005-04-05,2018-06-16
010883,99999,SANDANE/ANDA,NO,NA,NA,61.833,6.117,60,2005-04-05,2011-10-14
010884,99999,GEITERYGGEN,NO,NA,ENSN,59.185,9.567,141.1,2005-04-05,2015-11-09
010885,99999,BATSFJORD,NO,NA,NA,70.6,29.733,153,1994-07-18,2011-10-14
010886,99999,SLEIPNER A OIL PLATFORM,NO,NA,ENSL,58.367,1.9,30,2005-04-05,2018-06-16
010887,99999,TROLL C OIL PLATFORM,NO,NA,ENQC,60.886,3.61,20,2011-05-12,2018-06-16
010890,99999,HOYBUKTMOEN,NO,NA,ENKR,69.726,29.893,86.3,1940-11-01,2018-06-16
010920,99999,MAKKAUR FYR,NO,NA,NA,70.7,30.083,9,1973-01-01,2018-06-16
010970,99999,SVARTNES,NO,NA,NA,70.35,31.05,12,1993-02-09,2011-10-14
010980,99999,VARDO,NO,NA,NA,70.367,31.1,15,1931-01-03,2018-06-16
010990,99999,VARDO AP / SVARTNES,NO,NA,ENSS,70.355,31.045,12.8,2011-09-28,2018-06-16
011020,99999,SKLINNA FYR,NO,NA,NA,65.2,11,16,1975-02-28,2018-06-16
011025,99999,HEIDRUN,NO,NA,ENHE,65.333,7.317,80,1999-04-24,2018-06-16
011030,99999,LEKA,NO,NA,NA,65.1,11.7,47,1973-01-01,2007-03-07
011040,99999,ROTVAER,NO,NA,NA,68.367,15.95,8,2007-06-05,2008-08-17
011050,99999,ROTVAER,NO,NA,NA,68.367,15.95,8,1973-01-01,2018-06-16
011051,99999,SKOMVAER (LGT-H),NO,NA,NA,67.417,11.883,18,2007-03-07,2007-03-07
011060,99999,ROEST III,NO,NA,NA,67.517,12.1,2,1928-01-01,2008-12-04
011070,99999,ROST (NOR-AFB),NO,NA,ENRS,67.517,12.1,4,1988-03-03,2018-06-16
011080,99999,VEGA-VALLSJO,NO,NA,NA,65.7,11.85,9.1,1991-08-01,2018-06-16
011090,99999,SKALVAER,NO,NA,NA,65.867,12.183,6,1973-01-01,1980-09-10
011100,99999,YTTERHOLMEN FYR,NO,NA,NA,66,11.683,33,1996-12-01,2005-03-19
011110,99999,BRONNOYSUND,NO,NA,NA,65.467,12.217,5,1973-01-16,2007-03-07
011120,99999,BRONNOY,NO,NA,ENBN,65.461,12.218,7.6,1973-01-01,2018-06-16
011130,99999,GLOMFJORD,NO,NA,NA,66.8,13.983,39,2004-04-06,2009-12-16
011133,99999,DAGALI,NO,NA,ENDI,60.417,8.513,798,1986-05-09,2003-04-27
011140,99999,REIPA,NO,NA,NA,66.9,13.633,8,2009-07-02,2018-06-16
011150,99999,MYKEN,NO,NA,NA,66.767,12.483,13,1973-01-01,2018-06-16
011160,99999,STOKKA,NO,NA,ENST,65.95,12.467,17.1,1973-04-01,2018-06-16
011170,99999,TJOTTA,NO,NA,NA,65.817,12.417,21,2004-01-19,2018-06-16
011210,99999,SOLVAER III,NO,NA,NA,66.367,12.617,10,1973-01-01,2018-06-16
011220,99999,KJAERSTAD,NO,NA,ENMS,65.784,13.215,72.2,1988-10-14,2018-06-16
011240,99999,SNASA,NO,NA,NA,64.167,12.467,195,2005-02-18,2018-06-16
011310,99999,GLAPEN LIGHTHOUSE,NO,NA,NA,67.883,13.05,31,1973-01-01,1985-06-25
011320,99999,MAJAVATN V,NO,NA,NA,65.167,13.367,319,2008-02-29,2018-06-16
011330,99999,LAKSFORS,NO,NA,NA,65.617,13.283,50,2011-11-29,2018-06-16
011340,99999,MAJAVATN III,NO,NA,NA,65.183,13.417,339,1973-01-01,2007-06-30
011350,99999,SELJELIA,NO,NA,NA,66.117,13.583,123,2011-11-29,2018-06-16
011370,99999,STOTT,NO,NA,NA,66.933,13.45,12,1973-08-06,2007-03-07
011380,99999,TENNHOLMEN (LGT-H),NO,NA,NA,67.3,13.5,14,1985-09-12,2007-03-07
011390,99999,VAEROY HELIPORT,NO,NA,ENVR,67.65,12.717,4,2011-09-28,2018-06-16
011410,99999,LEKNES,NO,NA,ENLK,68.15,13.617,26,1973-06-20,2018-06-16
011430,99999,DRAG-AJLUOKTA,NO,NA,NA,68.05,16.083,19,2007-08-06,2018-06-16
011440,99999,HELLIGVAER II,NO,NA,NA,67.4,13.883,24,2005-03-15,2018-06-16
011450,99999,KVALNES I LOFOTEN,NO,NA,NA,68.35,13.967,15,1973-01-01,1982-05-04
011460,99999,SKAMDAL,NO,NA,NA,66.233,13.883,5,1973-01-01,2018-06-16
011470,99999,VARNTRESK,NO,NA,NA,65.833,14.183,406,1940-09-07,2018-06-16
011480,99999,STORFORSHEI,NO,NA,NA,66.383,14.517,110,2011-06-16,2018-06-16
011490,99999,RANA-BASMOEN,NO,NA,NA,66.333,14.1,42,1973-01-01,2007-02-28
011500,99999,HJARTASEN,NO,NA,NA,66.5,14.95,251,1973-01-03,2018-06-16
011501,99999,HATTFJELLDAL-KRUTA,NO,NA,NA,65.683,14.167,385,2002-03-12,2002-03-12
011510,99999,MOIRANA,NO,NA,ENRA,66.367,14.3,70,1973-04-01,2018-06-16
011520,99999,BODO,NO,NA,ENBO,67.269,14.365,12.8,1940-09-17,2018-06-16
011530,99999,BODO-VAGONES,NO,NA,NA,67.283,14.45,33,2011-10-03,2014-06-11
011540,99999,LITLOY FYR,NO,NA,NA,68.583,14.3,30,1994-04-06,2017-08-01
011550,99999,BO I VESTERALEN II,NO,NA,NA,68.633,14.467,12,1973-01-01,2004-12-01
011560,99999,BO I VESTERALEN,NO,NA,NA,68.6,14.433,7.6,2004-05-10,2018-06-16
011580,99999,SETSA,NO,NA,NA,67.167,15.483,8,2010-01-14,2018-06-16
011600,99999,SKROVA FYR,NO,NA,NA,68.15,14.65,11,1973-01-01,2018-06-16
011610,99999,SVOLVAER/HELLE,NO,NA,ENSH,68.25,14.667,9,1973-06-20,2018-06-16
011620,99999,STORKMARKNES/SKAGEN,NO,NA,ENSK,68.583,15.017,3,1973-06-20,2018-06-16
011630,99999,BOLNA,NO,NA,NA,66.5,15.25,549,1973-01-01,1977-08-23
011650,99999,GROTOY,NO,NA,NA,67.833,14.783,6,1973-01-01,1978-10-31
011670,99999,SORTLAND,NO,NA,NA,68.7,15.417,3,1985-02-01,2018-06-16
011680,99999,KLEIVA I SORTLAND,NO,NA,NA,68.65,15.283,23,1973-01-01,2006-06-11
011690,99999,SALTDAL-NORDNES,NO,NA,NA,66.933,15.317,37,1983-01-01,2018-06-16
011691,99999,OVRE SALTDAL,NO,NA,NA,66.967,15.317,26,1973-01-01,1978-10-08
011700,99999,FAUSKE-VETEN,NO,NA,NA,67.233,15.317,165,1973-01-01,1990-03-07
011720,99999,FINNOY I HAMAROY,NO,NA,NA,68,15.617,53,1973-01-01,2006-03-11
011751,99999,LODINGEN,NO,NA,NA,68.4,16,10,2004-01-08,2004-01-08
011760,99999,KONGSVIK,NO,NA,NA,68.567,16.267,25,1973-01-01,1978-01-18
011800,99999,HARSTAD,NO,NA,NA,68.8,16.533,45,2004-05-10,2018-06-16
011820,99999,EVENSKJER,NO,NA,NA,68.583,16.583,7,1973-01-01,1985-11-19
011830,99999,EVENES,NO,NA,ENEV,68.491,16.678,25.6,1975-09-05,2018-06-16
011840,99999,SANDSOY I SENJA,NO,NA,NA,68.933,16.683,45,1973-01-01,1978-06-13
011841,99999,SANDSOY,NO,NA,NA,68.933,16.683,45,2007-03-07,2007-03-07
011890,99999,LILAND,NO,NA,NA,68.483,16.883,19,1973-01-02,2005-03-02
011910,99999,SKJOMEN-SLETTJORD,NO,NA,NA,68.283,17.317,6,1973-01-01,1996-11-04
011920,99999,STRAUMSNES,NO,NA,NA,68.417,17.65,200,2011-02-03,2018-06-16
011930,99999,NARVIK III/FRAMNES,NO,NA,ENNK,68.467,17.5,23,2001-07-06,2017-04-03
011940,99999,NARVIK III,NO,NA,ENNK,68.467,17.5,23,1973-01-01,2005-04-05
011960,99999,TENNEVOLL,NO,NA,NA,68.75,17.817,21,1973-01-01,2002-08-08
011980,99999,DIVIDALEN II,NO,NA,NA,68.783,19.7,204,2010-01-14,2018-06-16
011990,99999,SIHCCAJAVRI,NO,NA,NA,68.75,23.533,382,1949-01-01,2018-06-16
012030,99999,KRAKENES,NO,NA,NA,62.033,4.983,41,1931-09-04,2018-06-16
012050,99999,SVINOY LH,NO,NA,NA,62.333,5.267,37.2,1973-01-01,2018-06-16
012070,99999,FISKABYGD,NO,NA,NA,62.1,5.583,41,2004-05-10,2018-06-16
012090,99999,ORSTA-VOLDA/HOVDEN,NO,NA,ENOV,62.183,6.067,74,1984-12-11,2018-06-16
012091,99999,ORSTA-VOLDA/HOVD,NO,NA,ENOV,62.183,6.05,74,1984-09-10,1984-11-27
012100,99999,VIGRA,NO,NA,ENAL,62.56,6.11,21,1973-01-01,2018-06-16
012120,99999,ONA II,NO,NA,NA,62.867,6.533,15,1955-01-01,2018-06-16
012140,99999,REKDAL,NO,NA,NA,62.65,6.767,43,2009-01-12,2018-06-16
012150,99999,HJELVIK MYRBO,NO,NA,NA,62.62,7.23,35,1973-01-01,2009-06-30
012160,99999,HJELVIK I ROMSDAL,NO,NA,NA,62.617,7.217,16,1973-12-26,2002-05-27
012161,99999,GJERMUNDNES,NO,NA,NA,62.617,7.167,49,2004-04-12,2004-04-12
012170,99999,ARO,NO,NA,ENML,62.745,7.263,3,1976-02-01,2018-06-16
012180,99999,TAFJORD,NO,NA,NA,62.233,7.417,17,1973-01-01,2018-06-16
012200,99999,MANNEN,NO,NA,NA,62.45,7.767,1294,2010-03-15,2018-06-16
012210,99999,TAGDALEN,NO,NA,NA,63.05,9.083,415,2008-01-15,2018-06-16
012230,99999,KVERNBERGET,NO,NA,ENKB,63.112,7.825,62.2,1973-01-01,2018-06-16
012240,99999,AALESUND,NO,NA,NA,62.467,6.217,50,1984-12-01,2018-06-16
012250,99999,VEIHOLMEN,NO,NA,NA,63.517,7.95,5,1973-01-01,2018-06-16
012270,99999,INNERDALEN,NO,NA,NA,62.717,8.783,405,1973-01-01,2018-06-16
012273,99999,TINGVOLL-HANEM,NO,NA,NA,62.833,8.3,69,2015-01-08,2015-01-08
012280,99999,SULA,NO,NA,NA,63.85,8.467,6,1973-01-01,2018-06-16
012300,99999,BJORLI,NO,NA,NA,62.267,8.2,579,1973-01-01,2018-06-16
012310,99999,LESJASKOG,NO,NA,NA,62.233,8.367,621,1977-10-30,2008-07-31
012320,99999,VINJEORA II,NO,NA,NA,62.45,7.85,67,1973-01-01,2018-06-16
012330,99999,DOMBAAS,NO,NA,NA,62.083,9.117,638,1936-01-01,2018-06-16
012340,99999,ORKDAL-THAMSHAMN,NO,NA,NA,63.317,9.85,4,2006-11-21,2018-06-16
012350,99999,DOMBAS-KIRKENAER,NO,NA,NA,62.083,9.133,645,1973-01-01,1976-06-02
012360,99999,KJOREMSGRENDE,NO,NA,NA,62.1,9.05,626,2005-02-18,2010-01-04
012370,99999,HITRA,NO,NA,NA,63.517,9.117,13,2005-04-02,2018-06-16
012380,99999,FOKSTUA II,NO,NA,NA,62.117,9.283,974,1973-01-01,2018-06-16
012390,99999,HJERKINN II,NO,NA,NA,62.217,9.55,1012,2010-09-07,2018-06-16
012400,99999,HALTEN FYR,NO,NA,NA,64.167,9.4,16,1985-01-10,2018-06-16
012410,99999,ORLAND,NO,NA,ENOL,63.699,9.604,8.5,1973-01-01,2018-06-16
012420,99999,AFJORD II,NO,NA,NA,63.967,10.217,30,2008-01-15,2018-06-16
012430,99999,SONGLI,NO,NA,NA,63.333,9.65,300,1973-01-01,1976-11-19
012450,99999,OPPDAL-SETER,NO,NA,NA,62.6,9.667,606,1976-02-01,2018-06-16
012480,99999,VALLERSUND,NO,NA,NA,63.85,9.733,4,1973-01-01,1975-12-19
012500,99999,FOLLDAL-FREDHEIM,NO,NA,NA,62.133,10,694,2011-09-28,2018-06-16
012520,99999,BERKAK-LYNGHOLT,NO,NA,NA,62.817,10.017,475,1973-01-01,2008-09-30
012530,99999,SOKNEDAL,NO,NA,NA,62.95,10.183,299,2009-01-12,2018-06-16
012540,99999,KOTSOY,NO,NA,NA,62.983,10.55,127,2009-01-12,2018-06-16
012570,99999,TRONDHEIM/VOLL,NO,NA,NA,63.417,10.45,131.5,2004-04-06,2018-06-16
012580,99999,TRONDHEIM (TYHOLT),NO,NA,NA,63.417,10.433,113,1973-01-01,1981-07-14
012590,99999,BUHOLMRASA LH,NO,NA,NA,64.4,10.45,18.4,1973-01-01,2018-06-16
012620,99999,NORDOYAN FYR,NO,NA,NA,64.8,10.55,33,1928-01-02,2018-05-15
012650,99999,TYNSET-HANSMOEN,NO,NA,NA,62.267,10.733,482.3,1949-01-01,2018-06-16
012700,99999,KVITHAMAR,NO,NA,NA,63.483,10.883,40,2011-10-03,2018-06-16
012710,99999,VAERNES,NO,NA,ENVA,63.458,10.94,17.1,1940-04-13,2018-06-16
012720,99999,FROSTA,NO,NA,NA,63.567,10.7,70,2011-09-29,2018-06-16
012730,99999,SELBU,NO,NA,NA,63.233,11.017,160,2007-10-16,2018-06-16
012740,99999,SELBU-STUBBE,NO,NA,NA,63.2,11.117,242,1973-01-01,2006-11-15
012770,99999,STEINKJER,NO,NA,NA,64.017,11.45,80,1973-01-01,2018-06-16
012771,99999,LEVANGER-EGGEN,NO,NA,NA,63.717,11.233,97,1973-01-01,1973-02-16
012780,99999,VERDAL-REPPE,NO,NA,NA,63.783,11.683,83,1985-01-02,2018-06-16
012800,99999,NAMDALSEID-VENGSTAD,NO,NA,NA,64.133,11.333,118,1973-01-01,2008-12-31
012810,99999,NAMSSKOGAN,NO,NA,NA,64.733,12.85,140,2007-01-05,2018-06-16
012820,99999,RORVIK/RYUM,NO,NA,ENRM,64.85,11.233,14,1995-09-01,2018-06-16
012823,99999,RORVIK/RYUM,NO,NA,NA,64.85,11.233,14,1991-08-27,1995-08-31
012870,99999,SOLENDET,NO,NA,NA,62.683,11.817,747,2008-01-15,2018-06-16
012880,99999,ROROS,NO,NA,NA,62.567,11.383,630,1973-01-01,2018-06-16
012890,99999,ROROS LUFTHAVN,NO,NA,ENRO,62.583,11.35,626,1984-09-09,2005-04-05
012891,99999,ROROS/AIRPORT,NO,NA,ENRO,62.583,11.383,626,1979-03-01,1984-08-17
012900,99999,NAMSOS AIRPORT,NO,NA,ENNM,64.467,11.583,2,1973-04-01,2018-06-16
012910,99999,GARTLAND,NO,NA,NA,64.533,12.383,95,2009-01-12,2018-06-16
012920,99999,MERAKER-UTSYN,NO,NA,NA,63.417,11.7,240,1973-01-01,2004-09-30
012930,99999,MERAKER-EGGE,NO,NA,NA,63.417,11.733,171,2005-02-15,2018-06-16
012950,99999,HOYLANDET,NO,NA,NA,64.55,12.15,27,1973-01-01,2007-06-12
012960,99999,BERG I SNASA,NO,NA,NA,64.25,12.417,127,1973-01-01,1977-06-06
012980,99999,NORDLI-HOLAND,NO,NA,NA,64.45,13.717,433,1973-01-01,2018-06-16
013000,99999,GULLFAKS C,NO,NA,NA,61.2,2.267,78,2001-06-01,2018-06-16
013005,99999,STATFJORD OIL PLATFORM HELIPO,FO,NA,ENSF,61.25,1.85,117.7,1984-12-04,2018-06-16
013040,99999,YTTEROYANE FYR,NO,NA,NA,61.567,4.683,25,1984-09-01,2018-06-16
013060,99999,HELLISOY FYR,NO,NA,NA,60.75,4.717,23,1973-01-01,2004-12-29
013070,99999,FEDJE,NO,NA,NA,60.75,4.717,20,2005-02-18,2018-06-16
013080,99999,FURUNESET,NO,NA,NA,61.3,5.05,7,2011-09-28,2018-06-16
013090,99999,KINN ISLAND,NO,NA,NA,61.567,4.8,10,1931-01-04,2005-10-22
013100,99999,FLORO,NO,NA,ENFL,61.584,5.025,11.3,1980-04-07,2018-06-16
013110,99999,FLESLAND,NO,NA,ENBR,60.293,5.218,51.8,1973-01-01,2018-06-16
013140,99999,FOSSMARK,NO,NA,NA,60.517,5.717,10,2012-06-15,2018-06-16
013150,99999,EVANGER,NO,NA,NA,60.633,6.1,17,2010-12-14,2018-06-16
013160,99999,BERGEN-FREDRIKSBERG,NO,NA,NA,60.4,5.317,40,1973-01-01,1985-12-30
013170,99999,BERGEN/FLORIDA,NO,NA,NA,60.383,5.333,36,1973-01-01,2018-06-16
013180,99999,SANDANE,NO,NA,NA,61.783,6.183,51,2005-06-14,2017-12-31
013190,99999,TAKLE,NO,NA,NA,61.033,5.383,38,1973-01-01,2018-06-16
013200,99999,SANDANE/ANDA,NO,NA,ENSD,61.833,6.117,60,1981-09-04,2018-06-16
013210,99999,STRYN,NO,NA,NA,61.9,6.55,208,1973-01-01,2018-06-16
013220,99999,FORDE-TEFRE,NO,NA,NA,61.467,5.917,64,1973-01-01,2017-12-23
013230,99999,BRINGELAND,NO,NA,ENBL,61.393,5.764,327,1984-05-02,2018-06-16
013250,99999,MODALEN II,NO,NA,NA,60.833,5.95,114,1973-01-01,2008-09-24
013260,99999,MODALEN III,NO,NA,NA,60.85,5.983,125,2008-10-08,2018-06-16
013270,99999,KVAMSKOGEN-JONSHOGDI,NO,NA,NA,60.383,5.967,455,2006-11-21,2018-06-16
013280,99999,KVAMSKOGEN,NO,NA,NA,60.4,5.917,408,1973-01-01,2006-07-26
013290,99999,KVAMSOY,NO,NA,NA,60.35,6.267,50,2005-02-18,2018-06-16
013300,99999,OMASTRAND,NO,NA,NA,60.217,5.983,6,1973-01-01,2005-09-10
013320,99999,FJAERLAND BREMUSEET,NO,NA,NA,61.43,6.77,3,2006-02-01,2018-06-16
013340,99999,FJERLAND SKARESTAD,NO,NA,NA,61.433,6.767,10,2007-04-13,2007-04-13
013360,99999,BULKEN,NO,NA,NA,60.65,6.217,328,1973-01-01,2018-06-16
013370,99999,VOSSEVANGEN,NO,NA,NA,60.633,6.433,55,2005-02-18,2018-06-16
013380,99999,VANGSNES,NO,NA,NA,61.167,6.65,51,2004-07-06,2018-06-16
013390,99999,VANGSNES,NO,NA,NA,61.167,6.65,53,1973-01-01,2001-11-02
013400,99999,FET I EIDFJORD,NO,NA,NA,60.42,7.28,737,2005-07-26,2018-06-16
013410,99999,EIDFJORD-BU,NO,NA,NA,60.467,6.867,166,1983-01-01,2007-02-27
013420,99999,ULLENSVANG,NO,NA,NA,60.317,6.65,12,1973-01-01,2018-06-16
013440,99999,MJOLFJELL,NO,NA,NA,60.7,6.95,695,1973-01-01,2018-06-12
013450,99999,KLEVAVATNET,NO,NA,NA,60.717,7.217,960,1973-10-07,2018-06-16
013460,99999,MIDTSTOVA,NO,NA,NA,60.65,7.267,1162,2011-11-25,2018-06-16
013470,99999,SOGNDAL HAUKASEN,NO,NA,ENSG,61.156,7.137,511,1985-01-18,2018-06-16
013471,99999,SOGNDAL/HAUKASEN,NO,NA,ENSG,61.167,7.133,498,1984-08-01,1984-12-17
013500,99999,FINSEVATN,NO,NA,NA,60.6,7.533,1208,2003-03-30,2018-06-16
013510,99999,FINSE III,NO,NA,NA,60.6,7.5,1224,1973-01-02,2001-12-10
013520,99999,SANDHAUG,NO,NA,NA,60.183,7.483,1250,2004-01-07,2018-06-16
013550,99999,LAERDAL IV,NO,NA,NA,61.1,7.5,5,1973-01-01,2018-06-16
013560,99999,FANNARAKI,FO,NA,NA,61.517,7.9,2062,1988-11-25,2014-08-27
013570,99999,HOLLEKOLTEN,NO,NA,NA,60.867,8.517,804.2,1973-01-01,2018-06-16
013580,99999,HEMSEDAL II,NO,NA,NA,60.85,8.6,604,2011-09-29,2018-06-16
013590,99999,GEILO-OLDEBRATEN,NO,NA,NA,60.533,8.2,773,1973-01-01,2018-06-16
